generation,best_score,avg_score
1,2230,1802.5
2,2260,1870.56
3,2334,1862.96
4,2334,1964.92
5,2334,2017.02
6,2334,2089.12
7,2355,2100.06
8,2355,2090.26
9,2355,2119.56
10,2377,2124.1
11,2377,2173.78
12,2377,2144.18
13,2377,2150.52
14,2377,2166.88
15,2377,2157.08
16,2377,2159.36
17,2377,2160.24
18,2377,2165.34
19,2377,2145.98
20,2377,2149.16
21,2377,2138.26
22,2377,2177.26
23,2377,2158.38
24,2377,2133.88
25,2377,2125.6
26,2377,2175.02
27,2377,2190.62
28,2377,2139.66
29,2377,2141.76
30,2377,2130.16
31,2377,2135.28
32,2377,2126.54
33,2377,2110.86
34,2377,2078.2
35,2377,2122.78
36,2377,2119.9
37,2377,2108.96
38,2377,2139.76
39,2430,2124.38
40,2430,2112.4
41,2430,2122.86
42,2430,2165.92
43,2430,2138.86
44,2430,2161.64
45,2430,2077.64
46,2431,2096.58
47,2431,2122.98
48,2431,2119.3
49,2431,2148.6
50,2431,2177.18
51,2456,2205.62
52,2456,2208.42
53,2456,2203.04
54,2456,2154.06
55,2456,2120.52
56,2507,2139.34
57,2507,2167.28
58,2507,2175.26
59,2507,2229.68
60,2507,2229.7
61,2507,2198.48
62,2507,2169.04
63,2507,2246.44
64,2507,2232.2
65,2507,2251.42
66,2507,2243.88
67,2507,2239.98
68,2507,2198.78
69,2507,2267.32
70,2507,2261.46
71,2507,2229.16
72,2507,2247.64
73,2507,2254.9
74,2507,2206.94
75,2507,2229.38
76,2507,2230.58
77,2507,2198.76
78,2507,2228.0
79,2507,2239.96
80,2507,2195.82
81,2507,2189.84
82,2507,2194.6
83,2507,2249.12
84,2507,2260.02
85,2507,2248.94
86,2507,2241.48
87,2507,2220.38
88,2507,2193.18
89,2507,2194.3
90,2507,2199.3
91,2507,2223.4
92,2507,2260.2
93,2507,2205.92
94,2507,2271.56
95,2507,2258.86
96,2507,2272.32
97,2507,2192.9
98,2507,2230.84
99,2507,2272.6
100,2507,2299.58
101,2507,2310.56
102,2507,2298.22
103,2507,2226.54
104,2507,2291.78
105,2507,2314.22
106,2507,2267.02
107,2507,2273.0
108,2507,2237.94
109,2507,2234.02
110,2507,2207.4
111,2507,2212.82
112,2507,2250.54
113,2507,2250.52
114,2507,2226.22
115,2507,2204.7
116,2507,2235.18
117,2507,2281.48
118,2507,2260.94
119,2507,2180.76
120,2507,2231.78
121,2507,2244.12
122,2507,2221.06
123,2507,2194.88
124,2507,2227.74
125,2507,2235.96
126,2507,2289.88
127,2507,2291.9
128,2507,2283.56
129,2507,2280.64
130,2507,2262.88
131,2507,2324.06
132,2507,2279.04
133,2507,2317.1
134,2507,2255.8
135,2507,2248.38
136,2507,2237.54
137,2507,2312.22
138,2507,2311.88
139,2507,2301.3
140,2507,2241.28
141,2507,2215.24
142,2507,2263.58
143,2507,2218.56
144,2507,2176.34
145,2507,2228.64
146,2507,2206.62
147,2507,2172.62
148,2507,2247.68
149,2507,2197.48
150,2507,2236.0
151,2507,2264.0
152,2507,2294.54
153,2507,2256.14
154,2507,2301.52
155,2507,2262.56
156,2507,2178.06
157,2507,2217.84
158,2507,2254.8
159,2507,2252.2
160,2507,2233.8
161,2507,2303.78
162,2507,2328.64
163,2507,2337.12
164,2507,2294.76
165,2507,2262.72
166,2507,2234.72
167,2507,2232.9
168,2507,2234.22
169,2507,2223.68
170,2507,2240.16
171,2507,2223.12
172,2507,2247.12
173,2507,2246.4
174,2507,2232.82
175,2507,2236.54
176,2507,2220.02
177,2507,2194.34
178,2507,2162.54
179,2507,2133.52
180,2507,2173.14
181,2507,2189.7
182,2507,2203.84
183,2507,2183.82
184,2507,2189.06
185,2507,2188.66
186,2507,2203.26
187,2507,2182.52
188,2520,2173.88
189,2520,2248.84
190,2520,2242.82
191,2520,2195.32
192,2520,2218.68
193,2520,2219.66
194,2520,2246.22
195,2520,2258.74
196,2520,2253.02
197,2520,2246.82
198,2520,2259.84
199,2520,2218.6
200,2520,2257.52
201,2520,2225.74
202,2520,2288.24
203,2520,2293.12
204,2520,2272.16
205,2520,2268.86
206,2520,2219.66
207,2520,2215.36
208,2520,2248.28
209,2520,2292.8
210,2520,2298.5
211,2520,2228.08
212,2520,2238.2
213,2520,2271.8
214,2520,2285.54
215,2520,2258.62
216,2520,2210.34
217,2520,2220.24
218,2520,2200.16
219,2520,2232.4
220,2520,2242.66
221,2520,2235.52
222,2520,2176.2
223,2520,2191.94
224,2520,2247.48
225,2520,2228.4
226,2520,2238.14
227,2520,2219.54
228,2520,2203.56
229,2520,2211.72
230,2520,2293.56
231,2520,2300.16
232,2520,2248.64
233,2520,2267.62
234,2520,2255.42
235,2520,2254.0
236,2520,2237.26
237,2520,2286.96
238,2520,2326.7
239,2520,2286.2
240,2520,2300.22
241,2520,2280.6
242,2520,2285.62
243,2520,2295.06
244,2520,2294.08
245,2520,2290.76
246,2520,2333.66
247,2520,2331.02
248,2520,2288.22
249,2520,2283.58
250,2520,2265.92
251,2520,2256.36
252,2520,2238.6
253,2520,2233.7
254,2520,2204.5
255,2520,2222.8
256,2520,2218.66
257,2520,2175.42
258,2520,2194.02
259,2520,2238.36
260,2520,2239.16
261,2520,2259.0
262,2520,2280.02
263,2520,2275.7
264,2520,2252.98
265,2520,2208.2
266,2520,2219.44
267,2520,2240.2
268,2520,2217.84
269,2520,2188.1
270,2520,2263.84
271,2520,2205.12
272,2520,2188.88
273,2520,2212.28
274,2520,2195.92
275,2520,2267.3
276,2520,2222.6
277,2520,2254.76
278,2520,2271.92
279,2520,2235.66
280,2520,2274.3
281,2520,2288.86
282,2520,2316.18
283,2520,2308.14
284,2520,2239.72
285,2520,2169.92
286,2520,2176.7
287,2520,2183.06
288,2520,2269.1
289,2520,2203.44
290,2520,2213.04
291,2520,2230.14
292,2520,2255.2
293,2520,2282.98
294,2520,2244.08
295,2520,2202.62
296,2520,2229.36
297,2520,2224.4
298,2520,2254.04
299,2520,2287.18
300,2520,2263.74
301,2520,2268.5
302,2520,2308.94
303,2520,2249.14
304,2520,2201.2
305,2520,2189.66
306,2520,2235.18
307,2520,2265.38
308,2520,2266.88
309,2520,2303.8
310,2520,2277.78
311,2520,2263.52
312,2520,2263.34
313,2520,2272.04
314,2520,2295.32
315,2520,2275.04
316,2520,2270.6
317,2520,2290.28
318,2520,2251.62
319,2520,2221.56
320,2520,2177.4
321,2520,2189.24
322,2520,2168.34
323,2520,2214.5
324,2520,2308.98
325,2520,2310.18
326,2520,2289.64
327,2520,2265.96
328,2520,2285.14
329,2520,2222.78
330,2520,2219.04
331,2520,2167.94
332,2520,2184.1
333,2520,2181.48
334,2520,2264.64
335,2520,2289.16
336,2520,2332.66
337,2520,2308.16
338,2520,2296.56
339,2520,2362.92
340,2520,2340.84
341,2520,2284.52
342,2520,2306.5
343,2520,2265.82
344,2520,2264.42
345,2520,2205.56
346,2520,2240.4
347,2520,2208.84
348,2520,2271.5
349,2520,2292.24
350,2520,2298.34
351,2520,2247.26
352,2520,2284.16
353,2520,2284.78
354,2520,2230.42
355,2520,2238.62
356,2520,2208.32
357,2520,2238.94
358,2520,2292.5
359,2520,2258.74
360,2520,2296.12
361,2520,2299.38
362,2520,2324.52
363,2520,2258.34
364,2520,2306.66
365,2520,2321.24
366,2520,2321.8
367,2520,2322.46
368,2520,2293.42
369,2520,2293.94
370,2520,2289.08
371,2520,2292.82
372,2520,2243.98
373,2520,2227.42
374,2520,2229.56
375,2520,2217.76
376,2520,2254.54
377,2520,2275.98
378,2520,2277.02
379,2520,2284.04
380,2520,2284.92
381,2520,2308.26
382,2520,2293.88
383,2520,2249.58
384,2520,2291.26
385,2520,2293.8
386,2520,2283.96
387,2520,2239.94
388,2520,2227.48
389,2520,2223.54
390,2520,2193.94
391,2520,2210.1
392,2520,2253.96
393,2520,2241.58
394,2520,2256.42
395,2520,2269.14
396,2520,2267.14
397,2520,2288.82
398,2520,2262.6
399,2520,2244.96
400,2520,2278.68
401,2520,2307.02
402,2520,2261.76
403,2520,2260.18
404,2520,2243.7
405,2520,2193.66
406,2520,2247.52
407,2520,2262.26
408,2520,2254.16
409,2520,2268.26
410,2520,2241.34
411,2520,2223.46
412,2520,2230.88
413,2520,2164.74
414,2520,2200.46
415,2520,2204.92
416,2520,2190.6
417,2520,2228.88
418,2520,2180.34
419,2520,2205.14
420,2520,2225.26
421,2520,2252.26
422,2520,2226.64
423,2520,2228.26
424,2520,2184.64
425,2520,2240.44
426,2520,2238.18
427,2520,2290.0
428,2520,2256.02
429,2520,2237.56
430,2520,2237.08
431,2520,2269.78
432,2520,2307.18
433,2520,2325.6
434,2520,2328.04
435,2520,2265.02
436,2520,2235.56
437,2520,2187.74
438,2520,2180.72
439,2520,2187.62
440,2520,2245.5
441,2520,2189.6
442,2520,2156.36
443,2520,2197.14
444,2520,2174.2
445,2520,2165.56
446,2520,2182.72
447,2520,2177.58
448,2520,2239.44
449,2520,2201.08
450,2520,2254.12
451,2520,2324.6
452,2520,2271.26
453,2520,2251.56
454,2520,2263.52
455,2520,2325.32
456,2520,2274.9
457,2520,2273.48
458,2520,2288.42
459,2520,2217.86
460,2520,2224.14
461,2520,2218.2
462,2520,2220.08
463,2520,2237.06
464,2520,2287.16
465,2520,2263.7
466,2520,2273.82
467,2520,2246.98
468,2520,2269.26
469,2520,2285.98
470,2520,2298.72
471,2520,2261.04
472,2520,2226.02
473,2520,2201.24
474,2520,2210.58
475,2520,2231.86
476,2520,2239.12
477,2520,2261.54
478,2520,2272.28
479,2520,2302.44
480,2520,2298.7
481,2520,2281.94
482,2520,2204.84
483,2520,2210.16
