generation,best_score,avg_score
1,2012,796.47
2,2012,644.62
3,2012,586.43
4,2012,542.99
5,2012,607.02
6,2012,620.1
7,2012,654.84
8,2012,586.52
9,2012,610.7
10,2012,655.71
11,2012,599.55
12,2012,652.54
13,2012,626.06
14,2012,617.88
15,2012,618.94
16,2012,604.36
17,2012,665.74
18,2012,622.88
19,2012,679.49
20,2012,680.73
21,2012,681.47
22,2012,617.56
23,2012,620.09
24,2012,606.93
25,2012,686.93
26,2012,660.82
27,2012,634.43
28,2012,595.81
29,2012,594.35
30,2012,636.6
31,2012,661.92
32,2012,594.26
33,2012,680.43
34,2012,668.51
35,2012,653.1
36,2012,607.27
37,2012,571.12
38,2012,601.12
39,2012,579.42
40,2012,549.94
41,2012,590.46
42,2012,596.26
43,2012,605.16
44,2012,610.71
45,2012,626.14
46,2012,571.84
47,2012,600.95
48,2012,646.98
49,2012,704.18
50,2012,644.55
51,2012,576.33
52,2012,548.21
53,2012,559.64
54,2012,609.18
55,2012,588.43
56,2012,606.28
57,2012,561.8
58,2012,599.49
59,2012,615.43
60,2012,633.14
61,2012,627.91
62,2012,605.93
63,2012,653.85
64,2012,550.16
65,2012,551.94
66,2012,586.91
67,2012,598.42
68,2012,593.83
69,2012,596.83
70,2012,663.9
71,2012,633.19
72,2012,711.72
73,2012,650.89
74,2012,657.07
75,2012,563.27
76,2012,600.08
77,2012,669.52
78,2012,564.91
79,2012,571.46
80,2012,588.89
81,2012,596.62
82,2012,585.98
83,2012,594.09
84,2012,572.9
85,2012,619.37
86,2012,562.25
87,2012,631.98
88,2012,586.99
89,2012,616.36
90,2012,569.71
91,2012,650.94
92,2012,607.78
93,2012,628.0
94,2012,615.38
95,2012,584.72
96,2012,590.72
97,2012,652.33
98,2012,751.36
99,2012,664.14
100,2012,639.62
101,2012,625.73
102,2012,642.95
103,2012,667.64
104,2012,637.91
105,2012,593.39
106,2012,582.67
107,2012,589.0
108,2012,598.63
109,2012,575.26
110,2012,639.88
111,2012,649.65
112,2012,612.24
113,2012,616.46
114,2012,618.5
115,2012,648.54
116,2012,622.46
117,2012,637.07
118,2012,593.71
119,2012,620.61
120,2012,625.29
121,2012,640.3
122,2012,597.49
123,2012,588.25
124,2012,600.27
125,2012,605.5
126,2012,625.72
127,2012,624.08
128,2012,597.65
129,2012,585.13
130,2012,606.54
131,2012,558.52
132,2012,601.63
133,2012,634.54
134,2012,626.1
135,2012,555.36
136,2012,542.76
137,2012,620.74
138,2012,650.46
139,2012,640.67
140,2012,639.5
141,2012,627.85
142,2012,686.77
143,2012,669.45
144,2012,687.06
145,2012,667.12
146,2012,633.86
147,2012,576.22
148,2012,605.38
149,2012,671.38
150,2012,616.1
151,2012,621.62
152,2012,578.05
153,2012,598.24
154,2012,571.0
155,2012,578.6
156,2012,613.56
157,2012,654.76
158,2012,578.75
159,2012,614.87
160,2012,637.09
161,2012,626.01
162,2012,636.05
163,2012,639.9
164,2012,628.97
165,2012,663.49
166,2012,606.74
167,2012,609.03
168,2012,585.45
169,2012,561.49
170,2012,597.65
171,2012,678.99
172,2012,635.71
173,2012,625.27
174,2012,592.24
175,2012,575.57
176,2012,624.98
177,2012,610.35
178,2012,617.48
179,2012,631.92
180,2012,623.96
181,2012,609.25
182,2012,617.78
183,2012,655.82
184,2012,617.32
185,2012,601.36
186,2012,602.42
187,2012,614.55
188,2012,598.76
189,2012,570.96
190,2012,574.94
191,2012,575.38
192,2012,621.19
193,2012,595.2
194,2012,616.11
195,2012,592.61
196,2012,633.91
197,2012,585.52
198,2012,613.85
199,2012,598.39
200,2012,614.09
