generation,best_score,avg_score
1,912,756.8
2,912,777.8
3,912,781.72
4,912,787.54
5,912,770.96
6,912,779.14
7,912,759.64
8,912,749.4
9,912,751.06
10,912,750.12
11,912,764.4
12,912,775.5
13,912,771.78
14,912,746.34
15,912,749.22
16,912,754.64
17,912,791.08
18,912,776.26
19,912,770.24
20,912,756.6
21,912,762.28
22,912,760.34
23,912,761.24
24,912,772.96
25,912,770.54
26,912,754.2
27,912,760.76
28,912,737.5
29,912,752.32
30,912,757.04
31,912,778.94
32,912,769.32
33,912,749.18
34,912,741.32
35,912,743.2
36,912,752.92
37,912,761.22
38,912,776.82
39,912,767.04
40,912,749.0
41,912,770.18
42,912,770.6
43,912,751.76
44,912,758.44
45,912,753.06
46,912,764.9
47,912,773.08
48,912,778.74
49,912,766.82
50,912,767.7
51,912,772.62
52,912,763.3
53,912,768.06
54,912,772.26
55,912,759.7
56,912,736.18
57,912,740.48
58,912,722.98
59,912,762.24
60,912,735.78
61,912,749.68
62,912,740.16
63,912,734.72
64,912,729.76
65,912,720.42
66,912,739.48
67,912,755.9
68,912,752.32
69,912,752.96
70,912,765.78
71,912,755.62
72,912,750.52
73,912,766.42
74,912,772.34
75,912,773.72
76,912,763.3
77,912,771.48
78,912,762.58
79,912,728.52
80,912,736.5
81,912,749.14
82,912,748.62
83,912,775.74
84,912,785.78
85,912,772.48
86,912,777.12
87,912,775.92
88,912,755.62
89,912,739.56
90,912,723.22
91,912,710.68
92,912,710.22
93,912,739.24
94,912,760.4
95,912,758.3
96,912,765.62
97,912,774.62
98,912,775.34
99,912,749.66
100,912,754.26
101,912,755.5
102,912,745.98
103,912,749.16
104,912,734.0
105,912,744.08
106,912,728.86
107,912,779.8
108,912,792.28
109,912,790.9
110,912,768.24
111,912,756.24
112,912,774.1
113,932,776.82
114,932,808.34
115,932,816.0
116,932,810.46
117,932,802.38
118,932,800.36
119,932,795.08
120,932,795.64
121,932,804.74
122,932,800.7
123,932,779.84
124,932,750.86
125,932,783.2
126,932,791.96
127,932,783.64
128,932,783.28
129,932,768.04
130,932,775.86
131,932,774.08
132,932,755.24
133,932,756.0
134,932,736.36
135,932,740.08
136,932,736.62
137,932,731.08
138,932,755.14
139,932,760.86
140,932,767.04
141,932,752.76
142,932,768.08
143,932,757.84
144,932,774.92
145,932,792.84
146,932,790.06
147,932,779.16
148,932,763.0
149,932,750.52
150,932,758.64
151,932,758.58
152,932,771.54
153,932,769.46
154,932,768.64
155,932,774.86
156,932,745.14
157,932,729.72
158,932,772.78
159,932,803.92
160,932,814.42
161,932,811.8
162,932,805.1
163,932,772.62
164,932,724.08
165,932,755.06
166,932,765.5
167,932,766.96
168,932,798.7
169,932,792.24
170,932,774.28
171,932,780.8
172,932,762.88
173,932,745.06
174,932,771.36
175,932,779.82
176,932,777.7
177,932,750.78
178,932,750.28
179,932,747.58
180,932,742.76
181,932,784.38
182,932,758.44
183,932,758.38
184,932,774.26
185,932,768.48
186,932,766.3
187,932,760.58
188,932,744.2
189,932,747.44
190,932,781.66
191,932,776.66
192,932,749.9
193,932,746.5
194,932,789.48
195,932,821.68
196,932,788.88
197,932,786.68
198,932,770.66
199,932,789.32
200,932,773.94
201,932,763.74
202,932,786.5
203,932,778.84
204,932,768.34
205,932,747.68
206,932,762.06
207,932,781.14
208,932,778.84
209,932,759.46
210,932,765.48
211,932,776.9
212,932,777.76
213,932,766.58
214,932,758.96
215,932,771.84
216,932,777.04
217,932,785.06
218,932,785.6
219,932,781.62
220,932,806.16
221,932,794.24
222,932,797.98
223,932,785.34
224,932,795.72
225,932,788.96
226,932,801.08
227,932,807.82
228,932,795.1
229,932,807.94
230,932,797.14
231,932,799.96
232,932,785.12
233,932,761.92
234,932,760.54
235,932,774.44
236,932,784.8
237,932,768.06
238,932,776.88
239,932,764.48
240,932,767.84
241,932,762.04
242,932,761.26
243,932,770.54
244,932,784.74
245,932,776.84
246,932,778.02
247,932,766.06
248,932,753.3
249,932,772.16
250,932,774.6
251,932,786.52
252,932,782.36
253,932,772.52
254,932,782.32
255,932,789.64
256,932,786.76
257,932,793.14
258,932,781.02
259,932,776.06
260,932,778.28
261,932,784.38
262,932,771.66
263,932,783.14
264,932,781.98
265,932,780.44
266,932,771.44
267,932,763.26
268,932,773.8
269,932,773.1
270,932,784.38
271,932,783.82
272,932,774.32
273,932,790.54
274,932,788.42
275,932,774.72
276,932,740.16
277,932,741.66
278,932,741.7
