generation,best_score,avg_score
1,873,551.62
2,873,510.25
3,873,504.81
4,873,462.14
5,873,476.8
6,873,510.98
7,873,499.04
8,873,536.98
9,888,512.26
10,888,495.85
11,888,477.96
12,888,479.67
13,888,477.05
14,888,487.03
15,888,502.26
16,902,481.29
17,902,514.84
18,902,509.0
19,902,495.07
20,902,542.5
21,902,521.25
22,902,524.39
23,902,495.23
24,902,509.09
25,902,502.27
26,902,498.44
27,902,512.21
28,902,570.11
29,902,530.64
30,902,542.74
31,902,528.0
32,902,509.18
33,902,496.03
34,902,490.4
35,902,524.25
36,902,518.41
37,902,510.38
38,902,511.78
39,902,498.89
40,902,519.56
41,902,516.07
42,902,505.99
43,902,496.38
44,902,502.09
45,902,497.07
46,902,536.69
47,902,512.87
48,902,524.78
49,902,519.23
50,902,535.83
51,902,513.33
52,902,469.92
53,902,525.25
54,902,507.28
55,902,507.89
56,902,511.79
57,902,511.74
58,902,506.59
59,902,507.92
60,902,500.45
61,902,493.46
62,902,501.14
63,902,543.56
64,902,501.07
65,902,504.28
66,902,491.2
67,902,520.52
68,902,536.76
69,902,541.99
70,902,484.42
71,902,481.88
72,902,494.34
73,902,534.07
74,902,533.94
75,902,511.82
76,902,541.3
77,902,531.05
78,902,490.26
79,902,518.43
80,902,519.75
81,902,523.69
82,902,514.97
83,902,499.45
84,902,497.94
85,902,492.27
86,902,497.65
87,902,498.34
88,902,513.62
89,902,516.46
90,902,526.0
91,902,519.17
92,902,524.84
93,902,505.44
94,902,517.61
95,902,490.0
96,902,475.62
97,902,486.83
98,902,528.15
99,902,486.94
100,902,522.73
101,902,486.79
102,902,484.34
103,902,501.75
104,902,483.27
105,902,480.02
106,902,510.38
107,902,500.04
108,902,522.78
109,902,522.29
110,902,516.26
111,902,540.37
112,902,519.74
113,902,517.5
114,902,506.96
115,902,499.12
116,902,523.23
117,902,489.2
118,902,450.62
119,902,490.44
120,902,512.44
121,902,540.17
122,902,524.17
123,902,527.25
124,902,493.96
125,902,523.16
126,902,543.87
127,902,529.73
128,902,527.9
129,902,512.82
130,902,509.07
131,902,526.96
132,902,544.23
133,902,523.05
134,902,516.17
135,902,499.57
136,902,507.91
137,902,510.22
138,902,523.81
139,902,494.39
140,902,502.33
141,902,493.25
142,902,496.58
143,902,527.22
144,902,525.13
145,902,487.52
146,902,520.47
147,902,534.29
148,902,528.34
149,902,530.7
150,902,517.03
151,902,536.32
152,902,530.38
153,902,508.37
154,902,506.13
155,902,511.05
156,902,520.77
157,902,509.82
158,902,530.95
159,902,531.13
160,902,541.04
161,902,550.99
162,902,533.83
163,902,510.41
164,902,527.15
165,902,483.32
166,902,494.0
167,902,490.63
168,902,508.38
169,902,527.21
170,902,512.55
171,902,476.68
172,902,512.88
173,902,563.25
174,902,533.97
175,902,507.96
176,902,530.91
177,902,518.65
178,902,487.57
179,902,515.84
180,902,501.97
181,902,504.81
182,902,523.24
183,902,509.89
184,902,516.62
185,902,522.37
186,902,505.15
187,902,471.83
188,902,451.41
189,902,466.3
190,902,457.71
191,902,513.15
192,902,517.85
193,902,497.87
194,902,526.95
195,902,514.95
196,902,538.41
197,902,525.57
198,902,538.82
199,902,563.19
200,902,536.9
