generation,best_score,avg_score
1,1304,820.76
2,1304,749.68
3,1304,747.32
4,1304,777.9
5,1304,792.18
6,1304,748.12
7,1304,740.2
8,1304,809.22
9,1304,856.0
10,1304,841.06
11,1304,782.8
12,1304,798.68
13,1304,718.06
14,1304,846.96
15,1304,826.4
16,1304,747.52
17,1304,758.52
18,1304,759.52
19,1304,764.92
20,1304,771.46
21,1304,778.98
22,1304,757.92
23,1319,845.18
24,1319,856.92
25,1319,804.52
26,1319,773.48
27,1354,811.54
28,1354,780.94
29,1354,734.48
30,1354,683.66
31,1354,665.54
32,1354,709.88
33,1354,706.24
34,1354,757.54
35,1354,787.84
36,1354,782.7
37,1354,748.24
38,1354,784.18
39,1354,790.56
40,1354,787.46
41,1354,743.06
42,1354,795.06
43,1354,732.56
44,1354,710.12
45,1354,721.54
46,1354,739.98
47,1354,747.3
48,1354,786.62
49,1354,768.92
50,1354,783.58
51,1354,789.06
52,1354,798.72
53,1354,800.52
54,1354,748.78
55,1354,772.68
56,1354,853.52
57,1354,818.5
58,1354,760.76
59,1354,775.88
60,1354,827.56
61,1354,777.42
62,1354,837.06
63,1354,780.4
64,1354,796.06
65,1354,757.06
66,1354,758.02
67,1354,780.7
68,1354,810.56
69,1354,721.54
70,1354,776.8
71,1354,816.86
72,1354,733.32
73,1354,777.7
74,1354,771.22
75,1354,739.8
76,1354,754.14
77,1354,776.34
78,1354,784.06
79,1354,789.28
80,1354,759.26
81,1354,772.7
82,1354,759.32
83,1354,751.74
84,1354,763.18
85,1354,790.5
86,1354,833.56
87,1354,811.22
88,1354,745.7
89,1354,724.6
90,1354,747.94
91,1354,730.4
92,1354,716.66
93,1354,693.6
94,1354,704.22
95,1354,718.66
96,1354,669.02
97,1354,715.64
98,1354,809.86
99,1354,778.92
100,1354,799.02
101,1354,765.62
102,1354,758.54
103,1354,751.06
104,1354,711.52
105,1354,745.16
106,1354,717.4
107,1354,758.14
108,1354,718.64
109,1354,687.92
110,1354,704.02
111,1354,783.02
112,1354,777.12
113,1354,728.44
114,1354,720.7
115,1354,713.28
116,1354,705.32
117,1354,676.92
118,1354,737.66
119,1354,748.26
120,1354,742.34
121,1354,724.3
122,1354,779.12
123,1354,721.76
124,1354,683.36
125,1354,703.56
126,1354,690.52
127,1354,748.62
128,1354,737.28
129,1354,803.8
130,1354,814.36
131,1354,769.92
132,1354,759.72
133,1354,720.8
134,1354,803.64
135,1354,765.48
136,1354,718.84
137,1354,709.8
138,1354,781.78
139,1354,712.32
140,1354,741.58
141,1354,784.12
142,1354,799.7
143,1354,764.82
144,1354,788.24
145,1354,729.82
146,1354,752.28
147,1354,728.58
148,1354,732.38
149,1354,740.98
150,1354,761.04
151,1354,729.02
152,1354,781.98
153,1354,819.84
154,1383,784.8
155,1383,767.64
156,1383,819.14
157,1383,760.9
158,1383,816.48
159,1383,790.38
160,1383,807.14
161,1383,716.22
162,1383,716.86
163,1383,725.64
164,1383,758.26
165,1383,768.2
166,1383,691.96
167,1383,685.34
168,1383,707.94
169,1383,713.38
170,1383,688.52
171,1383,732.88
172,1383,771.16
173,1383,786.36
174,1383,780.52
175,1383,777.38
176,1383,744.6
177,1383,732.1
178,1383,745.66
179,1383,707.36
180,1383,716.68
181,1383,678.86
182,1383,722.3
183,1383,720.22
184,1383,654.48
185,1383,681.52
186,1383,742.54
187,1383,690.2
188,1383,747.64
189,1383,755.96
190,1383,748.8
191,1383,707.64
192,1383,709.16
193,1383,716.42
194,1383,683.62
195,1383,677.56
196,1383,794.14
197,1383,718.76
198,1383,700.08
199,1383,726.54
200,1383,724.84
