generation,best_score,avg_score
1,1346,1160.0
2,1371,1165.39
3,1371,1174.16
4,1371,1192.14
5,1371,1198.9
6,1371,1218.4
7,1414,1234.13
8,1414,1234.06
9,1414,1216.76
10,1414,1242.23
11,1441,1220.86
12,1441,1250.12
13,1441,1257.03
14,1441,1261.77
15,1441,1253.77
16,1441,1249.67
17,1441,1274.39
18,1441,1259.59
19,1441,1244.13
20,1441,1249.86
21,1441,1234.8
22,1441,1250.72
23,1441,1246.08
24,1441,1238.85
25,1441,1243.33
26,1441,1255.65
27,1441,1254.88
28,1441,1245.95
29,1441,1262.41
30,1441,1284.43
31,1441,1273.75
32,1441,1278.96
33,1441,1278.5
34,1441,1281.44
35,1441,1271.17
36,1441,1281.16
37,1441,1272.03
38,1441,1270.1
39,1441,1290.16
40,1441,1282.56
41,1441,1280.48
42,1441,1269.43
43,1441,1273.36
44,1441,1292.91
45,1441,1277.37
46,1441,1288.31
47,1441,1271.77
48,1441,1266.87
49,1441,1260.21
50,1441,1269.22
51,1441,1276.13
52,1441,1295.93
53,1441,1295.41
54,1441,1296.41
55,1441,1282.5
56,1441,1269.36
57,1441,1266.11
58,1441,1270.15
59,1441,1275.03
60,1441,1285.6
61,1441,1290.69
62,1441,1287.23
63,1441,1276.11
64,1441,1288.5
65,1441,1275.41
66,1441,1277.37
67,1441,1245.52
68,1441,1249.96
69,1441,1227.46
70,1441,1249.13
71,1441,1285.84
72,1441,1275.64
73,1441,1266.43
74,1441,1248.07
75,1441,1270.53
76,1441,1282.58
77,1441,1291.91
78,1441,1282.3
79,1441,1288.68
80,1441,1292.41
81,1441,1297.95
82,1441,1305.95
83,1441,1288.32
84,1441,1274.72
85,1441,1284.63
86,1441,1281.01
87,1441,1271.85
88,1441,1261.52
89,1441,1252.76
90,1441,1267.0
91,1441,1280.63
92,1441,1273.76
93,1441,1264.23
94,1441,1270.12
95,1441,1256.65
96,1441,1263.55
97,1441,1270.74
98,1441,1271.72
99,1441,1277.31
100,1441,1267.61
101,1441,1273.91
102,1441,1265.38
103,1441,1252.24
104,1441,1265.8
105,1441,1258.57
106,1441,1246.71
107,1441,1262.92
108,1441,1252.63
109,1441,1253.02
110,1441,1255.15
111,1441,1271.33
112,1441,1287.97
113,1441,1294.2
114,1441,1288.93
115,1441,1284.4
116,1441,1295.0
117,1441,1273.2
118,1441,1287.25
119,1441,1261.13
120,1441,1252.83
121,1441,1267.21
122,1441,1265.91
123,1441,1286.11
124,1441,1285.73
125,1441,1279.01
126,1441,1280.72
127,1441,1270.15
128,1441,1255.43
129,1441,1255.26
130,1441,1262.58
131,1441,1280.96
132,1441,1269.7
133,1441,1279.54
134,1441,1281.74
135,1441,1292.16
136,1441,1292.58
137,1441,1300.59
138,1441,1284.15
139,1441,1265.25
140,1441,1265.23
141,1441,1261.83
142,1441,1271.37
143,1441,1252.36
144,1441,1249.96
145,1441,1254.53
146,1441,1279.2
147,1441,1276.19
148,1441,1276.53
149,1441,1300.38
150,1441,1287.81
151,1441,1283.63
152,1441,1265.93
153,1441,1261.89
154,1441,1298.12
155,1441,1286.24
156,1441,1277.96
157,1441,1271.1
158,1441,1266.13
159,1441,1254.54
160,1441,1271.98
161,1441,1275.07
162,1441,1276.61
163,1441,1290.71
164,1441,1291.46
165,1441,1297.94
166,1441,1292.98
167,1441,1288.0
168,1441,1258.59
169,1441,1250.09
170,1441,1250.18
171,1441,1256.35
172,1441,1285.77
173,1441,1293.57
174,1441,1294.9
175,1441,1304.82
176,1441,1297.51
177,1441,1306.18
178,1441,1303.64
179,1441,1302.77
180,1441,1300.8
181,1441,1290.42
182,1441,1282.68
183,1441,1285.84
184,1441,1289.35
185,1441,1280.63
186,1441,1281.47
187,1441,1273.98
188,1441,1270.68
189,1441,1258.17
190,1441,1274.1
191,1441,1278.73
192,1441,1278.78
193,1441,1288.43
194,1441,1275.15
195,1441,1269.98
196,1441,1256.32
197,1441,1270.37
198,1441,1281.31
199,1441,1288.76
200,1441,1297.88
201,1441,1296.5
202,1441,1280.3
203,1441,1273.16
204,1441,1271.11
205,1441,1274.69
206,1441,1281.39
207,1441,1289.1
208,1441,1275.68
209,1441,1276.75
210,1441,1274.84
211,1441,1283.92
212,1441,1285.19
213,1441,1297.51
214,1441,1302.41
215,1441,1296.9
216,1441,1271.65
217,1441,1237.46
218,1441,1255.66
219,1441,1276.3
220,1441,1271.72
221,1441,1279.36
222,1441,1275.47
223,1441,1291.02
224,1441,1279.16
225,1441,1287.85
226,1441,1300.39
227,1441,1281.29
228,1441,1284.55
229,1441,1293.13
230,1441,1288.69
231,1441,1296.73
232,1441,1282.35
233,1441,1273.63
234,1441,1278.17
235,1441,1280.54
236,1441,1279.73
237,1441,1268.61
238,1441,1278.07
239,1441,1269.58
240,1441,1252.98
241,1441,1259.48
242,1441,1274.16
243,1441,1291.29
244,1441,1294.85
245,1441,1292.95
246,1441,1296.2
247,1441,1296.45
248,1441,1285.15
249,1441,1280.27
250,1441,1286.13
251,1441,1278.39
252,1441,1263.3
253,1441,1271.78
254,1441,1273.76
255,1441,1285.16
256,1441,1295.79
257,1441,1302.39
258,1441,1305.4
259,1441,1298.44
260,1441,1287.4
261,1441,1285.22
262,1441,1282.01
263,1441,1275.96
264,1441,1277.38
265,1441,1269.2
266,1441,1253.03
267,1441,1265.52
268,1441,1252.56
269,1441,1255.56
270,1441,1259.55
271,1441,1267.97
272,1441,1281.32
273,1441,1273.59
274,1441,1280.28
275,1441,1279.13
276,1441,1270.28
277,1441,1273.64
278,1441,1268.2
279,1441,1270.03
280,1441,1265.21
281,1441,1270.75
282,1441,1259.45
283,1441,1268.61
284,1441,1279.53
285,1441,1270.31
286,1441,1275.36
287,1441,1278.26
288,1441,1294.1
289,1441,1304.46
290,1441,1297.11
291,1441,1301.63
292,1441,1306.98
293,1441,1299.54
294,1441,1291.3
295,1441,1270.15
296,1441,1264.53
297,1441,1292.09
298,1441,1300.6
299,1441,1290.69
300,1441,1285.41
301,1441,1293.49
302,1441,1286.88
303,1441,1294.63
304,1441,1282.16
305,1441,1268.98
306,1441,1265.64
307,1441,1293.41
308,1441,1295.26
309,1441,1282.67
310,1441,1277.91
311,1441,1292.73
312,1441,1287.16
313,1441,1273.36
314,1441,1269.66
315,1441,1259.54
316,1441,1257.88
317,1441,1252.25
318,1441,1257.39
319,1441,1248.58
320,1441,1263.93
321,1441,1268.59
322,1441,1251.1
323,1441,1260.08
324,1441,1254.22
325,1441,1265.33
326,1441,1280.87
