generation,best_score,avg_score
1,1400,1176.6
2,1481,1202.54
3,1495,1250.66
4,1495,1316.86
5,1495,1372.92
6,1495,1383.54
7,1495,1394.58
8,1495,1375.96
9,1495,1398.72
10,1495,1388.14
11,1495,1372.8
12,1495,1377.34
13,1495,1369.7
14,1495,1394.72
15,1531,1395.2
16,1531,1397.18
17,1531,1393.96
18,1531,1410.74
19,1531,1415.32
20,1531,1439.56
21,1531,1429.06
22,1531,1422.46
23,1531,1410.0
24,1531,1391.76
25,1531,1407.28
26,1531,1416.92
27,1531,1413.1
28,1531,1416.08
29,1531,1426.14
30,1531,1436.2
31,1531,1420.64
32,1531,1395.86
33,1531,1408.9
34,1531,1409.96
35,1531,1427.34
36,1531,1452.12
37,1531,1438.34
38,1531,1407.7
39,1531,1384.34
40,1531,1381.78
41,1531,1390.2
42,1531,1400.34
43,1531,1391.86
44,1531,1382.7
45,1531,1374.04
46,1531,1368.52
47,1531,1382.44
48,1531,1384.72
49,1531,1403.72
50,1531,1403.26
51,1531,1381.08
52,1531,1376.4
53,1531,1386.46
54,1531,1386.46
55,1531,1374.78
56,1531,1406.48
57,1531,1393.36
58,1531,1407.76
59,1531,1415.82
60,1531,1378.28
61,1531,1389.5
62,1531,1388.06
63,1531,1372.16
64,1531,1389.3
65,1531,1406.46
66,1531,1399.14
67,1531,1409.3
68,1531,1384.62
69,1531,1390.42
70,1531,1400.6
71,1531,1399.86
72,1531,1406.14
73,1531,1388.18
74,1531,1408.52
75,1531,1425.7
76,1531,1402.22
77,1531,1403.54
78,1531,1392.78
79,1531,1400.6
80,1531,1378.36
81,1531,1416.0
82,1531,1404.32
83,1531,1390.5
84,1531,1395.44
85,1531,1400.9
86,1531,1397.46
87,1531,1390.74
88,1531,1409.54
89,1531,1413.32
90,1531,1405.64
91,1531,1408.32
92,1531,1406.74
93,1531,1408.26
94,1531,1402.82
95,1531,1374.72
96,1531,1392.8
97,1531,1397.46
98,1531,1366.78
99,1531,1399.88
100,1531,1444.46
101,1531,1418.72
102,1531,1413.98
103,1531,1409.22
104,1531,1414.5
105,1531,1421.4
106,1531,1428.08
107,1531,1415.58
108,1531,1388.16
109,1531,1386.56
110,1531,1384.34
111,1531,1390.68
112,1531,1378.74
113,1531,1371.52
114,1531,1396.84
115,1531,1412.08
116,1531,1421.38
117,1531,1397.88
118,1531,1394.8
119,1531,1389.62
120,1531,1409.0
121,1531,1368.04
122,1531,1365.46
123,1531,1379.18
124,1531,1372.68
125,1531,1400.78
126,1531,1397.54
127,1531,1381.8
128,1531,1388.92
129,1531,1393.26
130,1531,1405.22
131,1531,1425.54
132,1531,1410.04
133,1531,1400.76
134,1531,1423.02
135,1531,1417.24
136,1531,1400.62
137,1531,1389.32
138,1531,1404.74
139,1531,1394.82
140,1531,1405.16
141,1531,1427.52
142,1531,1415.8
143,1531,1415.68
144,1531,1387.46
145,1531,1390.6
146,1531,1396.36
147,1531,1385.06
148,1531,1395.42
149,1531,1396.14
150,1531,1410.36
151,1531,1426.58
152,1531,1414.04
153,1531,1403.9
154,1531,1394.48
155,1531,1392.08
156,1531,1373.68
157,1531,1379.0
158,1531,1364.24
159,1531,1343.9
160,1531,1339.64
161,1531,1381.64
162,1531,1381.32
163,1531,1429.46
164,1531,1427.26
165,1531,1425.04
166,1531,1412.48
167,1531,1402.94
168,1531,1422.22
169,1531,1408.36
170,1531,1421.78
171,1531,1410.48
172,1531,1425.58
173,1531,1419.72
174,1531,1411.7
175,1531,1394.8
176,1531,1371.18
177,1531,1378.66
178,1531,1389.88
179,1531,1377.66
180,1531,1379.48
181,1531,1388.56
182,1531,1401.8
183,1531,1394.42
184,1531,1396.66
185,1531,1398.52
186,1531,1390.72
187,1531,1407.16
188,1531,1406.1
189,1531,1406.08
190,1531,1402.9
191,1531,1421.3
192,1531,1411.64
193,1531,1410.6
194,1531,1410.8
195,1531,1408.36
196,1531,1422.16
197,1531,1437.82
198,1531,1434.94
199,1531,1403.66
200,1531,1403.76
201,1531,1389.84
202,1531,1395.34
203,1531,1392.34
204,1531,1394.56
205,1531,1410.04
206,1531,1408.22
207,1531,1424.46
208,1531,1419.2
209,1531,1417.16
210,1531,1421.26
211,1531,1421.78
212,1531,1415.48
213,1531,1404.18
214,1531,1385.72
215,1531,1399.3
216,1531,1415.78
217,1531,1417.96
218,1531,1418.92
219,1531,1435.92
220,1531,1414.58
221,1531,1415.78
222,1531,1415.58
223,1531,1413.72
224,1531,1415.78
225,1531,1403.76
226,1531,1393.02
227,1531,1385.5
228,1531,1403.9
229,1531,1385.28
230,1531,1374.3
231,1531,1396.66
232,1531,1416.22
233,1531,1397.98
234,1531,1395.18
235,1531,1395.44
236,1531,1413.54
237,1531,1410.9
238,1531,1410.16
239,1531,1388.72
240,1531,1387.48
241,1531,1409.48
242,1531,1409.02
243,1531,1412.9
244,1531,1411.68
245,1531,1392.6
246,1531,1415.68
247,1531,1399.64
248,1531,1377.16
249,1531,1387.34
250,1531,1413.2
251,1531,1416.5
252,1531,1417.44
253,1531,1402.62
254,1531,1387.64
255,1531,1380.16
256,1531,1383.2
257,1531,1381.42
258,1531,1391.8
259,1531,1398.08
260,1531,1403.98
261,1531,1405.68
262,1531,1404.24
263,1531,1398.18
264,1531,1399.98
265,1531,1408.58
266,1531,1410.62
267,1531,1420.3
268,1531,1406.08
269,1531,1402.88
270,1531,1387.86
271,1531,1382.18
272,1531,1380.34
273,1531,1387.16
274,1531,1406.52
275,1531,1399.24
276,1531,1392.84
277,1531,1413.44
278,1531,1415.54
279,1531,1428.68
280,1531,1419.08
281,1531,1422.88
282,1531,1410.96
283,1531,1433.3
284,1531,1428.02
285,1531,1431.16
286,1531,1422.4
287,1531,1400.78
288,1531,1429.86
289,1531,1426.4
290,1531,1415.42
291,1531,1421.46
292,1531,1400.98
293,1531,1411.3
294,1531,1428.24
295,1531,1431.9
296,1531,1420.08
297,1531,1416.68
298,1531,1399.44
299,1531,1404.16
300,1531,1420.8
301,1531,1408.32
302,1531,1414.84
303,1531,1392.8
304,1531,1389.04
305,1531,1391.96
306,1531,1405.28
307,1531,1408.6
308,1531,1420.04
309,1531,1440.98
310,1531,1428.32
311,1531,1414.52
312,1531,1407.32
313,1531,1404.8
314,1531,1399.54
315,1531,1388.52
316,1531,1373.14
317,1531,1382.56
318,1531,1397.98
319,1531,1412.58
320,1531,1427.44
321,1531,1406.64
322,1531,1396.82
323,1531,1388.1
324,1531,1379.86
325,1531,1385.26
326,1531,1387.88
327,1531,1392.08
328,1531,1398.38
329,1531,1400.62
330,1531,1415.02
331,1531,1414.18
332,1531,1412.0
333,1531,1420.58
334,1531,1387.14
335,1531,1369.1
336,1531,1396.82
337,1531,1413.96
338,1531,1415.64
339,1531,1436.86
340,1531,1401.38
341,1531,1401.0
342,1531,1409.38
343,1531,1402.02
344,1531,1410.54
345,1531,1410.12
346,1531,1410.54
347,1531,1436.16
348,1531,1428.04
349,1531,1434.38
350,1531,1436.26
351,1531,1437.46
