generation,best_score,avg_score
1,1360,1181.23
2,1360,1182.42
3,1439,1186.7
4,1439,1204.48
5,1439,1217.44
6,1444,1250.04
7,1523,1280.48
8,1523,1309.01
9,1523,1314.33
10,1523,1340.75
11,1535,1350.19
12,1535,1366.7
13,1535,1385.71
14,1565,1392.14
15,1565,1385.14
16,1569,1390.85
17,1569,1428.04
18,1571,1430.39
19,1571,1437.64
20,1571,1437.96
21,1571,1465.89
22,1571,1465.24
23,1571,1453.57
24,1571,1449.28
25,1571,1439.07
26,1571,1458.42
27,1571,1461.81
28,1571,1462.74
29,1571,1465.55
30,1571,1470.78
31,1571,1464.17
32,1571,1468.9
33,1571,1481.67
34,1571,1473.62
35,1571,1471.98
36,1571,1471.24
37,1571,1447.19
38,1571,1449.82
39,1571,1447.77
40,1571,1456.74
41,1571,1479.01
42,1571,1472.12
43,1571,1465.21
44,1571,1449.34
45,1571,1459.93
46,1571,1448.32
47,1571,1455.28
48,1571,1466.97
49,1571,1459.41
50,1571,1447.52
51,1571,1452.77
52,1571,1462.4
53,1571,1450.11
54,1571,1460.12
55,1571,1467.68
56,1571,1461.7
57,1571,1463.11
58,1571,1476.35
59,1571,1481.29
60,1571,1483.8
61,1571,1456.41
62,1571,1459.4
63,1571,1479.64
64,1571,1456.31
65,1571,1469.74
66,1571,1475.29
67,1571,1465.76
68,1571,1450.48
69,1571,1468.49
70,1571,1468.48
71,1571,1462.62
72,1571,1460.33
73,1571,1456.87
74,1571,1456.13
75,1571,1464.58
76,1571,1468.8
77,1571,1468.62
78,1571,1464.79
79,1571,1462.01
80,1571,1465.04
81,1571,1453.83
82,1571,1456.93
83,1571,1456.79
84,1571,1467.7
85,1571,1458.31
86,1571,1475.77
87,1571,1462.88
88,1571,1469.17
89,1571,1499.69
90,1571,1477.42
91,1571,1480.95
92,1571,1476.96
93,1571,1472.21
94,1571,1473.27
95,1571,1469.86
96,1571,1492.92
97,1571,1468.93
98,1571,1472.92
99,1571,1467.3
100,1571,1469.65
101,1571,1468.29
102,1571,1469.99
103,1571,1492.47
104,1571,1476.74
105,1571,1487.82
106,1571,1471.16
107,1571,1462.01
108,1571,1482.26
109,1571,1462.7
110,1571,1470.48
111,1571,1462.1
