generation,best_score,avg_score
1,2132,1188.48
2,2132,1067.8
3,2132,1016.14
4,2132,1032.3
5,2132,872.98
6,2132,796.62
7,2132,831.74
8,2132,917.92
9,2147,974.2
10,2147,937.3
11,2147,796.68
12,2147,850.78
13,2147,810.12
14,2147,863.22
15,2147,804.04
16,2147,745.42
17,2147,806.46
18,2147,835.04
19,2147,846.14
20,2147,852.44
21,2147,773.06
22,2147,794.72
23,2147,789.72
24,2147,816.88
25,2147,940.18
26,2147,917.2
27,2147,945.88
28,2147,904.8
29,2147,882.48
30,2147,919.42
31,2147,877.5
32,2147,939.18
33,2147,897.54
34,2147,808.96
35,2147,888.54
36,2147,875.86
37,2147,860.3
38,2147,867.2
39,2147,905.92
40,2147,842.62
41,2147,820.96
42,2147,827.38
43,2147,859.66
44,2147,893.04
45,2147,961.7
46,2147,813.38
47,2147,900.8
48,2147,881.18
49,2147,872.6
50,2147,784.04
51,2147,877.84
52,2147,923.46
53,2147,860.54
54,2147,842.44
55,2147,830.3
56,2147,972.6
57,2147,924.98
58,2147,934.14
59,2147,858.68
60,2147,948.1
61,2147,856.34
62,2147,864.24
63,2147,873.42
64,2147,983.14
65,2147,922.52
66,2147,889.64
67,2147,880.06
68,2147,905.18
69,2147,908.58
70,2147,878.22
71,2147,881.5
72,2147,950.5
73,2147,993.32
74,2147,1062.94
75,2147,1004.6
76,2147,791.1
77,2147,813.14
78,2147,846.74
79,2147,788.06
80,2147,706.62
81,2147,792.1
82,2147,836.1
83,2147,866.8
84,2147,803.22
85,2147,886.82
86,2147,863.84
87,2147,930.38
88,2147,963.84
89,2147,872.28
90,2147,919.44
91,2147,852.62
92,2147,957.34
93,2147,865.04
94,2147,816.88
95,2147,912.74
96,2147,869.36
97,2147,973.14
98,2147,1045.78
99,2147,905.28
100,2147,929.72
101,2147,871.76
102,2147,902.54
103,2147,768.42
104,2147,758.38
105,2147,791.94
106,2147,875.9
107,2147,825.8
108,2147,856.7
109,2147,869.04
110,2147,873.5
111,2147,872.7
112,2147,848.68
113,2147,863.86
114,2147,980.52
115,2147,806.3
116,2147,755.96
117,2147,781.54
118,2147,800.56
119,2147,817.72
120,2147,819.3
121,2147,929.16
122,2147,813.5
123,2147,891.46
124,2147,977.1
125,2147,834.74
126,2147,807.9
127,2147,823.4
128,2147,748.12
129,2147,871.14
130,2147,993.88
131,2147,893.18
132,2147,780.92
133,2147,765.44
134,2147,826.48
135,2147,817.94
136,2147,776.02
137,2147,857.46
138,2147,853.02
139,2147,821.66
140,2147,846.68
141,2147,876.36
142,2147,926.92
143,2147,1002.64
144,2147,896.06
145,2147,1001.1
146,2147,906.1
147,2147,917.78
148,2147,969.48
149,2147,905.7
150,2147,878.34
151,2147,892.06
152,2147,925.58
153,2147,814.76
154,2147,807.4
155,2147,908.7
156,2147,968.82
157,2147,902.34
158,2147,846.28
159,2147,821.6
160,2147,899.8
161,2147,953.64
162,2147,942.64
163,2147,894.1
164,2147,906.1
165,2147,820.58
166,2147,785.26
167,2147,769.32
168,2147,863.74
169,2147,807.66
170,2149,953.12
171,2149,842.48
172,2149,874.22
173,2149,872.1
174,2149,796.56
175,2149,908.16
176,2149,850.72
177,2149,918.4
178,2149,934.9
179,2149,1018.5
180,2153,1002.82
181,2153,1017.46
182,2153,1046.92
183,2153,1081.28
184,2153,995.76
185,2153,982.56
186,2153,932.36
187,2153,817.94
188,2153,810.82
189,2153,885.5
190,2153,888.04
191,2153,861.9
192,2153,836.42
193,2153,899.74
194,2153,1031.16
195,2153,960.96
196,2153,1035.06
197,2153,1010.0
198,2153,983.72
199,2153,1024.94
200,2153,919.6
