generation,best_score,avg_score
1,2615,2089.66
2,2829,2200.18
3,2829,2292.18
4,2829,2350.97
5,2829,2362.96
6,2874,2428.24
7,2874,2505.24
8,2874,2525.38
9,2874,2601.14
10,2898,2640.69
11,2898,2661.9
12,2898,2628.77
13,2912,2650.06
14,2912,2656.39
15,2912,2659.92
16,2936,2659.81
17,2945,2633.72
18,2945,2677.37
19,2945,2711.71
20,2945,2668.04
21,2945,2669.11
22,2945,2704.84
23,2945,2710.49
24,2945,2699.82
25,2945,2720.95
26,2945,2707.09
27,2945,2711.53
28,2945,2700.91
29,2945,2704.29
30,2945,2660.6
31,2945,2721.18
32,2945,2733.9
33,2945,2725.99
34,2945,2695.58
35,2945,2739.9
36,2945,2700.24
37,2945,2718.86
38,2945,2726.04
39,2945,2742.18
40,2945,2739.83
41,2945,2711.96
42,2945,2727.38
43,2945,2767.5
44,2945,2735.44
45,2945,2729.92
46,2945,2715.66
47,2945,2682.0
48,2945,2692.99
49,2945,2714.07
50,2945,2710.01
51,2945,2702.29
52,2945,2665.15
53,2945,2670.43
54,2945,2718.1
55,2945,2716.72
56,2945,2661.83
57,2945,2709.92
58,2945,2710.7
59,2945,2658.3
60,2945,2724.1
61,2945,2710.62
62,2945,2709.94
63,2945,2712.42
64,2945,2735.35
65,2945,2713.37
66,2945,2694.18
67,2945,2721.3
68,2945,2678.91
69,2945,2674.97
70,2945,2686.75
71,2945,2672.22
72,2945,2690.68
73,2945,2674.63
74,2945,2697.49
75,2945,2665.99
76,2945,2697.03
77,2945,2687.89
78,2945,2720.4
79,2945,2679.1
80,2945,2718.54
81,2945,2722.14
82,2945,2700.27
83,2945,2691.19
84,2945,2682.89
85,2945,2697.05
86,2945,2694.43
87,2945,2710.52
88,2945,2687.75
89,2945,2680.55
90,2945,2709.43
91,2945,2711.67
92,2945,2696.57
93,2945,2659.92
94,2945,2725.07
95,2945,2700.58
96,2945,2681.67
97,2945,2677.75
98,2945,2681.35
99,2945,2694.94
100,2945,2694.61
101,2945,2683.95
102,2945,2662.92
103,2945,2703.92
104,2945,2679.5
105,2945,2650.47
106,2945,2703.71
107,2945,2734.85
108,2945,2712.07
109,2945,2713.45
110,2945,2683.1
111,2945,2655.02
112,2945,2649.51
113,2945,2674.56
114,2945,2658.24
115,2945,2647.74
116,2945,2661.61
117,2945,2684.3
118,2945,2664.58
119,2945,2716.65
120,2945,2674.27
121,2945,2665.66
122,2945,2700.07
123,2945,2672.92
124,2945,2680.04
125,2945,2692.37
126,2945,2695.98
127,2945,2666.12
128,2945,2753.46
129,2945,2704.66
130,2945,2687.63
131,2945,2668.88
132,2945,2661.88
133,2945,2654.04
134,2945,2649.95
135,2945,2680.43
136,2945,2728.19
137,2945,2661.93
138,2945,2712.61
139,2945,2727.12
140,2945,2732.38
141,2945,2720.7
142,2945,2696.72
143,2945,2728.32
144,2945,2683.85
145,2945,2690.58
146,2945,2672.1
147,2945,2669.25
148,2945,2690.13
149,2945,2688.0
150,2945,2717.96
151,2945,2683.76
152,2945,2732.4
153,2945,2712.0
154,2945,2704.53
155,2945,2676.73
156,2945,2673.62
157,2945,2649.05
158,2945,2699.41
159,2945,2665.57
160,2945,2679.71
161,2945,2692.35
162,2945,2646.26
163,2945,2662.7
164,2945,2700.73
165,2945,2732.87
166,2945,2700.03
167,2945,2667.75
168,2945,2705.47
169,2945,2696.96
170,2945,2700.09
171,2945,2685.31
172,2945,2690.28
173,2945,2695.68
174,2945,2704.16
175,2945,2682.86
176,2945,2646.33
177,2945,2661.23
178,2945,2680.29
179,2945,2667.13
180,2945,2679.66
181,2945,2669.45
182,2945,2703.23
183,2945,2682.62
184,2945,2702.99
185,2945,2686.21
186,2945,2740.12
187,2945,2671.59
188,2945,2658.73
189,2945,2690.19
190,2945,2684.25
191,2945,2665.47
192,2945,2658.07
193,2945,2664.97
194,2945,2720.14
195,2945,2645.53
196,2945,2665.88
197,2945,2672.93
198,2945,2699.77
199,2945,2718.73
200,2945,2724.59
201,2945,2710.63
202,2945,2689.13
203,2945,2673.73
204,2945,2661.41
205,2945,2706.85
206,2945,2711.14
207,2945,2674.27
208,2945,2667.11
209,2945,2689.16
210,2945,2716.04
211,2945,2705.85
212,2945,2749.31
213,2945,2709.45
214,2945,2677.06
215,2945,2715.97
216,2945,2762.06
217,2945,2717.38
218,2945,2692.41
219,2945,2666.07
220,2945,2685.93
221,2945,2656.91
222,2945,2699.01
223,2945,2705.03
224,2945,2702.65
225,2945,2695.59
226,2945,2684.71
227,2945,2673.0
228,2945,2656.7
229,2945,2684.57
230,2945,2693.52
231,2945,2657.52
232,2945,2684.94
233,2945,2673.42
234,2945,2671.32
235,2945,2684.38
236,2945,2674.42
237,2945,2655.77
238,2945,2700.19
239,2945,2712.58
240,2945,2725.23
241,2945,2715.25
242,2945,2699.86
243,2945,2687.76
244,2945,2721.31
245,2945,2737.95
246,2945,2744.81
247,2945,2709.35
248,2945,2695.46
249,2945,2670.65
250,2945,2699.54
251,2945,2712.57
252,2945,2676.44
253,2945,2680.6
254,2945,2696.77
255,2945,2664.63
256,2945,2699.26
257,2945,2694.49
258,2945,2729.97
259,2945,2722.71
260,2945,2669.78
261,2945,2650.92
262,2945,2654.54
263,2945,2663.03
264,2945,2681.01
265,2945,2710.54
266,2945,2716.49
267,2945,2717.68
268,2945,2727.6
269,2945,2673.79
270,2945,2725.59
271,2945,2703.36
272,2945,2744.87
273,2945,2719.69
274,2945,2686.54
275,2945,2703.42
276,2945,2684.35
277,2945,2699.3
278,2945,2683.82
279,2945,2687.48
280,2945,2679.62
281,2945,2681.26
282,2945,2674.03
283,2945,2692.22
284,2945,2670.76
285,2945,2688.55
286,2945,2674.08
287,2945,2702.7
288,2945,2717.55
289,2945,2732.42
290,2945,2692.39
291,2945,2708.94
292,2945,2695.42
293,2945,2692.51
294,2945,2620.36
295,2945,2652.46
296,2945,2668.43
297,2945,2645.88
298,2945,2700.1
299,2945,2678.9
300,2945,2687.52
301,2945,2703.38
302,2945,2664.18
303,2945,2702.16
304,2945,2678.18
305,2945,2711.75
306,2945,2701.84
307,2945,2717.92
308,2945,2684.24
309,2945,2685.28
310,2945,2710.42
311,2945,2702.49
312,2945,2702.83
313,2945,2718.55
314,2945,2689.6
315,2945,2686.81
316,2945,2710.53
317,2945,2699.57
318,2945,2723.51
319,2945,2712.48
320,2945,2712.61
321,2945,2708.0
322,2945,2719.55
323,2945,2698.8
324,2945,2684.59
325,2945,2688.57
326,2945,2713.8
327,2945,2678.45
328,2945,2673.96
329,2945,2712.96
330,2945,2684.1
331,2945,2670.53
332,2945,2709.89
333,2945,2729.09
334,2945,2727.16
335,2945,2695.06
336,2945,2717.11
337,2945,2680.56
338,2945,2686.33
339,2945,2694.89
340,2945,2684.28
341,2945,2686.45
342,2945,2695.6
343,2945,2687.02
344,2945,2677.77
345,2945,2711.92
346,2945,2719.77
347,2945,2675.82
348,2945,2712.73
349,2945,2687.27
350,2945,2677.44
351,2945,2703.7
352,2945,2714.03
353,2945,2685.7
354,2945,2700.59
355,2945,2638.31
356,2945,2687.37
357,2945,2658.27
358,2945,2716.64
359,2945,2668.21
360,2945,2694.07
361,2945,2687.82
362,2945,2659.58
363,2945,2657.58
364,2945,2660.3
365,2945,2639.07
366,2945,2683.02
367,2945,2685.9
368,2945,2697.59
369,2945,2657.33
370,2945,2644.52
371,2945,2658.55
372,2945,2642.57
373,2945,2628.44
374,2945,2660.5
375,2945,2649.14
376,2945,2694.73
377,2945,2726.27
378,2945,2722.89
379,2945,2687.99
380,2945,2702.15
381,2945,2699.08
382,2945,2726.67
383,2945,2701.78
384,2945,2718.25
385,2945,2715.83
386,2945,2736.23
387,2945,2723.99
388,2945,2692.13
389,2945,2673.34
390,2945,2688.93
391,2945,2699.06
392,2945,2698.97
393,2945,2701.94
394,2945,2694.26
395,2945,2704.31
396,2945,2684.88
397,2945,2648.39
398,2945,2596.88
399,2945,2614.61
400,2945,2608.35
401,2945,2675.22
402,2945,2687.2
403,2945,2674.55
404,2945,2695.19
405,2945,2683.73
406,2945,2667.89
407,2945,2677.75
408,2945,2694.86
409,2945,2702.89
410,2945,2686.4
411,2945,2704.87
412,2945,2714.4
413,2945,2676.56
414,2945,2693.31
415,2945,2703.51
416,2945,2670.13
417,2945,2680.62
418,2945,2726.3
419,2945,2681.35
420,2945,2692.2
421,2945,2661.29
422,2945,2682.31
423,2945,2651.6
424,2945,2644.48
425,2945,2619.81
426,2945,2658.84
427,2945,2630.22
428,2945,2637.48
429,2945,2669.1
430,2945,2684.36
431,2945,2668.41
432,2945,2647.4
433,2945,2673.18
434,2945,2674.38
435,2961,2669.16
436,2961,2689.65
437,3000,2663.67
438,3000,2686.37
439,3000,2736.83
440,3000,2697.84
441,3000,2702.73
442,3000,2730.76
443,3000,2705.76
444,3000,2670.11
445,3000,2729.25
446,3000,2738.65
447,3000,2745.73
448,3000,2742.37
449,3000,2718.27
450,3000,2773.78
451,3000,2789.15
452,3000,2758.38
453,3000,2753.0
454,3000,2756.74
455,3000,2782.89
456,3000,2756.56
457,3000,2802.94
458,3000,2760.45
459,3000,2757.31
460,3000,2759.16
461,3000,2764.83
462,3000,2697.84
463,3000,2743.7
464,3000,2739.36
465,3000,2744.09
466,3000,2764.56
467,3000,2753.62
468,3000,2751.73
469,3000,2735.24
470,3000,2745.28
471,3000,2723.29
472,3000,2758.98
473,3000,2753.95
474,3000,2744.9
475,3000,2749.01
476,3000,2785.42
477,3000,2765.42
478,3000,2728.83
479,3000,2766.71
480,3000,2749.37
481,3000,2750.13
482,3000,2738.26
483,3000,2759.19
484,3000,2773.26
485,3000,2773.98
486,3000,2741.93
487,3000,2694.14
488,3000,2762.0
489,3000,2770.47
490,3000,2794.43
491,3000,2772.69
492,3000,2713.46
493,3000,2737.24
494,3000,2751.36
495,3000,2734.36
496,3000,2787.13
497,3000,2763.89
498,3000,2731.18
499,3000,2756.96
500,3000,2710.73
501,3000,2690.73
502,3000,2759.31
503,3000,2746.67
504,3000,2757.43
505,3000,2734.84
506,3000,2734.79
507,3000,2771.89
508,3000,2770.91
509,3000,2772.61
510,3000,2789.88
511,3000,2784.82
512,3000,2732.85
513,3000,2731.34
514,3000,2745.58
515,3000,2755.76
516,3000,2743.23
517,3000,2773.67
518,3000,2764.76
519,3000,2748.01
520,3000,2750.38
521,3000,2721.6
522,3000,2745.54
523,3000,2765.52
524,3000,2715.08
525,3000,2756.66
526,3000,2725.44
527,3000,2767.0
528,3000,2745.24
529,3000,2734.1
530,3000,2743.93
531,3000,2736.46
532,3000,2745.48
533,3000,2758.68
534,3000,2745.38
535,3000,2782.58
536,3000,2771.51
537,3000,2760.89
538,3000,2730.96
539,3000,2791.67
540,3000,2763.42
541,3000,2693.99
542,3000,2700.9
543,3000,2694.14
544,3000,2713.33
545,3000,2757.33
546,3000,2735.64
547,3000,2722.26
548,3000,2721.77
549,3000,2721.84
550,3000,2709.94
551,3000,2725.67
552,3000,2714.63
553,3000,2710.18
554,3000,2729.43
555,3000,2716.68
556,3000,2662.87
557,3000,2731.27
558,3000,2717.5
559,3000,2714.16
560,3000,2768.62
561,3000,2770.48
562,3000,2747.77
563,3000,2745.13
564,3000,2731.48
565,3000,2741.73
566,3000,2732.91
567,3000,2750.91
568,3000,2784.81
569,3000,2779.9
570,3000,2785.83
571,3000,2770.68
572,3000,2796.7
573,3000,2749.3
574,3000,2709.04
575,3000,2717.48
576,3000,2697.67
577,3000,2693.92
578,3000,2739.14
579,3000,2732.27
580,3000,2733.16
581,3000,2728.11
582,3000,2748.67
583,3000,2746.73
584,3000,2702.46
585,3000,2742.58
586,3000,2729.99
587,3000,2766.96
588,3000,2768.27
589,3000,2786.53
590,3000,2772.96
591,3000,2759.89
592,3000,2755.01
593,3000,2754.01
594,3000,2739.6
595,3000,2731.7
596,3000,2740.94
597,3000,2659.33
598,3000,2764.26
599,3000,2762.89
600,3000,2827.83
601,3000,2775.2
602,3000,2762.46
603,3000,2753.8
604,3000,2736.96
605,3000,2744.43
606,3000,2731.34
607,3000,2737.35
608,3000,2747.44
609,3000,2677.59
610,3000,2754.63
611,3000,2725.4
612,3000,2732.16
613,3000,2719.89
614,3000,2718.49
615,3000,2719.85
616,3000,2704.74
617,3000,2720.21
618,3000,2775.62
619,3000,2791.0
620,3000,2741.57
621,3000,2765.7
622,3000,2763.72
623,3000,2731.36
624,3000,2756.16
625,3000,2731.62
626,3000,2756.79
627,3000,2741.92
628,3000,2724.27
629,3000,2691.3
630,3000,2698.26
631,3000,2726.91
632,3000,2720.08
633,3000,2726.88
634,3000,2715.28
635,3000,2738.88
636,3000,2713.87
637,3000,2724.62
638,3000,2748.2
639,3000,2729.46
640,3000,2723.95
641,3000,2711.69
642,3000,2743.69
643,3000,2712.54
644,3000,2761.79
645,3000,2735.99
646,3000,2728.88
647,3000,2761.54
648,3000,2758.88
649,3000,2768.91
650,3000,2764.33
651,3000,2722.27
652,3000,2756.25
653,3000,2773.17
654,3000,2804.85
655,3000,2764.25
656,3000,2783.32
657,3000,2764.41
658,3000,2758.53
659,3000,2757.9
660,3000,2761.91
661,3000,2791.49
662,3000,2750.51
663,3000,2753.22
664,3000,2744.92
665,3000,2786.47
666,3000,2736.22
667,3000,2743.81
668,3000,2750.81
669,3000,2755.03
670,3000,2730.19
671,3000,2736.4
672,3000,2713.38
673,3000,2726.46
674,3000,2735.36
675,3000,2764.61
676,3000,2752.4
677,3000,2758.48
678,3000,2791.43
679,3000,2763.34
680,3000,2763.8
681,3000,2791.13
682,3000,2742.77
683,3000,2733.2
684,3000,2708.14
685,3000,2681.48
686,3000,2686.06
687,3000,2721.2
688,3000,2750.83
689,3000,2744.84
690,3000,2721.64
691,3000,2715.44
692,3000,2730.82
693,3000,2711.16
694,3000,2733.91
695,3000,2753.47
696,3000,2750.44
697,3000,2740.51
698,3000,2786.75
699,3000,2780.39
700,3000,2767.63
701,3000,2778.54
702,3000,2791.95
703,3000,2783.96
704,3000,2751.66
705,3000,2779.04
706,3000,2739.3
707,3000,2736.4
708,3000,2731.62
709,3000,2713.24
710,3000,2705.81
711,3000,2691.28
