generation,best_score,avg_score
1,2115,1128.84
2,2115,1084.22
3,2115,1011.96
4,2119,907.1
5,2119,1040.66
6,2119,957.56
7,2119,963.72
8,2119,958.38
9,2119,983.62
10,2119,944.52
11,2119,870.28
12,2119,820.3
13,2119,866.02
14,2119,788.48
15,2119,915.16
16,2119,1050.94
17,2119,1121.66
18,2119,1137.7
19,2119,1221.18
20,2119,1145.06
21,2119,1142.2
22,2119,1164.4
23,2119,1166.62
24,2119,1097.4
25,2119,999.7
26,2119,1068.88
27,2119,1044.56
28,2119,1071.9
29,2119,1015.86
30,2119,1058.84
31,2119,908.9
32,2119,1022.56
33,2119,1110.22
34,2119,1101.44
35,2119,1113.86
36,2119,1118.6
37,2119,1072.74
38,2119,1120.48
39,2119,1112.82
40,2119,1074.96
41,2119,970.96
42,2119,937.18
43,2119,930.6
44,2119,1087.96
45,2119,1114.12
46,2119,1092.82
47,2119,1030.46
48,2119,1096.94
49,2119,1138.22
50,2119,1071.84
51,2119,1037.54
52,2119,1049.92
53,2119,1020.58
54,2119,982.5
55,2119,1024.26
56,2119,926.74
57,2119,1033.76
58,2119,1080.1
59,2119,1091.04
60,2119,1007.08
61,2119,1039.98
62,2119,1058.94
63,2119,1064.42
64,2119,1146.62
65,2119,1023.5
66,2119,1025.68
67,2119,1042.7
68,2119,1096.76
69,2119,1054.3
70,2119,1130.1
71,2119,1097.42
72,2119,1039.56
73,2119,999.14
74,2119,1003.88
75,2119,1204.1
76,2119,1066.8
77,2119,1075.8
78,2119,1062.24
79,2119,1013.54
80,2119,961.16
81,2119,998.46
82,2119,1093.92
83,2119,988.46
84,2119,1093.68
85,2119,1151.04
86,2119,1007.24
87,2119,964.18
88,2119,1093.86
89,2119,1097.38
90,2119,999.1
91,2119,1093.48
92,2119,1206.82
93,2119,1220.26
94,2119,1152.14
95,2119,1174.4
96,2119,1150.92
97,2119,1241.34
98,2119,1239.78
99,2119,1086.6
100,2119,1055.84
101,2119,1218.66
102,2119,1098.64
103,2119,1077.92
104,2119,1068.94
105,2119,1068.86
106,2119,1030.8
107,2119,946.16
108,2119,1031.72
109,2119,961.26
110,2119,946.48
111,2119,1080.78
112,2119,1096.74
113,2119,1158.94
114,2119,1254.66
115,2119,1214.88
116,2119,1159.96
117,2119,1134.48
118,2119,1009.74
119,2119,949.38
120,2119,968.68
121,2119,985.26
122,2119,1144.3
123,2119,1216.58
124,2119,1099.56
125,2119,1161.28
126,2119,1174.3
127,2119,1123.26
128,2119,1157.78
129,2119,1130.66
130,2119,1167.92
131,2119,1123.36
132,2119,1064.86
133,2119,1118.36
134,2119,1100.24
135,2119,1219.62
136,2119,1118.16
137,2119,1070.04
138,2119,1103.58
139,2119,1048.44
140,2119,1142.78
141,2119,1039.48
142,2119,1090.36
143,2119,969.88
144,2119,958.58
145,2119,1037.46
146,2119,999.96
147,2119,1069.2
148,2119,1123.18
149,2119,1129.0
150,2119,1038.54
151,2119,1063.84
152,2119,1181.98
153,2119,1103.44
154,2119,1048.1
155,2119,1046.46
156,2119,1104.26
157,2119,1112.8
158,2119,1152.96
159,2119,1165.5
160,2119,1150.3
161,2119,1118.14
162,2119,1131.26
163,2119,1096.76
164,2119,1126.46
165,2119,1094.26
166,2119,1138.52
167,2119,1036.96
168,2119,1142.7
169,2119,1100.28
170,2119,1164.96
171,2119,1133.76
172,2119,1239.52
173,2119,1174.14
174,2119,1074.32
175,2119,998.54
176,2119,1112.64
177,2119,1177.46
178,2119,1152.42
179,2119,1078.1
180,2119,968.66
181,2119,1107.06
182,2119,1239.32
183,2119,1276.02
184,2119,1195.68
185,2119,1081.38
186,2119,1029.08
187,2119,959.54
188,2119,1034.9
189,2119,1026.36
190,2119,1052.0
191,2119,1019.48
192,2119,1095.54
193,2119,1047.24
194,2119,1044.36
195,2119,1181.84
196,2119,1122.8
197,2119,990.82
198,2119,1086.42
199,2119,1037.96
200,2119,1111.84
