generation,best_score,avg_score
1,1717,1303.08
2,1717,1271.3
3,1717,1233.15
4,1717,1149.6
5,1717,1131.84
6,1717,1125.35
7,1717,1165.7
8,1717,1142.33
9,1717,1167.62
10,1718,1118.38
11,1718,1140.64
12,1718,1158.3
13,1718,1098.89
14,1718,1086.13
15,1718,1141.51
16,1718,1125.54
17,1718,1107.03
18,1718,1054.31
19,1718,1084.59
20,1718,1131.83
21,1718,1170.03
22,1718,1185.98
23,1718,1135.23
24,1718,1119.71
25,1718,1157.9
26,1718,1190.26
27,1718,1174.98
28,1718,1157.09
29,1718,1157.14
30,1718,1167.16
31,1718,1166.92
32,1718,1223.09
33,1718,1227.02
34,1718,1162.49
35,1718,1215.94
36,1718,1130.0
37,1718,1139.47
38,1718,1146.01
39,1718,1117.66
40,1718,1111.09
41,1718,1112.99
42,1718,1140.88
43,1718,1138.27
44,1718,1108.82
45,1718,1109.41
46,1718,1146.52
47,1718,1168.06
48,1718,1274.96
49,1718,1223.9
50,1718,1140.28
51,1718,1118.42
52,1718,1186.21
53,1718,1240.71
54,1718,1243.86
55,1718,1211.9
56,1718,1174.58
57,1718,1190.06
58,1718,1180.6
59,1718,1174.25
60,1718,1191.06
61,1718,1188.84
62,1718,1189.32
63,1718,1190.96
64,1718,1204.23
65,1718,1216.04
66,1718,1147.97
67,1718,1154.2
68,1718,1147.3
69,1718,1121.05
70,1718,1119.48
71,1718,1205.3
72,1718,1179.75
73,1718,1168.9
74,1718,1190.18
75,1718,1232.7
76,1718,1226.35
77,1718,1272.75
78,1718,1247.77
79,1718,1192.88
80,1718,1237.92
81,1718,1262.14
82,1718,1151.4
83,1718,1207.32
84,1718,1244.62
85,1718,1217.01
86,1718,1206.56
87,1718,1164.74
88,1718,1144.49
89,1718,1164.52
90,1718,1175.13
91,1718,1213.85
92,1718,1230.21
93,1718,1207.47
94,1718,1159.68
95,1718,1254.95
96,1718,1215.67
97,1718,1226.55
98,1718,1221.16
99,1718,1179.65
100,1718,1161.41
101,1718,1103.58
102,1718,1100.16
103,1718,1146.49
104,1718,1189.04
105,1718,1197.22
106,1718,1207.92
107,1718,1153.49
108,1718,1186.72
