generation,best_score,avg_score
1,380,337.4
2,380,317.1
3,380,310.7
4,380,296.4
5,380,319.0
6,380,336.9
7,380,346.4
8,380,331.0
9,380,335.9
10,380,333.2
11,380,328.7
12,380,320.4
13,380,318.8
14,380,346.5
15,380,323.0
16,380,315.6
17,380,333.9
18,380,335.4
19,380,309.0
20,380,330.1
21,380,332.0
22,380,343.9
23,380,314.6
24,380,332.6
25,380,318.1
26,380,346.4
27,380,310.1
28,380,313.2
29,380,328.3
30,380,321.8
31,380,313.2
32,380,308.5
33,380,320.6
34,380,328.1
35,380,318.6
36,380,340.4
37,380,300.0
38,380,311.5
39,380,325.9
40,380,311.9
41,380,313.3
42,380,322.5
43,380,319.2
44,380,339.3
45,380,327.4
46,380,349.1
47,380,321.9
48,380,325.9
49,380,315.3
50,380,329.9
51,380,338.3
52,380,317.8
53,380,327.2
54,380,321.9
55,380,306.7
56,380,298.1
57,380,315.3
58,380,332.1
59,380,320.2
60,380,322.6
61,380,337.4
62,380,335.7
63,380,326.6
64,380,350.4
65,380,343.2
66,380,352.2
67,380,348.7
68,380,326.4
69,380,325.4
70,380,319.6
71,380,323.6
72,380,325.1
73,380,322.5
74,380,320.4
75,380,338.2
76,380,325.9
77,380,332.2
78,380,339.9
79,380,335.3
80,380,333.2
81,380,333.2
82,380,329.3
83,380,324.8
84,380,318.3
85,380,328.6
86,380,316.9
87,380,336.7
88,380,319.7
89,380,322.0
90,380,337.0
91,380,320.1
92,380,349.5
93,380,336.2
94,380,329.0
95,380,334.7
96,380,330.0
97,380,322.7
98,380,311.7
99,380,300.5
100,380,314.7
101,380,317.9
102,380,323.8
103,380,314.6
104,380,339.4
105,380,331.9
106,380,336.1
107,380,323.5
108,380,336.8
109,380,328.5
110,380,324.8
111,380,346.1
112,380,337.0
113,380,317.8
114,380,299.1
115,380,321.2
116,380,331.8
117,380,316.7
118,380,305.5
119,380,315.4
120,380,321.3
121,380,335.5
122,380,355.9
123,380,327.9
124,380,323.4
125,380,317.8
126,380,319.2
127,380,333.3
128,380,342.1
129,380,325.5
130,380,353.2
131,380,324.9
132,380,322.8
133,380,322.2
134,380,326.5
135,380,340.3
136,380,334.9
137,380,317.4
138,380,323.8
139,380,340.9
140,380,330.7
141,380,339.7
142,380,337.6
143,380,324.8
144,380,328.1
145,380,328.8
146,380,328.3
147,380,320.5
148,380,304.8
149,380,329.0
150,380,336.7
151,380,306.7
152,380,331.4
153,380,328.7
154,380,325.9
155,380,313.0
156,380,340.2
157,380,323.5
158,380,334.9
159,380,332.0
160,380,345.2
161,380,332.6
162,380,346.9
163,380,343.6
164,380,340.8
165,380,315.4
166,380,301.5
167,380,301.4
168,380,305.9
169,380,306.0
170,380,305.8
171,380,303.9
172,380,323.4
173,380,317.7
174,380,319.7
175,380,361.7
176,380,335.3
177,380,330.9
178,380,334.4
179,380,337.0
180,380,311.9
181,380,334.9
182,380,335.7
183,380,313.1
184,380,314.3
185,380,319.4
186,380,310.0
187,380,323.9
188,380,322.2
189,380,322.6
190,380,345.8
191,380,335.5
192,380,328.0
193,380,328.9
194,380,313.9
195,380,318.5
196,380,325.1
197,380,319.6
198,380,336.9
199,380,353.9
200,380,340.7
201,380,333.3
202,380,328.8
203,380,338.2
204,380,355.0
205,380,327.7
206,380,331.0
207,380,315.2
208,380,337.4
209,380,330.5
210,380,328.9
211,380,341.5
212,380,334.4
213,380,325.8
214,380,337.1
215,380,315.6
216,380,313.1
217,380,325.6
218,380,330.8
219,380,326.5
220,380,326.3
221,380,320.2
222,380,333.8
223,380,335.1
224,380,309.3
225,380,302.5
226,380,315.3
227,380,320.8
228,380,330.3
229,380,332.0
