generation,best_score,avg_score
1,380,342.0
2,380,319.8
3,380,323.0
4,380,338.8
5,380,337.55
6,380,325.05
7,380,330.05
8,380,324.45
9,380,327.0
10,380,327.25
11,380,318.6
12,380,304.45
13,380,308.05
14,380,311.6
15,380,334.6
16,380,333.9
17,380,312.65
18,380,315.2
19,380,323.2
20,380,327.5
21,380,332.0
22,380,320.8
23,380,315.5
24,380,318.35
25,380,319.35
26,380,329.05
27,380,317.65
28,380,329.25
29,380,313.85
30,380,333.8
31,380,327.25
32,380,331.55
33,380,322.05
34,380,322.55
35,380,323.55
36,380,328.3
37,380,330.85
38,380,308.15
39,380,309.55
40,380,327.2
41,380,321.65
42,380,320.95
43,380,326.5
44,380,331.85
45,380,322.8
46,380,336.65
47,380,324.6
48,380,319.4
49,380,332.7
50,380,313.9
51,380,339.3
52,380,339.2
53,380,320.55
54,380,338.55
55,380,318.1
56,380,303.05
57,380,314.25
58,380,311.3
59,380,317.75
60,380,314.95
61,380,338.05
62,380,324.45
63,380,325.65
64,380,329.85
65,380,317.05
66,380,323.6
67,380,306.15
68,380,323.45
69,380,308.75
70,380,316.0
71,380,334.75
72,380,326.65
73,380,322.5
74,380,339.65
75,380,336.8
76,380,324.25
77,380,329.7
78,380,318.2
79,380,333.6
80,380,334.5
81,380,323.95
82,380,334.35
83,380,335.15
84,380,327.55
85,380,321.25
86,380,320.75
87,380,339.75
88,380,350.95
89,380,321.65
90,380,326.2
91,380,319.55
92,380,308.7
93,380,329.6
94,380,322.3
95,380,328.45
96,380,335.4
97,380,318.75
98,380,321.25
99,380,324.35
100,380,317.0
101,380,323.25
102,380,322.95
103,380,333.2
104,380,326.65
105,380,333.0
106,380,334.3
107,380,312.0
108,380,312.2
109,380,317.85
110,380,332.65
111,380,315.4
112,380,318.05
113,380,339.4
114,380,331.75
115,380,319.8
116,380,307.7
117,380,327.2
118,380,336.55
119,380,324.85
120,380,340.75
121,380,335.25
122,380,336.65
123,380,327.45
124,380,332.55
125,380,338.9
126,380,339.45
127,380,335.65
128,380,323.8
129,380,331.2
130,380,329.05
131,380,321.2
132,380,326.5
133,380,339.15
134,380,342.25
135,380,334.7
136,380,329.5
137,380,325.8
138,380,315.75
139,380,317.1
140,380,339.2
141,380,334.9
142,380,324.7
143,380,333.1
144,380,311.75
145,380,313.75
146,380,318.65
147,380,325.7
148,380,321.8
149,380,318.25
150,380,323.9
151,380,325.65
152,380,321.3
153,380,319.05
154,380,330.45
155,380,321.85
156,380,327.05
157,380,325.8
158,380,324.95
159,380,305.75
160,380,328.35
161,380,329.15
162,380,342.0
163,380,329.25
164,380,322.2
165,380,333.45
166,380,330.4
167,380,313.05
168,380,325.35
169,380,337.3
170,380,320.75
171,380,329.05
172,380,327.85
173,380,309.2
174,380,300.6
175,380,300.3
176,380,294.9
177,380,299.5
178,380,317.45
179,380,313.55
180,380,323.3
181,380,301.85
182,380,304.35
183,380,325.6
184,380,324.7
185,380,315.65
186,380,332.9
187,380,331.5
188,380,305.75
189,380,312.7
190,380,330.7
191,380,332.3
192,380,322.8
193,380,320.3
194,380,333.4
195,380,334.95
196,380,320.6
197,380,311.05
198,380,316.3
199,380,319.0
200,380,322.9
201,380,319.65
202,380,310.7
203,380,309.15
204,380,313.9
205,380,313.95
206,380,310.05
207,380,315.2
208,380,321.9
209,380,321.1
210,380,318.1
211,380,338.45
212,380,320.6
213,380,313.15
214,380,308.75
215,380,334.1
216,380,323.7
217,380,325.8
218,380,322.7
219,380,328.15
220,380,315.9
221,380,307.8
222,380,300.3
223,380,311.3
224,380,330.8
225,380,334.55
226,380,322.4
227,380,336.95
228,380,325.7
229,380,338.7
230,380,330.05
231,380,331.95
232,380,333.5
233,380,313.8
234,380,307.1
235,380,319.65
236,380,327.1
237,380,313.6
238,380,325.4
239,380,329.1
240,380,311.4
241,380,338.2
242,380,330.1
243,380,324.05
244,380,303.3
245,380,308.25
246,380,319.6
247,380,322.55
248,380,316.7
249,380,323.6
250,380,321.65
251,380,330.7
252,380,320.7
253,380,321.65
254,380,315.9
255,380,320.5
256,380,319.35
257,380,322.05
258,380,322.6
259,380,320.95
260,380,322.35
261,380,331.95
262,380,326.15
263,380,336.05
264,380,318.8
265,380,333.8
266,380,318.7
267,380,322.45
268,380,313.85
269,380,322.7
270,380,312.5
271,380,318.6
272,380,319.5
273,380,329.45
274,380,317.85
275,380,312.75
276,380,316.3
277,380,318.4
278,380,321.55
279,380,335.0
280,380,321.85
281,380,338.25
282,380,326.65
283,380,325.3
284,380,325.55
285,380,318.05
286,380,314.4
287,380,330.75
288,380,320.75
289,380,327.65
290,380,316.2
291,380,322.8
292,380,324.05
293,380,318.85
294,380,322.45
295,380,318.05
296,380,319.1
297,380,312.1
298,380,329.5
299,380,320.45
300,380,323.45
301,380,326.4
302,380,334.35
303,380,339.7
304,380,330.3
305,380,331.75
306,380,317.2
307,380,324.6
308,380,326.05
309,380,325.55
310,380,319.6
311,380,322.65
312,380,321.95
313,380,312.8
314,380,321.9
315,380,332.0
316,380,319.8
317,380,318.5
318,380,323.45
319,380,318.85
320,380,310.55
321,380,315.6
322,380,322.5
323,380,326.95
324,380,330.45
325,380,320.85
326,380,326.95
327,380,331.85
328,380,331.8
329,380,320.75
330,380,317.65
331,380,316.0
332,380,315.55
333,380,331.0
334,380,325.6
335,380,329.95
336,380,311.35
337,380,319.4
338,380,319.25
339,380,328.35
340,380,305.55
341,380,310.6
342,380,309.6
343,380,311.1
344,380,329.75
345,380,329.4
346,380,301.9
347,380,296.45
348,380,321.8
349,380,330.75
350,380,336.75
351,380,316.95
352,380,311.45
353,380,325.65
354,380,311.7
355,380,328.25
356,380,337.55
357,380,332.25
358,380,331.85
359,380,313.35
360,380,313.7
361,380,315.75
362,380,319.65
363,380,316.25
364,380,324.7
365,380,326.9
366,380,331.6
367,380,328.9
368,380,316.65
369,380,324.3
370,380,330.9
371,380,316.3
372,380,331.5
373,380,313.0
374,380,327.5
375,380,320.65
376,380,336.95
377,380,319.0
378,380,325.35
379,380,311.3
380,380,320.0
381,380,320.75
382,380,333.3
383,380,325.5
384,380,334.75
385,380,330.6
386,380,316.1
387,380,338.0
388,380,317.95
389,380,314.95
390,380,291.05
391,380,302.1
392,380,314.45
393,380,326.5
394,380,330.8
395,380,309.7
396,380,310.6
397,380,327.25
398,380,325.65
399,380,309.35
400,380,316.7
401,380,320.2
402,380,323.4
403,380,323.5
404,380,316.45
405,380,311.5
406,380,318.1
407,380,316.55
408,380,314.1
409,380,329.4
410,380,334.65
411,380,334.15
412,380,335.95
413,380,328.05
414,380,326.65
415,380,328.95
416,380,331.7
417,380,330.25
418,380,339.15
419,380,316.25
420,380,321.65
421,380,328.65
