generation,best_score,avg_score
1,2625,2082.24
2,2625,2116.72
3,2625,2143.42
4,2625,2195.94
5,2625,2223.88
6,2625,2303.46
7,2625,2296.68
8,2625,2289.72
9,2625,2297.76
10,2625,2283.2
11,2625,2277.5
12,2625,2342.44
13,2625,2357.24
14,2625,2320.52
15,2625,2241.58
16,2625,2293.48
17,2625,2245.84
18,2625,2258.4
19,2625,2273.06
20,2625,2238.74
21,2625,2191.7
22,2625,2171.06
23,2625,2209.16
24,2625,2204.8
25,2625,2239.66
26,2625,2217.96
27,2625,2220.12
28,2625,2225.08
29,2625,2248.68
30,2625,2226.86
31,2625,2261.12
32,2625,2198.6
33,2625,2246.22
34,2625,2233.3
35,2625,2273.72
36,2625,2278.88
37,2625,2311.14
38,2625,2306.32
39,2625,2283.9
40,2625,2303.28
41,2625,2314.1
42,2625,2295.36
43,2625,2268.94
44,2625,2259.92
45,2649,2289.86
46,2649,2265.92
47,2649,2250.48
48,2649,2242.52
49,2649,2272.84
50,2649,2232.62
51,2649,2220.84
52,2649,2212.3
53,2649,2225.34
54,2649,2247.28
55,2649,2194.48
56,2649,2183.34
57,2649,2178.6
58,2649,2153.88
59,2649,2181.76
60,2649,2190.0
61,2649,2194.2
62,2649,2157.6
63,2649,2138.34
64,2649,2138.22
65,2649,2247.88
66,2649,2277.92
67,2649,2268.24
68,2649,2300.06
69,2649,2249.5
70,2649,2234.58
71,2649,2183.96
72,2649,2244.8
73,2649,2244.34
74,2649,2191.18
75,2649,2162.18
76,2649,2144.78
77,2649,2165.32
78,2649,2267.58
79,2649,2279.6
80,2649,2258.46
81,2649,2283.82
82,2649,2217.1
83,2649,2232.72
84,2649,2202.56
85,2649,2239.98
86,2649,2256.34
87,2649,2278.4
88,2649,2237.44
89,2649,2195.78
90,2649,2178.02
91,2649,2217.94
92,2649,2223.04
93,2649,2306.42
94,2649,2264.58
95,2649,2314.76
96,2649,2266.16
97,2649,2304.94
98,2649,2205.58
99,2649,2173.56
100,2649,2213.86
101,2649,2199.94
102,2649,2183.1
103,2649,2249.52
104,2649,2188.8
105,2649,2210.12
106,2649,2206.64
107,2649,2224.56
108,2649,2215.26
109,2649,2202.68
110,2649,2163.72
111,2649,2141.68
112,2649,2191.88
113,2649,2245.62
114,2649,2312.48
115,2649,2332.38
116,2649,2352.38
117,2649,2304.06
118,2649,2274.04
119,2649,2316.4
120,2649,2287.24
121,2649,2242.82
122,2649,2260.76
123,2649,2259.12
124,2649,2264.12
125,2649,2224.8
126,2649,2181.38
127,2649,2146.0
128,2649,2151.12
129,2649,2250.34
130,2649,2157.68
131,2649,2123.76
132,2649,2181.56
133,2649,2160.74
134,2649,2278.12
135,2649,2276.96
136,2649,2281.06
137,2649,2258.52
138,2649,2258.48
139,2649,2307.1
140,2649,2249.4
141,2649,2234.92
142,2649,2166.86
143,2649,2196.88
144,2649,2190.6
145,2649,2228.86
146,2649,2221.14
147,2649,2247.66
148,2649,2251.62
149,2649,2304.06
150,2649,2281.74
151,2649,2245.3
152,2649,2212.58
153,2649,2247.92
154,2649,2204.8
155,2649,2240.02
156,2649,2189.46
157,2649,2187.0
158,2649,2209.26
159,2649,2183.44
160,2649,2127.66
161,2649,2138.5
162,2649,2098.66
163,2649,2216.46
164,2649,2236.62
165,2649,2185.28
166,2649,2203.68
167,2649,2261.74
168,2649,2282.32
169,2649,2323.66
170,2649,2261.74
171,2649,2187.62
172,2649,2166.46
173,2649,2105.08
174,2649,2152.08
175,2649,2194.98
176,2649,2207.14
177,2649,2168.24
178,2649,2100.74
179,2649,2209.82
180,2649,2154.02
181,2649,2223.34
182,2649,2248.14
183,2649,2253.16
184,2649,2168.6
185,2649,2185.36
186,2649,2172.72
187,2649,2228.48
188,2649,2182.5
189,2649,2196.96
190,2649,2197.76
191,2649,2182.76
192,2649,2227.22
193,2649,2181.7
194,2649,2189.14
195,2649,2173.7
196,2649,2239.26
197,2649,2297.36
198,2649,2224.7
199,2649,2277.14
200,2649,2322.2
201,2649,2288.12
202,2649,2260.28
203,2649,2192.94
204,2649,2302.62
205,2649,2257.22
206,2649,2236.46
207,2649,2180.2
208,2649,2147.94
209,2649,2204.92
210,2649,2156.44
211,2649,2113.44
212,2649,2135.86
213,2649,2209.84
214,2649,2188.52
215,2649,2229.98
216,2649,2167.34
217,2649,2186.58
218,2649,2186.18
219,2649,2168.28
220,2649,2230.8
221,2649,2260.68
222,2649,2286.7
223,2649,2222.38
224,2649,2223.34
225,2649,2186.52
226,2649,2295.7
227,2649,2318.04
228,2649,2207.08
229,2649,2227.98
230,2649,2271.2
231,2649,2207.64
232,2649,2198.48
233,2649,2193.06
234,2649,2193.44
235,2649,2217.74
236,2649,2226.42
237,2649,2143.38
238,2649,2117.26
239,2649,2200.76
240,2649,2244.14
241,2649,2252.92
242,2649,2204.08
243,2649,2230.82
244,2649,2250.0
245,2649,2221.06
246,2649,2250.36
247,2649,2274.64
248,2649,2263.24
249,2649,2310.1
250,2649,2203.32
251,2649,2172.06
252,2649,2112.0
253,2649,2197.5
254,2649,2204.94
255,2649,2166.62
256,2649,2176.9
257,2649,2179.36
258,2649,2148.8
259,2649,2063.16
260,2649,2096.06
261,2649,2138.32
262,2649,2134.68
263,2649,2116.44
264,2649,2217.5
265,2649,2220.28
266,2760,2250.1
267,2760,2272.3
268,2760,2303.9
269,2760,2319.24
270,2760,2302.28
271,2760,2272.8
272,2760,2308.0
273,2760,2305.88
274,2760,2318.94
275,2760,2304.06
276,2760,2379.18
277,2760,2347.36
278,2760,2322.26
279,2760,2307.2
280,2760,2279.04
281,2760,2311.3
282,2760,2317.4
283,2760,2382.7
284,2760,2309.3
285,2760,2383.78
286,2760,2320.04
287,2760,2317.04
288,2760,2313.46
289,2760,2294.66
290,2760,2316.26
291,2760,2296.38
292,2760,2304.82
293,2760,2320.46
294,2760,2324.5
295,2760,2310.34
296,2760,2365.34
297,2760,2359.06
298,2760,2269.48
299,2760,2260.98
300,2760,2188.1
301,2760,2207.3
302,2760,2238.56
303,2760,2308.4
304,2760,2327.9
305,2760,2291.16
306,2760,2236.04
307,2760,2265.94
308,2760,2300.54
309,2760,2325.92
310,2760,2303.46
311,2760,2380.86
312,2760,2348.24
313,2760,2351.58
314,2760,2342.3
315,2760,2331.94
316,2760,2334.64
317,2760,2305.68
318,2760,2286.94
319,2760,2316.22
320,2760,2357.06
321,2760,2345.7
322,2760,2294.38
323,2760,2349.68
324,2760,2316.82
325,2760,2296.06
326,2760,2290.66
327,2760,2361.92
328,2760,2374.38
329,2760,2380.54
330,2760,2349.96
331,2760,2323.86
332,2760,2278.84
333,2760,2294.26
334,2760,2388.88
335,2760,2459.24
336,2760,2334.72
337,2760,2336.62
338,2760,2386.84
339,2760,2383.66
340,2760,2350.78
341,2760,2302.8
342,2760,2315.02
343,2760,2376.62
344,2760,2315.5
345,2760,2298.34
346,2760,2351.72
347,2760,2350.9
348,2760,2370.0
349,2760,2295.36
350,2760,2202.7
351,2760,2218.82
352,2760,2222.96
353,2760,2244.28
354,2760,2231.78
355,2760,2233.4
356,2760,2195.76
357,2760,2154.3
358,2760,2184.14
359,2760,2220.64
360,2760,2266.96
361,2760,2307.84
362,2760,2301.4
363,2760,2286.24
364,2760,2292.54
365,2760,2352.36
366,2760,2335.96
367,2760,2370.48
368,2760,2258.12
369,2760,2275.82
370,2760,2236.74
371,2760,2241.08
372,2760,2239.88
373,2760,2286.72
374,2760,2246.9
375,2760,2216.9
376,2760,2235.84
377,2760,2260.98
378,2760,2234.96
379,2760,2268.0
380,2760,2322.58
381,2760,2327.82
382,2760,2330.06
383,2760,2350.26
384,2760,2310.7
385,2760,2255.8
386,2760,2222.76
387,2760,2234.2
388,2760,2311.02
389,2760,2307.44
390,2760,2287.62
391,2760,2314.8
392,2760,2342.22
393,2760,2306.24
394,2760,2284.82
395,2760,2265.28
396,2760,2291.74
397,2760,2281.84
398,2760,2309.76
399,2760,2277.58
400,2760,2239.86
401,2760,2279.3
402,2760,2253.94
403,2760,2276.9
404,2760,2309.46
405,2760,2264.22
406,2760,2267.2
407,2760,2249.96
408,2760,2274.66
409,2760,2244.5
410,2760,2202.74
411,2760,2230.32
412,2760,2222.1
413,2760,2272.26
414,2760,2222.34
415,2760,2269.76
416,2760,2317.1
417,2760,2335.08
418,2760,2260.64
419,2760,2299.82
420,2760,2239.6
421,2760,2290.02
422,2760,2266.44
423,2760,2282.74
424,2760,2300.4
425,2760,2256.58
426,2760,2366.62
427,2760,2379.74
428,2760,2349.38
429,2760,2280.0
430,2760,2290.52
431,2760,2342.54
432,2760,2284.08
433,2760,2272.76
434,2760,2265.88
435,2760,2273.52
436,2760,2258.22
437,2760,2312.72
438,2760,2238.44
439,2760,2187.14
440,2760,2279.62
441,2760,2307.88
442,2760,2279.98
443,2760,2254.92
444,2760,2313.14
445,2760,2299.66
446,2760,2267.22
447,2760,2294.44
448,2760,2276.5
449,2760,2256.74
450,2760,2248.46
451,2760,2318.2
452,2760,2324.92
453,2760,2293.84
454,2760,2321.14
455,2760,2342.9
456,2760,2337.22
457,2760,2383.04
458,2760,2395.08
459,2760,2380.34
460,2760,2330.48
461,2760,2357.18
462,2760,2336.02
463,2760,2358.04
464,2760,2348.12
465,2760,2288.96
466,2760,2332.56
467,2760,2317.0
468,2760,2229.24
469,2760,2246.9
470,2760,2218.4
471,2760,2291.7
472,2760,2373.44
473,2760,2412.06
474,2760,2341.28
475,2760,2371.52
476,2760,2294.32
477,2760,2283.24
478,2760,2286.88
479,2760,2272.88
480,2760,2222.72
481,2760,2257.92
482,2760,2277.82
483,2760,2356.0
484,2760,2324.38
485,2760,2301.4
486,2760,2283.84
487,2760,2306.12
488,2760,2344.4
489,2760,2295.46
490,2760,2250.86
491,2760,2326.6
492,2760,2371.32
493,2760,2361.78
494,2760,2298.24
495,2760,2241.32
