generation,best_score,avg_score
1,2500,998.0
2,2500,841.21
3,2500,843.04
4,2500,1002.98
5,2500,982.21
6,2500,1028.78
7,2500,1079.7
8,2500,1059.55
9,2500,1021.05
10,2500,1040.65
11,2500,1017.25
12,2500,984.69
13,2500,1058.73
14,2500,1045.53
15,2500,1021.83
16,2500,972.13
17,2500,975.91
18,2500,1049.37
19,2500,1055.83
20,2500,1095.51
21,2500,1127.03
22,2500,1058.78
23,2500,1102.47
24,2500,1067.74
25,2500,1104.32
26,2500,971.59
27,2500,1067.0
28,2500,1019.08
29,2500,1103.66
30,2500,1009.13
31,2500,1053.37
32,2500,1103.63
33,2500,1024.61
34,2500,998.69
35,2500,968.62
36,2500,1031.81
37,2500,1015.69
38,2500,1061.38
39,2500,1112.45
40,2500,1083.34
41,2500,1073.13
42,2500,1099.65
43,2500,1080.65
44,2500,1025.33
45,2500,1212.22
46,2500,1170.74
47,2500,1117.7
48,2500,1098.31
49,2500,1152.73
50,2500,1140.51
51,2500,1101.98
52,2500,1092.01
53,2500,1020.0
54,2500,1031.0
55,2500,1005.51
56,2500,1087.88
57,2500,1041.62
58,2500,999.7
59,2500,1083.87
60,2500,997.44
61,2500,1096.23
62,2500,1158.62
63,2500,1151.84
64,2500,1145.08
65,2500,1083.98
66,2500,1032.63
67,2500,1167.64
68,2500,1106.33
69,2500,1068.59
70,2500,1111.26
71,2500,1100.5
72,2500,1118.42
73,2500,1075.16
74,2500,1073.99
75,2500,1081.0
76,2500,1049.77
77,2500,1008.0
78,2500,1129.28
79,2500,1057.02
80,2500,1059.24
81,2500,987.38
82,2500,1038.31
83,2500,999.12
84,2500,1008.61
85,2500,1036.61
86,2500,1023.73
87,2500,979.39
88,2500,944.36
89,2500,868.83
90,2500,902.95
91,2500,931.17
92,2500,934.14
93,2500,1064.34
94,2500,1044.73
95,2500,1047.87
96,2500,1026.47
97,2500,1040.5
98,2500,1029.62
99,2500,1073.78
100,2500,1049.9
101,2500,1076.73
102,2500,1051.63
103,2500,1048.12
104,2500,1127.61
105,2500,1127.27
106,2500,1093.21
107,2500,1131.61
108,2500,1014.92
109,2500,999.84
110,2500,1102.05
111,2500,1031.94
112,2500,1092.27
113,2500,1123.61
114,2500,1018.62
115,2500,961.96
116,2500,994.34
117,2500,1083.78
118,2500,973.07
119,2500,1058.11
120,2500,1126.41
121,2500,1148.59
122,2500,1136.57
123,2500,1217.73
124,2500,1112.58
125,2500,1063.64
126,2500,1064.79
127,2500,1109.81
128,2500,1067.99
129,2500,950.42
130,2500,1006.58
131,2500,1022.42
132,2500,1115.17
133,2500,1062.91
134,2500,1065.94
135,2500,1088.09
136,2500,1096.72
137,2500,1112.99
138,2500,1116.84
139,2500,1053.25
140,2500,1104.16
141,2500,1162.78
142,2500,1097.7
143,2500,1051.37
144,2500,1175.0
145,2500,983.39
146,2500,1052.17
147,2500,966.33
148,2500,985.27
149,2500,974.23
150,2500,991.86
151,2500,889.26
152,2500,853.33
153,2500,957.37
154,2500,1042.82
155,2500,997.13
156,2500,936.73
157,2500,1054.31
158,2500,951.02
159,2500,1015.62
160,2500,977.87
161,2500,1029.8
162,2500,1019.07
163,2500,972.82
164,2500,1027.03
165,2500,987.63
166,2500,933.18
167,2500,1006.15
168,2500,1050.29
169,2500,1071.7
170,2500,1136.52
171,2500,1063.98
172,2500,1021.18
173,2500,1125.89
174,2500,1124.82
175,2500,1112.32
176,2500,1049.68
177,2500,1075.63
178,2500,1114.11
179,2500,1024.76
180,2500,1044.19
181,2500,1025.5
182,2500,972.71
183,2500,1002.3
184,2500,1004.51
185,2500,1103.87
186,2500,921.57
187,2500,981.6
188,2500,987.95
189,2500,1057.48
190,2500,1043.64
191,2500,1083.64
192,2500,1151.4
193,2500,1029.51
194,2500,1064.15
195,2500,1037.4
196,2500,1039.85
197,2500,1068.84
198,2500,1104.3
199,2500,1144.39
200,2500,1019.1
