generation,best_score,avg_score
1,1496,1237.8
2,1496,1280.3
3,1496,1319.58
4,1496,1349.28
5,1496,1352.3
6,1514,1366.86
7,1514,1379.32
8,1514,1367.74
9,1547,1367.82
10,1547,1392.96
11,1552,1403.02
12,1552,1401.18
13,1552,1404.14
14,1552,1393.22
15,1566,1397.38
16,1566,1422.82
17,1566,1402.66
18,1566,1395.2
19,1568,1419.34
20,1568,1433.42
21,1568,1473.6
22,1568,1447.44
23,1568,1445.44
24,1568,1420.84
25,1568,1449.7
26,1568,1464.04
27,1568,1463.9
28,1568,1419.36
29,1568,1424.92
30,1568,1424.56
31,1568,1431.82
32,1568,1417.8
33,1568,1443.78
34,1568,1453.52
35,1568,1431.62
36,1568,1445.82
37,1568,1461.7
38,1568,1465.48
39,1568,1487.5
40,1568,1464.4
41,1568,1454.3
42,1568,1451.72
43,1568,1446.62
44,1568,1443.74
45,1568,1471.5
46,1568,1446.34
47,1568,1456.28
48,1568,1433.74
49,1568,1457.32
50,1568,1456.92
51,1568,1472.04
52,1568,1451.16
53,1568,1431.14
54,1568,1426.02
55,1568,1434.38
56,1568,1453.72
57,1568,1448.48
58,1568,1429.86
59,1568,1431.3
60,1568,1411.84
61,1568,1432.36
62,1568,1444.5
63,1568,1466.8
64,1568,1442.92
65,1568,1428.54
66,1568,1445.36
67,1568,1441.88
68,1568,1451.62
69,1568,1458.16
70,1568,1448.3
71,1568,1454.88
72,1568,1434.24
73,1568,1442.2
74,1568,1440.4
75,1568,1429.04
76,1568,1468.22
77,1568,1456.06
78,1568,1450.92
79,1568,1482.46
80,1568,1443.04
81,1568,1427.2
82,1568,1447.86
83,1568,1451.12
84,1568,1439.32
85,1568,1453.72
86,1568,1471.62
87,1568,1476.3
88,1568,1468.86
89,1568,1450.22
90,1568,1435.08
91,1568,1466.9
92,1568,1468.36
93,1568,1467.64
94,1568,1445.8
95,1568,1436.04
96,1568,1454.56
97,1568,1440.34
98,1568,1418.68
99,1568,1465.14
100,1568,1436.32
101,1568,1444.58
102,1568,1452.76
103,1568,1450.8
104,1568,1455.78
105,1568,1429.54
106,1568,1447.18
107,1568,1447.34
108,1568,1440.14
109,1568,1428.26
110,1568,1392.76
111,1568,1396.18
112,1568,1405.48
113,1568,1410.36
114,1568,1433.72
115,1568,1439.58
116,1568,1449.18
117,1568,1457.72
118,1568,1448.2
119,1568,1451.4
120,1568,1438.88
121,1568,1454.98
122,1568,1466.2
123,1568,1462.6
124,1568,1465.0
125,1568,1463.56
126,1568,1441.78
127,1568,1434.14
128,1568,1423.12
129,1568,1402.18
130,1568,1434.88
131,1568,1446.92
132,1568,1435.42
133,1568,1463.28
134,1568,1476.58
135,1568,1478.34
136,1568,1455.26
137,1568,1454.28
138,1568,1455.78
139,1568,1473.1
140,1568,1475.84
141,1568,1466.72
142,1568,1458.76
143,1568,1456.38
144,1568,1457.44
145,1568,1459.66
146,1568,1459.02
147,1568,1425.32
148,1568,1430.72
149,1568,1444.06
150,1568,1452.8
151,1568,1449.36
152,1568,1460.6
153,1568,1466.8
154,1568,1468.68
