generation,best_score,avg_score
1,1546,1214.9
2,1550,1253.31
3,1550,1305.99
4,1581,1357.59
5,1591,1383.47
6,1622,1398.79
7,1622,1409.26
8,1708,1406.62
9,1708,1437.71
10,1708,1455.67
11,1708,1507.11
12,1708,1528.53
13,1708,1532.46
14,1752,1546.22
15,1752,1545.06
16,1752,1549.06
17,1752,1564.07
18,1752,1582.34
19,1752,1593.17
20,1752,1594.82
21,1752,1615.62
22,1784,1603.42
23,1784,1617.11
24,1784,1606.97
25,1784,1620.33
26,1832,1639.94
27,1832,1614.4
28,1832,1646.12
29,1832,1661.99
30,1832,1662.05
31,1832,1677.45
32,1832,1669.74
33,1832,1678.41
34,1832,1671.68
35,1832,1659.33
36,1832,1662.29
37,1832,1701.91
38,1832,1689.58
39,1832,1689.16
40,1832,1690.77
41,1832,1692.96
42,1832,1698.13
43,1832,1709.57
44,1832,1680.63
45,1832,1672.4
46,1832,1673.55
47,1832,1674.48
48,1832,1650.88
49,1832,1665.5
50,1832,1665.62
51,1832,1662.21
52,1832,1672.59
53,1832,1660.36
54,1832,1670.72
55,1832,1690.58
56,1832,1689.25
57,1832,1675.75
58,1832,1660.7
59,1832,1666.81
60,1832,1678.49
61,1832,1672.29
62,1832,1675.9
63,1832,1660.03
64,1832,1678.42
65,1832,1662.18
66,1832,1670.98
67,1832,1664.9
68,1832,1655.32
69,1832,1650.67
70,1832,1642.84
71,1832,1635.17
72,1832,1663.54
73,1832,1686.0
74,1832,1657.21
75,1832,1665.95
76,1832,1668.82
77,1832,1664.91
78,1832,1674.63
79,1832,1659.12
80,1832,1644.39
81,1832,1656.16
82,1832,1665.07
83,1832,1656.21
84,1832,1665.89
85,1832,1641.77
86,1832,1635.68
87,1832,1651.57
88,1832,1643.5
89,1832,1676.27
90,1832,1689.29
91,1832,1690.13
92,1832,1672.8
93,1832,1675.4
94,1832,1684.46
95,1832,1682.32
96,1832,1671.87
97,1832,1669.1
98,1832,1661.12
99,1832,1655.01
100,1832,1672.73
101,1832,1646.82
102,1832,1678.09
103,1832,1658.61
104,1832,1680.08
105,1832,1697.23
106,1832,1686.31
107,1832,1679.83
108,1832,1692.03
109,1832,1680.5
110,1832,1660.7
111,1832,1653.3
112,1832,1655.86
113,1832,1643.22
114,1832,1638.49
115,1832,1660.41
116,1832,1653.5
117,1832,1658.95
118,1832,1650.37
119,1832,1653.08
120,1832,1635.64
121,1832,1636.2
122,1832,1652.82
123,1832,1652.8
124,1832,1669.27
125,1832,1670.16
126,1832,1663.34
127,1832,1648.52
128,1832,1668.0
129,1832,1663.14
130,1832,1666.15
131,1832,1640.52
132,1832,1635.6
133,1832,1641.94
134,1832,1640.06
135,1832,1657.83
136,1832,1647.12
137,1832,1668.09
138,1832,1665.14
139,1832,1649.14
140,1832,1638.6
141,1832,1656.25
142,1832,1655.12
143,1832,1663.8
144,1832,1680.57
145,1832,1659.99
146,1832,1648.9
147,1832,1645.23
148,1832,1668.31
149,1832,1682.66
150,1832,1654.4
151,1832,1665.08
152,1832,1688.36
153,1832,1694.73
154,1832,1682.42
155,1832,1659.58
156,1832,1673.75
157,1832,1665.36
158,1832,1702.85
159,1832,1685.82
160,1832,1667.91
161,1832,1661.73
162,1832,1656.51
163,1832,1650.73
164,1832,1658.81
165,1832,1674.14
166,1832,1675.35
167,1832,1674.97
168,1832,1667.97
169,1832,1627.08
170,1832,1640.58
171,1832,1640.32
172,1832,1644.53
173,1832,1644.73
174,1832,1636.76
175,1832,1674.3
176,1832,1692.6
177,1832,1662.46
178,1832,1652.49
179,1832,1646.96
180,1832,1628.71
181,1832,1619.7
182,1832,1617.57
183,1832,1638.24
184,1832,1657.38
185,1832,1667.04
186,1832,1642.08
187,1832,1662.92
188,1832,1660.9
189,1832,1666.41
190,1832,1657.36
191,1832,1671.99
192,1832,1674.25
193,1832,1669.79
194,1832,1647.54
195,1832,1662.58
196,1832,1650.88
197,1832,1659.6
198,1832,1661.3
199,1832,1666.7
200,1832,1659.98
201,1832,1656.13
202,1832,1650.47
203,1832,1681.23
204,1832,1669.55
205,1832,1669.03
206,1832,1661.53
207,1832,1656.89
208,1832,1642.49
209,1832,1634.15
210,1832,1637.57
211,1832,1665.24
212,1832,1661.8
213,1832,1665.94
214,1832,1656.25
215,1832,1637.95
216,1832,1665.01
217,1832,1662.54
218,1832,1683.5
219,1832,1667.11
220,1832,1690.03
221,1832,1694.33
222,1832,1704.61
223,1832,1679.29
224,1832,1652.33
225,1832,1644.34
226,1832,1668.12
227,1832,1650.15
228,1832,1640.94
229,1832,1621.15
230,1832,1644.79
231,1832,1669.89
232,1832,1669.44
233,1832,1678.36
234,1832,1679.75
235,1832,1681.88
236,1832,1668.03
237,1832,1669.06
238,1832,1652.59
239,1832,1654.44
240,1832,1664.92
241,1832,1662.58
242,1832,1679.05
243,1832,1668.37
244,1832,1665.25
245,1832,1669.48
246,1832,1657.84
247,1832,1656.55
248,1832,1668.86
249,1832,1683.5
250,1832,1680.48
251,1832,1668.96
252,1832,1666.21
253,1832,1675.81
254,1832,1683.86
255,1832,1680.02
256,1832,1681.11
257,1832,1662.45
258,1832,1661.86
259,1832,1663.82
260,1832,1660.27
261,1832,1648.15
262,1832,1646.38
263,1832,1635.87
264,1832,1641.3
265,1832,1644.66
266,1832,1636.37
267,1832,1650.86
268,1832,1662.25
269,1832,1677.02
270,1832,1695.5
271,1832,1683.56
272,1832,1661.97
273,1832,1655.58
274,1832,1650.4
275,1832,1656.82
276,1832,1654.76
277,1832,1660.88
278,1832,1671.59
279,1832,1656.54
280,1832,1683.0
281,1832,1662.23
282,1832,1672.5
283,1832,1667.92
284,1832,1670.04
285,1832,1651.22
286,1832,1644.17
287,1832,1633.53
288,1832,1654.63
289,1832,1663.08
290,1832,1669.46
291,1832,1699.69
292,1832,1670.81
293,1832,1685.76
294,1832,1664.4
295,1832,1665.38
296,1832,1663.2
297,1832,1667.59
298,1832,1677.0
299,1832,1666.19
300,1832,1655.63
301,1832,1666.36
302,1832,1652.63
303,1832,1665.13
304,1832,1647.06
305,1832,1667.13
306,1832,1669.53
307,1832,1672.93
308,1832,1684.53
309,1832,1666.74
310,1832,1666.44
311,1832,1678.69
312,1832,1657.86
313,1832,1659.14
314,1832,1685.73
315,1832,1679.27
316,1832,1673.55
317,1832,1693.36
318,1832,1689.03
319,1832,1670.26
320,1832,1673.81
321,1832,1669.26
322,1832,1660.42
323,1832,1680.75
324,1832,1647.29
325,1832,1674.99
326,1832,1686.88
327,1832,1683.17
328,1832,1661.36
329,1832,1660.11
330,1832,1660.11
331,1832,1663.33
332,1832,1685.83
333,1832,1678.34
334,1832,1683.57
335,1832,1681.56
336,1832,1653.26
337,1832,1650.98
338,1832,1664.52
339,1832,1646.92
340,1832,1615.86
341,1832,1635.55
342,1832,1649.92
343,1832,1638.17
344,1832,1658.75
345,1832,1649.8
346,1832,1655.26
347,1832,1657.95
348,1832,1638.86
349,1832,1650.39
350,1832,1637.82
351,1832,1657.89
352,1832,1645.28
353,1832,1640.04
354,1832,1631.3
355,1832,1655.41
356,1832,1626.33
357,1832,1638.72
358,1832,1654.43
359,1832,1663.98
360,1832,1663.93
361,1832,1642.21
362,1832,1649.2
363,1832,1647.8
364,1832,1669.25
365,1832,1667.77
366,1832,1663.34
367,1832,1647.21
368,1832,1647.86
369,1832,1636.9
370,1832,1653.15
371,1832,1655.92
372,1832,1657.23
373,1832,1651.34
374,1832,1652.23
375,1832,1659.92
376,1832,1666.56
377,1832,1662.27
378,1832,1691.57
379,1832,1695.52
380,1832,1710.2
381,1832,1698.93
382,1832,1704.95
383,1832,1706.55
384,1832,1693.79
385,1832,1688.68
386,1832,1653.24
387,1832,1661.6
388,1832,1666.01
389,1832,1661.6
390,1832,1667.19
391,1832,1674.72
392,1832,1657.11
393,1832,1651.64
394,1832,1642.62
395,1832,1648.97
396,1832,1655.35
397,1832,1667.19
398,1832,1678.87
399,1832,1667.73
400,1832,1679.57
401,1832,1684.09
402,1832,1686.57
403,1832,1698.68
404,1832,1680.22
405,1832,1647.98
406,1832,1656.35
407,1832,1688.98
408,1832,1681.86
409,1832,1676.07
410,1832,1669.24
411,1832,1657.47
412,1832,1679.6
413,1832,1655.63
414,1832,1664.72
415,1832,1668.78
416,1832,1664.8
417,1832,1659.95
418,1832,1666.46
419,1832,1662.85
420,1832,1689.68
421,1832,1676.65
422,1832,1657.29
423,1832,1641.25
424,1832,1662.6
425,1832,1635.93
426,1832,1652.41
427,1832,1637.68
428,1832,1643.35
429,1832,1645.81
430,1832,1669.07
431,1832,1676.41
432,1832,1675.5
433,1832,1672.31
434,1832,1688.58
435,1832,1681.52
436,1832,1667.0
437,1832,1663.88
438,1832,1647.55
439,1832,1663.33
440,1832,1645.47
441,1832,1636.65
442,1832,1643.85
443,1832,1646.09
444,1832,1641.28
445,1832,1658.0
446,1832,1658.33
447,1832,1678.13
448,1832,1669.7
449,1832,1673.57
450,1832,1676.18
451,1832,1660.95
452,1832,1654.67
453,1832,1662.13
454,1832,1665.19
455,1832,1671.5
