generation,best_score,avg_score
1,2522,1351.34
2,2522,1355.34
3,2522,1230.8
4,2522,1222.14
5,2522,1081.64
6,2522,1119.42
7,2522,1199.22
8,2522,1291.82
9,2522,1350.76
10,2522,1381.1
11,2522,1328.86
12,2522,1470.32
13,2522,1376.5
14,2522,1327.84
15,2522,1350.62
16,2522,1470.18
17,2522,1361.66
18,2522,1425.32
19,2522,1248.6
20,2522,1314.04
21,2522,1325.74
22,2522,1374.68
23,2522,1411.46
24,2522,1368.7
25,2522,1251.2
26,2522,1351.34
27,2522,1293.6
28,2522,1377.4
29,2522,1408.5
30,2522,1383.94
31,2522,1333.28
32,2522,1256.34
33,2522,1267.26
34,2522,1267.5
35,2522,1301.2
36,2522,1321.22
37,2522,1395.26
38,2522,1372.76
39,2522,1401.36
40,2522,1255.08
41,2522,1352.92
42,2522,1345.98
43,2522,1381.8
44,2522,1291.0
45,2522,1454.22
46,2522,1547.9
47,2522,1441.9
48,2522,1370.1
49,2522,1421.28
50,2522,1359.6
51,2522,1456.72
52,2522,1420.22
53,2522,1438.12
54,2522,1499.34
55,2522,1528.98
56,2522,1439.1
57,2522,1433.48
58,2522,1462.5
59,2522,1374.6
60,2522,1376.42
61,2522,1436.08
62,2522,1453.32
63,2522,1371.2
64,2522,1398.36
65,2522,1556.8
66,2522,1470.4
67,2522,1565.02
68,2522,1450.54
69,2522,1457.86
70,2522,1427.82
71,2522,1386.38
72,2522,1302.24
73,2557,1327.48
74,2557,1289.88
75,2557,1339.08
76,2557,1339.1
77,2557,1372.36
78,2557,1393.4
79,2557,1509.76
80,2557,1406.7
81,2557,1354.16
82,2557,1409.42
83,2557,1483.54
84,2557,1444.22
85,2557,1370.44
86,2557,1380.5
87,2557,1410.36
88,2557,1337.26
89,2557,1278.04
90,2557,1328.18
91,2557,1291.9
92,2557,1397.5
93,2557,1233.52
94,2557,1337.64
95,2557,1418.64
96,2557,1384.52
97,2557,1391.48
98,2557,1384.42
99,2557,1360.46
100,2557,1316.52
101,2557,1331.2
102,2557,1297.8
103,2557,1347.42
104,2557,1291.6
105,2557,1264.58
106,2557,1288.08
107,2557,1288.18
108,2557,1334.28
109,2557,1302.9
110,2557,1551.34
111,2557,1531.6
112,2557,1428.4
113,2557,1385.16
114,2557,1370.18
115,2557,1439.36
116,2557,1538.06
117,2557,1588.28
118,2557,1628.36
119,2557,1561.0
120,2557,1523.06
121,2557,1426.78
122,2557,1535.8
123,2557,1425.9
124,2557,1477.36
125,2557,1501.3
126,2557,1495.34
127,2557,1292.5
128,2557,1287.68
129,2557,1330.9
130,2557,1404.96
131,2557,1432.24
132,2557,1365.44
133,2557,1409.06
134,2557,1338.56
135,2557,1537.52
136,2557,1488.24
137,2557,1480.84
138,2557,1451.5
139,2557,1363.08
140,2557,1392.44
141,2557,1303.82
142,2557,1302.02
143,2557,1278.98
144,2557,1449.9
145,2557,1472.66
146,2557,1325.6
147,2557,1304.14
148,2557,1477.2
149,2557,1484.16
150,2557,1587.38
151,2557,1507.56
152,2557,1466.36
153,2557,1563.06
154,2557,1454.88
155,2557,1398.06
156,2557,1356.08
157,2557,1242.98
158,2557,1419.54
159,2557,1396.9
160,2557,1426.22
161,2557,1515.14
162,2557,1478.66
163,2557,1457.28
164,2557,1378.14
165,2557,1448.56
166,2557,1457.7
167,2557,1316.22
168,2557,1335.6
169,2557,1263.0
170,2557,1437.62
171,2557,1318.18
172,2557,1388.3
173,2557,1535.68
174,2557,1570.72
175,2557,1323.54
176,2557,1399.1
177,2557,1476.52
178,2557,1364.64
179,2557,1401.74
180,2557,1540.2
181,2557,1510.88
182,2557,1494.94
183,2557,1414.98
184,2557,1481.48
185,2557,1497.22
186,2557,1505.52
187,2557,1455.86
188,2557,1396.14
189,2557,1477.28
190,2557,1359.48
191,2557,1332.32
192,2557,1294.9
193,2557,1217.9
194,2557,1482.54
195,2557,1514.52
196,2557,1432.08
197,2557,1534.76
198,2557,1621.58
199,2557,1572.2
200,2557,1526.12
