generation,best_score,avg_score
1,2403,904.61
2,2403,793.62
3,2403,728.66
4,2403,824.01
5,2403,771.8
6,2403,767.59
7,2403,761.42
8,2403,814.81
9,2403,880.84
10,2403,852.19
11,2403,827.29
12,2403,790.56
13,2403,819.65
14,2403,841.88
15,2403,879.6
16,2403,880.44
17,2403,880.44
18,2403,955.27
19,2403,873.5
20,2403,900.82
21,2403,924.22
22,2403,975.43
23,2403,906.52
24,2403,907.77
25,2403,902.68
26,2403,846.16
27,2403,888.13
28,2403,882.33
29,2403,965.04
30,2403,910.07
31,2403,828.95
32,2403,862.11
33,2403,892.81
34,2403,910.25
35,2403,951.27
36,2403,969.64
37,2403,990.88
38,2403,946.04
39,2403,907.42
40,2403,856.47
41,2403,903.27
42,2403,852.63
43,2403,914.39
44,2403,942.51
45,2403,903.29
46,2403,893.08
47,2403,913.99
48,2403,916.97
49,2403,961.72
50,2403,855.96
51,2403,888.5
52,2403,911.43
53,2403,838.13
54,2403,879.16
55,2403,839.63
56,2403,780.32
57,2403,818.51
58,2403,789.69
59,2403,826.58
60,2403,905.5
61,2403,910.66
62,2403,886.29
63,2403,930.56
64,2403,893.59
65,2403,907.53
66,2403,863.1
67,2403,863.46
68,2403,892.24
69,2403,919.13
70,2403,849.39
71,2403,928.57
72,2403,817.55
73,2403,844.79
74,2403,942.08
75,2403,903.53
76,2403,843.94
77,2403,886.52
78,2403,880.74
79,2403,874.75
80,2403,849.5
81,2403,830.25
82,2403,819.03
83,2403,851.96
84,2403,903.87
85,2403,883.64
86,2403,935.14
87,2403,934.29
88,2403,917.44
89,2403,969.18
90,2403,917.01
91,2403,848.02
92,2403,835.15
93,2403,880.53
94,2403,904.74
95,2403,888.48
96,2403,931.29
97,2403,962.24
98,2403,952.15
99,2403,934.7
100,2403,897.5
101,2403,881.22
102,2403,854.28
103,2403,860.75
104,2403,777.78
105,2403,820.88
106,2403,854.1
107,2403,858.95
108,2403,857.49
109,2403,857.55
110,2403,829.14
111,2403,863.55
112,2403,895.39
113,2403,883.5
114,2403,880.15
115,2403,945.59
116,2403,854.85
117,2403,898.84
118,2403,906.9
119,2403,922.91
120,2403,933.26
121,2403,884.25
122,2403,817.85
123,2403,859.22
124,2403,865.88
125,2403,808.34
126,2403,882.34
127,2403,862.83
128,2403,902.78
129,2403,877.06
130,2403,828.44
131,2403,809.33
132,2403,912.72
133,2403,916.8
134,2403,894.89
135,2403,914.93
136,2403,914.45
137,2403,954.93
138,2403,973.76
139,2403,937.33
140,2403,949.78
141,2403,883.46
142,2403,877.49
143,2403,872.38
144,2403,868.44
145,2403,786.68
146,2403,854.22
147,2403,862.25
148,2403,873.88
149,2403,888.91
150,2403,856.92
151,2403,975.35
152,2403,895.27
153,2403,948.01
154,2403,893.82
155,2403,853.05
156,2403,876.79
157,2403,916.13
158,2403,883.53
159,2403,864.95
160,2403,854.11
161,2403,887.72
162,2403,908.76
163,2403,882.4
164,2403,937.41
165,2403,882.83
166,2403,905.75
167,2403,973.75
168,2403,1001.88
169,2403,985.73
170,2403,929.54
171,2403,864.05
172,2403,936.42
173,2403,825.02
174,2403,861.92
175,2403,935.96
176,2403,905.96
177,2403,909.23
178,2403,827.13
179,2403,895.32
180,2403,868.32
181,2403,905.25
182,2403,818.91
183,2403,863.3
184,2403,895.2
185,2403,896.37
186,2403,857.92
187,2403,849.16
188,2403,852.68
189,2403,852.93
190,2403,858.73
191,2403,899.26
192,2403,914.69
193,2403,899.17
194,2403,881.33
195,2403,818.32
196,2403,850.12
197,2403,900.49
198,2403,903.06
199,2403,884.8
200,2403,903.76
