generation,best_score,avg_score
1,1968,1621.4
2,1968,1674.92
3,1968,1760.12
4,1968,1773.7
5,1968,1769.48
6,2035,1763.62
7,2035,1783.36
8,2035,1805.86
9,2060,1789.52
10,2060,1814.26
11,2060,1863.92
12,2060,1886.72
13,2060,1916.8
14,2144,1882.84
15,2144,1896.36
16,2144,1908.5
17,2144,1929.06
18,2144,1937.3
19,2144,1938.1
20,2144,1955.64
21,2144,1977.2
22,2144,1975.0
23,2144,1959.06
24,2144,1937.06
25,2144,1918.64
26,2144,1922.78
27,2144,1931.54
28,2144,1937.52
29,2144,1978.8
30,2144,1935.88
31,2144,1931.68
32,2144,1931.72
33,2144,1958.9
34,2144,1941.14
35,2144,1896.82
36,2144,1945.88
37,2144,1959.08
38,2144,1949.76
39,2144,1915.38
40,2144,1956.56
41,2144,1972.28
42,2144,1949.32
43,2144,1959.7
44,2144,1956.0
45,2144,1956.46
46,2144,1943.04
47,2144,1949.64
48,2144,1971.56
49,2144,1960.26
50,2144,1931.44
51,2144,1966.2
52,2144,1972.28
53,2144,1968.58
54,2144,1952.3
55,2144,1934.88
56,2144,1926.64
57,2144,1914.88
58,2144,1922.74
59,2144,1991.2
60,2144,2015.92
61,2144,2031.0
62,2144,2013.1
63,2144,1974.24
64,2144,1954.32
65,2144,1946.06
66,2144,1956.08
67,2144,1981.04
68,2144,1991.06
69,2144,1980.62
70,2144,1974.92
71,2144,1950.22
72,2144,1918.16
73,2144,1979.0
74,2144,1953.6
75,2144,1937.36
76,2144,1987.1
77,2144,1949.22
78,2144,1962.78
79,2144,1946.84
80,2144,1943.6
81,2144,1960.42
82,2144,1953.48
83,2144,1983.28
84,2144,1989.44
85,2144,1995.0
86,2144,1938.04
87,2144,1986.06
88,2144,1987.62
89,2144,1956.86
90,2144,1959.86
91,2144,1994.02
92,2144,1981.72
93,2144,1967.22
94,2144,1935.96
95,2144,1943.26
96,2144,1971.24
97,2144,1951.18
98,2144,1945.12
99,2144,1970.96
100,2144,1984.78
101,2144,1988.82
102,2144,1998.78
103,2144,1973.7
104,2144,1966.46
105,2144,1950.5
106,2144,1961.78
107,2144,1941.86
108,2144,1956.56
109,2144,1934.26
110,2144,1945.74
111,2144,1945.36
112,2144,1938.22
113,2144,1956.18
114,2144,1955.52
115,2144,1956.18
116,2144,1971.16
117,2144,1968.76
118,2144,1949.78
119,2144,1957.4
120,2144,1938.92
121,2144,1938.6
122,2144,1954.16
123,2144,1984.26
124,2144,1993.44
125,2144,1968.62
126,2144,1946.12
127,2144,1971.9
128,2144,1960.6
129,2144,1968.5
130,2144,1983.06
131,2144,1939.92
132,2144,1935.52
133,2144,1964.68
134,2144,1976.04
135,2144,1978.1
136,2144,1986.1
137,2144,1966.98
138,2144,1963.8
139,2144,1954.92
140,2144,1936.3
141,2144,1932.84
142,2144,1942.18
143,2144,1978.3
144,2144,1958.64
145,2144,1989.3
146,2144,1963.72
147,2144,1952.0
148,2144,1967.1
149,2144,1986.54
150,2144,1996.0
151,2144,1959.84
152,2144,1948.72
153,2144,1952.68
154,2144,1971.42
155,2144,1942.1
156,2144,1913.92
157,2144,1952.64
158,2144,1952.46
159,2144,1958.36
160,2144,1973.6
161,2144,1977.4
162,2144,1983.5
163,2144,1980.2
164,2144,1971.48
165,2144,1953.98
166,2144,1931.34
167,2144,1962.08
168,2144,1951.28
169,2144,1940.84
170,2144,1950.02
171,2144,1981.48
172,2144,1990.48
173,2144,1976.24
174,2144,1970.22
175,2144,1980.5
176,2144,1963.14
177,2144,1960.82
178,2144,1953.4
179,2144,1955.04
180,2144,1972.5
181,2144,1953.36
182,2144,1953.22
183,2144,1916.32
184,2144,1889.7
185,2144,1943.92
186,2144,1940.38
187,2144,1945.3
188,2144,1971.9
189,2144,1953.24
190,2144,1938.76
191,2144,1959.3
192,2144,1948.8
193,2144,1965.0
194,2144,1990.7
195,2144,1950.62
196,2144,1939.48
197,2144,1936.48
198,2144,1922.76
199,2144,1907.32
200,2144,1966.12
201,2144,1954.38
202,2144,1967.32
203,2144,1985.2
204,2144,1991.58
205,2144,1969.64
206,2144,1960.18
207,2144,1944.2
208,2144,1929.78
209,2144,1922.62
210,2144,1917.6
211,2144,1919.24
212,2144,1910.08
213,2144,1935.02
214,2144,1949.76
215,2144,1929.38
216,2144,1908.46
217,2144,1960.82
218,2144,1968.42
219,2144,1982.24
220,2144,1983.68
221,2144,1959.42
222,2144,1923.44
223,2144,1976.26
224,2144,1985.88
225,2144,1973.74
226,2144,1946.02
227,2144,1975.38
228,2144,1950.94
229,2144,1936.06
230,2144,1960.16
231,2144,1927.08
232,2144,1925.96
233,2144,1987.24
234,2144,1950.7
235,2144,1978.18
236,2144,1974.06
237,2144,1899.66
238,2144,1941.62
239,2144,1943.2
240,2144,1922.58
241,2144,1884.04
242,2144,1937.88
243,2144,1944.36
244,2144,1962.26
245,2144,1953.7
246,2144,1916.48
247,2144,1912.08
248,2144,1911.36
249,2144,1962.1
250,2144,1929.12
251,2144,1987.0
252,2144,1964.96
253,2144,1929.7
254,2144,1996.7
255,2144,1982.66
256,2144,1945.98
257,2144,1895.6
258,2144,1910.64
259,2144,1885.36
260,2144,1899.3
261,2144,1913.66
262,2144,1917.14
263,2144,1902.28
264,2144,1886.6
