generation,best_score,avg_score
1,1502,681.74
2,1502,574.29
3,1502,564.8
4,1502,513.46
5,1502,568.18
6,1502,538.21
7,1502,550.57
8,1502,551.0
9,1502,559.39
10,1502,582.77
11,1502,628.55
12,1502,612.57
13,1502,586.18
14,1502,557.87
15,1502,646.35
16,1502,619.01
17,1502,599.63
18,1502,569.42
19,1502,582.42
20,1502,628.64
21,1502,624.46
22,1502,648.02
23,1502,633.6
24,1502,632.54
25,1502,637.86
26,1502,643.83
27,1502,615.66
28,1502,623.89
29,1502,638.87
30,1502,655.75
31,1502,651.6
32,1502,664.33
33,1502,642.01
34,1502,689.08
35,1502,688.87
36,1502,683.02
37,1502,682.57
38,1502,655.8
39,1502,629.32
40,1502,622.29
41,1502,606.61
42,1502,571.97
43,1502,606.58
44,1502,616.42
45,1502,620.32
46,1502,630.06
47,1502,657.69
48,1502,593.72
49,1502,568.95
50,1502,630.03
51,1502,611.86
52,1502,627.25
53,1502,634.7
54,1502,625.6
55,1502,626.51
56,1502,592.01
57,1502,623.04
58,1502,612.5
59,1502,621.61
60,1502,586.63
61,1502,630.86
62,1502,587.02
63,1502,627.53
64,1502,639.44
65,1502,604.04
66,1502,615.27
67,1502,636.99
68,1502,627.38
69,1502,608.51
70,1502,561.05
71,1502,591.64
72,1502,546.39
73,1502,569.72
74,1502,602.1
75,1502,601.29
76,1502,595.84
77,1502,568.98
78,1502,593.61
79,1502,592.04
80,1502,616.7
81,1502,575.34
82,1502,599.06
83,1502,604.03
84,1502,590.63
85,1502,628.48
86,1502,615.83
87,1502,659.78
88,1502,681.57
89,1502,692.96
90,1502,676.64
91,1502,675.56
92,1502,698.32
93,1502,718.76
94,1502,746.17
95,1502,716.61
96,1502,746.26
97,1502,729.59
98,1502,733.31
99,1502,740.81
100,1502,678.82
101,1502,680.48
102,1502,711.44
103,1502,735.48
104,1502,719.91
105,1502,703.82
106,1502,680.28
107,1502,715.27
108,1502,680.15
109,1502,702.84
110,1502,722.79
111,1502,717.17
112,1502,671.04
113,1502,661.22
114,1502,740.45
115,1502,696.24
116,1502,709.22
117,1502,681.65
118,1502,677.38
119,1502,671.09
120,1502,699.79
121,1502,670.37
122,1502,637.93
123,1502,666.98
124,1502,704.11
125,1502,713.4
126,1502,761.92
127,1502,755.13
128,1502,754.04
129,1502,692.97
130,1502,716.18
131,1502,656.79
132,1502,702.03
133,1502,725.09
134,1502,719.12
135,1502,693.06
136,1502,655.54
137,1502,685.93
138,1502,686.75
139,1502,673.81
140,1502,666.03
141,1502,650.61
142,1502,682.64
143,1502,662.0
144,1502,666.35
145,1502,702.33
146,1502,673.56
147,1502,700.9
148,1502,690.04
149,1502,637.54
150,1502,615.24
151,1502,654.64
152,1502,689.81
153,1502,703.86
154,1502,707.95
155,1502,700.99
156,1502,688.03
157,1502,685.49
158,1502,666.07
159,1502,694.71
160,1502,651.9
161,1502,682.69
162,1502,597.74
163,1502,668.61
164,1502,687.15
165,1502,700.28
166,1502,663.01
167,1502,630.11
168,1502,674.14
169,1502,663.69
170,1502,668.49
171,1502,683.39
172,1502,685.88
173,1502,715.72
174,1502,692.04
175,1502,689.5
176,1502,682.2
177,1502,638.42
178,1502,674.77
179,1502,701.36
180,1502,685.44
181,1502,675.93
182,1502,682.47
183,1502,668.62
184,1502,685.42
185,1502,619.94
186,1502,641.87
187,1502,673.99
188,1502,642.01
189,1502,677.06
190,1502,672.7
191,1502,676.61
192,1502,680.08
193,1502,668.07
194,1502,678.05
195,1502,668.28
196,1502,691.52
197,1502,703.94
198,1502,697.66
199,1502,684.8
200,1502,719.36
