generation,best_score,avg_score
1,13058,11205.76
2,13058,11552.6
3,13416,11891.38
4,13416,12290.72
5,13469,12664.22
6,13831,12940.46
7,13957,13197.84
8,14050,13366.28
9,14250,13581.5
10,14250,13715.7
11,14250,13873.6
12,14285,13913.84
13,14401,13956.1
14,14433,14180.6
15,14433,14165.02
16,14433,14005.94
17,14433,14233.5
18,14433,14152.14
19,14433,14131.92
20,14447,14293.64
21,14447,14209.26
22,14447,14162.48
23,14447,14280.12
24,14447,14288.84
25,14473,14176.96
26,14473,14149.92
27,14803,14269.2
