generation,best_score,avg_score
1,12196,875.75
2,12196,757.79
3,12196,750.27
4,12196,748.62
5,12196,713.44
6,12196,770.85
7,12196,752.59
8,12196,769.39
9,12196,736.84
10,12196,761.13
11,12196,727.46
12,12196,760.79
13,12196,731.62
14,12196,762.94
15,12196,760.84
16,12196,776.01
17,12196,765.53
18,12196,767.44
19,12196,778.29
20,12196,761.11
21,12196,729.53
22,12196,760.23
23,12196,764.51
24,12196,774.68
25,12196,783.11
26,12196,785.65
27,12196,758.59
28,12196,755.97
29,12196,758.59
30,12196,744.17
31,12196,735.25
32,12196,754.61
33,12196,797.45
34,12196,758.02
35,12196,795.46
36,12196,778.43
37,12196,794.39
38,12196,749.75
39,12196,758.59
40,12196,749.27
41,12196,724.7
42,12196,758.29
43,12196,751.76
44,12196,758.27
45,12196,784.27
46,12196,787.86
47,12196,803.06
48,12196,813.25
49,12196,795.25
50,12196,825.78
51,12196,806.3
52,12196,767.79
53,12196,741.49
54,12196,735.75
55,12196,758.0
56,12196,774.98
57,12196,796.01
58,12196,766.05
59,12196,775.35
60,12196,786.67
61,12196,762.92
62,12196,753.46
63,12196,746.99
64,12196,745.59
65,12196,721.97
66,12196,768.14
67,12196,729.74
68,12196,743.89
69,12196,744.03
70,12196,767.06
71,12196,790.31
72,12196,749.83
73,12196,766.51
74,12196,766.91
75,12196,745.51
76,12196,766.55
77,12196,755.32
78,12196,775.01
79,12196,796.48
80,12196,758.2
81,12196,711.65
82,12196,740.73
83,12196,783.0
84,12196,769.88
85,12196,747.98
86,12196,762.7
87,12196,772.05
88,12196,782.35
89,12196,735.84
90,12196,738.65
91,12196,753.75
92,12196,741.73
93,12196,730.17
94,12196,741.31
95,12196,724.99
96,12196,756.09
97,12196,777.53
98,12196,769.69
99,12196,757.06
100,12196,745.16
101,12196,753.04
102,12196,761.53
103,12196,796.7
104,12196,794.37
105,12196,808.47
106,12196,828.26
107,12196,815.35
108,12196,772.8
109,12196,759.91
110,12196,752.79
111,12196,751.29
112,12196,733.58
113,12196,747.32
114,12196,762.57
115,12196,724.93
116,12196,722.81
117,12196,765.38
118,12196,762.09
119,12196,755.96
120,12196,762.85
121,12196,767.65
122,12196,783.21
123,12196,759.58
124,12196,720.18
125,12196,765.14
126,12196,772.86
127,12196,784.66
128,12196,788.62
129,12196,792.08
130,12196,790.02
131,12196,789.96
132,12196,784.39
133,12196,755.21
134,12196,716.85
135,12196,749.23
136,12196,740.12
137,12196,735.44
138,12196,718.23
139,12196,764.46
140,12196,760.58
141,12196,754.33
142,12196,773.88
143,12196,746.37
144,12196,751.27
145,12196,774.61
146,12196,750.54
147,12196,736.49
148,12196,728.91
149,12196,750.6
150,12196,760.26
151,12196,744.09
152,12196,762.36
153,12196,770.26
154,12196,764.68
155,12196,757.75
156,12196,786.57
157,12196,752.69
158,12196,782.72
159,12196,757.8
160,12196,752.8
161,12196,739.26
162,12196,728.68
163,12196,752.42
164,12196,747.93
165,12196,752.88
166,12196,730.05
167,12196,758.72
168,12196,739.09
169,12196,756.85
170,12196,737.28
171,12196,767.51
172,12196,764.88
173,12196,750.83
174,12196,750.97
175,12196,775.77
176,12196,780.61
177,12196,781.28
178,12196,775.15
179,12196,776.44
180,12196,778.51
181,12196,756.44
182,12196,758.26
183,12196,743.97
184,12196,752.67
185,12196,728.8
186,12196,778.34
187,12196,758.6
188,12196,759.44
189,12196,745.69
190,12196,777.35
191,12196,744.8
192,12196,775.88
193,12196,742.34
194,12196,788.89
195,12196,770.06
196,12196,814.34
197,12196,779.99
198,12196,760.74
199,12196,712.07
200,12196,765.36
