generation,best_score,avg_score
1,20859,3624.38
2,20859,2689.82
3,20859,2441.18
4,20859,2617.62
5,20859,2655.12
6,20859,2471.82
7,20859,2579.52
8,20859,2448.28
9,20859,2545.04
10,20859,2495.68
11,20859,2448.96
12,20859,2454.84
13,20859,2494.72
14,20859,2272.18
15,20859,2309.06
16,20859,2295.16
17,20859,2370.34
18,20859,2129.68
19,20859,2095.06
20,20859,2147.38
21,20859,2190.46
22,20859,2587.3
23,20859,2620.8
24,20859,2645.28
25,20859,2386.6
26,20859,2706.68
27,20859,2507.3
28,20859,2462.64
29,20859,2416.56
30,20859,2510.32
31,20859,2632.54
32,20859,2618.04
33,20859,2614.76
34,20859,2588.64
35,20859,2247.0
36,20859,2313.44
37,20859,2338.64
38,20859,2637.7
39,20859,2609.76
40,20859,2678.04
41,20859,2380.32
42,20859,2496.5
43,20859,2336.3
44,20859,2322.42
45,20859,2285.0
46,20859,2350.96
47,20859,2679.6
48,20859,2574.0
49,20859,2425.08
50,20859,2589.48
51,20859,2491.48
52,20859,2257.36
53,20859,2206.58
54,20859,2451.06
55,20859,2673.14
56,20859,2226.42
57,20859,2143.18
58,20859,2276.84
59,20859,2322.66
60,20859,2181.8
61,20859,2066.16
62,20859,2252.72
63,20859,2357.36
64,20859,2418.84
65,20859,2318.06
66,20859,2493.84
67,20859,2347.84
68,20859,2250.6
69,20859,2655.34
70,20859,2528.14
71,20859,2769.8
72,20859,2591.8
73,20859,2758.1
74,20859,2506.9
75,20859,2631.9
76,20859,2144.76
77,20859,2445.36
78,20859,2296.58
79,20859,2241.58
80,20859,2669.12
81,20859,2779.6
82,20859,2588.48
83,20859,2592.56
84,20859,2615.12
85,20859,2810.84
86,20859,2533.9
87,20859,2746.26
88,20859,2968.34
89,20859,2886.26
90,20859,2547.16
91,20859,2545.92
92,20859,2640.94
93,20859,2536.28
94,20859,2489.68
95,20859,2617.92
96,20859,2552.78
97,20859,2597.04
98,20859,2477.6
99,20859,2573.0
100,20859,2577.54
101,20859,2245.5
102,20859,2406.68
103,20859,2704.6
104,20859,2737.68
105,20859,2120.64
106,20859,2146.1
107,20859,2483.5
108,20859,2575.74
109,20859,2448.36
110,20859,2080.72
111,20859,2299.62
112,20859,2238.56
113,20859,2579.24
114,20859,2724.06
115,20859,2532.18
116,20859,2370.3
117,20859,2518.62
118,20859,2788.04
119,20859,2564.52
120,20859,2870.48
121,20859,3025.88
122,20859,2591.18
123,20859,2749.22
124,20859,2873.3
125,20859,2934.54
126,20859,2491.58
127,20859,2661.7
128,20859,2590.36
129,20859,2651.28
130,20859,2757.84
131,20859,2524.98
132,20859,2433.82
133,20859,2527.76
134,20859,2470.36
135,20859,2380.46
136,20859,2343.82
137,20859,2293.72
138,20859,2505.58
139,20859,2315.84
140,20859,2427.92
141,20859,2391.98
142,20859,2319.54
143,20859,2380.98
144,20859,2275.3
145,20859,2387.62
146,20859,2340.54
147,20859,2498.42
148,20859,2509.18
149,20859,2306.28
150,20859,2814.64
151,20859,2669.28
152,20859,2786.38
153,20859,2959.52
154,20859,2683.72
155,20859,2616.94
156,20859,2543.34
157,20859,2624.66
158,20859,2825.84
159,20859,2481.64
160,20859,2551.94
161,20859,2649.28
162,20859,2657.82
163,20859,2653.72
164,20859,2347.58
165,20859,2436.76
166,20859,2377.44
167,20859,2682.5
168,20859,2576.08
169,20859,3052.34
170,20859,2552.42
171,20859,2342.1
172,20859,2558.0
173,20859,2346.2
174,20859,2290.9
175,20859,2275.16
176,20859,2362.26
177,20859,2642.52
178,20859,2785.86
179,20859,2654.54
180,20859,2718.0
181,20859,2883.34
182,20859,2572.98
183,20859,2284.9
184,20859,2379.14
185,20859,2290.68
186,20859,2469.74
187,20859,2541.7
188,20859,2406.86
189,20859,2526.04
190,20859,2507.44
191,20859,2321.2
192,20859,2465.64
193,20859,2300.9
194,20859,2216.3
195,20859,2359.38
196,20859,2660.9
197,20859,2205.48
198,20859,2496.96
199,20859,2302.64
200,20859,2642.18
