generation,best_score,avg_score
1,22381,1449.63
2,22381,1184.84
3,22381,1205.15
4,22381,1157.85
5,22381,1177.23
6,22381,1210.32
7,22381,1191.53
8,22381,1222.09
9,22381,1186.87
10,22381,1234.28
11,22381,1234.9
12,22381,1226.01
13,22381,1184.73
14,22381,1192.99
15,22381,1217.82
16,22381,1178.16
17,22381,1138.99
18,22381,1193.23
19,22381,1190.37
20,22381,1238.18
21,22381,1243.68
22,22381,1250.34
23,22381,1251.76
24,22381,1181.91
25,22381,1203.41
26,22381,1182.36
27,22381,1157.23
28,22381,1234.89
29,22381,1224.35
30,22381,1222.31
31,22381,1192.03
32,22381,1235.44
33,22381,1230.68
34,22381,1218.58
35,22381,1230.02
36,22381,1164.67
37,22381,1159.63
38,22381,1190.09
39,22381,1229.17
40,22381,1209.77
41,22381,1224.13
42,22381,1166.1
43,22381,1202.73
44,22381,1214.43
45,22381,1199.25
46,22381,1207.7
47,22381,1285.26
48,22381,1200.42
49,22381,1154.03
50,22381,1188.42
51,22381,1223.96
52,22381,1246.59
53,22381,1233.9
54,22381,1204.36
55,22381,1263.6
56,22381,1207.77
57,22381,1226.15
58,22381,1275.16
59,22381,1227.22
60,22381,1193.8
61,22381,1173.82
62,22381,1195.78
63,22381,1203.16
64,22381,1181.17
65,22381,1189.8
66,22381,1216.22
67,22381,1236.92
68,22381,1231.65
69,22381,1224.95
70,22381,1169.17
71,22381,1200.83
72,22381,1118.68
73,22381,1176.31
74,22381,1171.01
75,22381,1189.88
76,22381,1164.66
77,22381,1175.62
78,22381,1122.61
79,22381,1155.85
80,22381,1181.51
81,22381,1148.47
82,22381,1123.25
83,22381,1177.74
84,22381,1199.43
85,22381,1167.83
86,22381,1184.12
87,22381,1161.79
88,22381,1184.52
89,22381,1140.54
90,22381,1154.56
91,22381,1142.59
92,22381,1174.75
93,22381,1169.75
94,22381,1254.95
95,22381,1197.03
96,22381,1172.65
97,22381,1171.97
98,22381,1167.38
99,22381,1184.66
100,22381,1277.02
101,22381,1229.03
102,22381,1217.32
103,22381,1247.1
104,22381,1145.05
105,22381,1189.94
106,22381,1183.24
107,22381,1196.72
108,22381,1233.9
109,22381,1250.51
110,22381,1195.67
111,22381,1239.37
112,22381,1301.51
113,22381,1177.17
114,22381,1221.62
115,22381,1167.26
116,22381,1146.48
117,22381,1096.47
118,22381,1186.67
119,22381,1301.3
120,22381,1211.89
121,22381,1232.58
122,22381,1250.54
123,22381,1258.16
124,22381,1198.59
125,22381,1184.87
126,22381,1196.0
127,22381,1303.72
128,22381,1221.52
129,22381,1210.99
130,22381,1222.76
131,22381,1259.55
132,22381,1198.54
133,22381,1131.58
134,22381,1185.15
135,22381,1223.88
136,22381,1272.74
137,22381,1204.66
138,22381,1170.04
139,22381,1214.05
140,22381,1238.77
141,22381,1175.78
142,22381,1248.57
143,22381,1212.53
144,22381,1174.82
145,22381,1194.48
146,22381,1191.83
147,22381,1200.76
148,22381,1174.86
149,22381,1173.22
150,22381,1202.0
151,22381,1176.99
152,22381,1149.18
153,22381,1126.67
154,22381,1153.63
155,22381,1149.44
156,22381,1142.64
157,22381,1199.36
158,22381,1189.83
159,22381,1167.64
160,22381,1196.58
161,22381,1166.27
162,22381,1197.45
163,22381,1176.15
164,22381,1155.71
165,22381,1176.39
166,22381,1223.42
167,22381,1175.71
168,22381,1190.05
169,22381,1170.48
170,22381,1195.81
171,22381,1229.46
172,22381,1185.11
173,22381,1193.93
174,22381,1161.0
175,22381,1136.78
176,22381,1191.39
177,22381,1167.53
178,22381,1184.36
179,22381,1155.34
180,22381,1179.35
181,22381,1215.9
182,22381,1249.36
183,22381,1269.79
184,22381,1209.4
185,22381,1166.25
186,22381,1191.23
187,22381,1204.48
188,22381,1194.21
189,22381,1203.93
190,22381,1245.59
191,22381,1189.25
192,22381,1197.75
193,22381,1219.7
194,22381,1205.59
195,22381,1197.53
196,22381,1252.15
197,22381,1176.85
198,22381,1158.75
199,22381,1165.73
200,22381,1180.02
