program_id,channel_id,start,end,fitness
470757_csi_miami_2026-01-04_0060,468,60,120,159
470883_live_nhl_hockey_2026-01-04_0120,594,120,300,227
470671_pok_mon_horizons_the_ser_2026-01-04_0300,382,300,330,81
470628_live_nhl_hockey_2026-01-04_0330,339,330,480,254
470643_entertainment_tonight_2026-01-04_0480,354,480,540,90
470436_live_nhl_hockey_2026-01-04_0540,148,540,720,263
470299_top_chef_canada_2026-01-04_0720,11,720,780,90
470656_when_we_last_spoke_2026-01-04_0780,367,780,900,200
470448_sportsnet_one_calgary_fl_2026-01-04_0900,160,900,1140,277
470384_this_hour_has_22_minutes_2026-01-04_1140,96,1140,1170,90
470597_atn_live_gurubani_2026-01-04_1170,308,1170,1230,164
470339_sports_30_2026-01-04_1230,51,1230,1260,162
470330_anjelica_s_22_minute_wor_2026-01-04_1260,42,1260,1290,90
470493_our_community_2026-01-04_1290,205,1290,1320,157
470345_faith_to_live_by_2026-01-04_1320,57,1320,1350,121
470297_the_littlest_hobo_2026-01-04_1350,9,1350,1380,114
470823_happu_ki_ultan_paltan_2026-01-04_1380,534,1380,1410,80
