program_id,channel_id,start,end,fitness
RTL_Hrvatska_1,4,360,450,94
NovaTV_3,3,450,480,94
ArenaSport2_2,8,480,510,88
HRT2_3,1,510,570,117
ArenaSport2_5,8,570,630,84
DomaTV_5,12,660,690,93
HRT2_6,1,690,720,91
HRT2_7,1,720,750,61
HRT2_8,1,750,780,118
HRT2_9,1,780,810,126
HRT2_10,1,810,870,81
NovaTV_9,3,870,930,112
SportKlub1_7,5,930,1020,110
NovaTV_11,3,1020,1050,82
HRT2_13,1,1050,1110,86
Oxygen_11,13,1110,1140,95
HRT2_15,1,1170,1230,57
ArenaSport1_12,7,1230,1260,88
CMC_13,10,1260,1290,76
HBO_Adria_14,14,1290,1350,96
HRT1_13,0,1350,1380,88
