program_id,channel_id,start,end,fitness
rmcsportlive4_fr_cha_ne_v_nementielle_pou_2026-01-04_0000,295,0,360,325
eurosport360_5_fr_a_bient_t_sur_eurosport__2026-01-04_0360,135,360,540,240
24htve_fr_noticias_24h_2026-01-04_0540,2,540,570,80
myzentv_fr_fais_ton_sport_la_maison_2026-01-04_0570,237,570,615,121
planeteplus_fr_american_pickers_la_broc_2026-01-04_0615,268,615,657,69
planeteplus_fr_american_pickers_la_broc_2026-01-04_0657,268,657,701,78
topsante_fr_bien_dans_ma_t_te_2026-01-04_0704,363,704,735,61
6ter_fr_macgyver2016_2026-01-04_0740,5,740,800,186
bfm2_fr_episode_suivant_2026-01-04_0810,39,810,840,74
tvmonaco_fr_a_matche_2026-01-04_0840,351,840,900,148
cnbceurope_fr_longines_fei_jumping_wor_2026-01-04_0900,88,900,960,82
novelastv_fr_passion_et_pouvoir_saiso_2026-01-04_0980,240,980,1030,66
beinsportsmax6_fr_bein_sports_le_plus_gran_2026-01-04_1050,390,1050,1105,168
telegrenoble_fr_parenth_se_8000_2026-01-04_1105,357,1105,1140,90
viavosges_fr_le_grand_journal_des_ter_2026-01-04_1140,375,1140,1170,87
13emerue_fr_new_york_unit_sp_ciale_2026-01-04_1170,1,1170,1215,175
13emerue_fr_new_york_unit_sp_ciale_2026-01-04_1215,1,1215,1260,81
ginx_fr_the_games_that_made_me_2026-01-04_1260,177,1260,1320,170
france24english_fr_football_coupe_d_afrique_2026-01-04_1320,144,1320,1350,126
museumtv_fr_mus_e_d_art_re_voir_2026-01-04_1350,225,1350,1380,115
france3_parisile_d_dolomites_pi_g_s_aux_som_2026-01-04_1380,163,1380,1435,119
