program_id,channel_id,start,end,fitness
RTL5_1,4,360,390,119
NPO3_2,2,390,420,58
Euronews_2,11,420,450,68
NPO3_4,2,450,540,109
NPO3_5,2,540,570,54
NPO3_6,2,570,630,60
Net5_4,7,630,660,87
RTL5_5,4,690,720,84
NPO2_7,1,720,810,53
NPO2_8,1,810,840,56
NPO2_9,1,840,870,86
NPO2_10,1,870,900,65
Net5_9,7,930,960,82
Canvas_10,10,960,990,88
Canvas_11,10,990,1080,60
Canvas_12,10,1080,1140,105
Canvas_13,10,1140,1170,99
RTL4_12,3,1170,1260,76
RTL4_13,3,1260,1350,82
NPO2_18,1,1350,1380,88
Canvas_19,10,1380,1440,91
