program_id,channel_id,start,end,fitness
412132_saturday_in_america_2026-01-04_0060,114,60,120,107
412151_ep_1719_leslie_jones_ame_2026-01-04_0120,132,120,180,118
369774_define_your_own_success_2026-01-04_0180,35,180,240,116
412192_free_ticket_2026-01-04_0270,165,270,300,101
369771_bloomberg_wealth_with_da_2026-01-04_0390,32,390,420,131
369789_live_2026-01-04_0420,43,420,480,115
412115_zee_flix_2026-01-04_0480,102,480,510,90
412151_ep_201_the_owner_s_box_2026-01-04_0510,132,510,540,129
412115_zee_flix_2026-01-04_0540,102,540,570,90
369740_hell_s_kitchen_s24_2026-01-04_0570,15,570,630,139
412128_movie_2026-01-04_0630,111,630,660,84
412140_match_highlights_25_26_m_2026-01-04_0660,121,660,690,120
412109_inheritors_2026-01-04_0690,98,690,720,108
412092_theresa_may_and_the_brut_2026-01-04_0720,84,720,750,86
412141_bigg_boss_tamil_plus_2026-01-04_0750,122,750,780,100
412187_2025_26_the_asian_tourna_2026-01-04_0780,160,780,870,150
412115_zee_flix_2026-01-04_0870,102,870,900,78
412144_reunion_2026-01-04_0900,125,900,930,134
369737_sports_woman_2026-01-04_0930,14,930,960,94
429984_mornings_with_jones_and__2026-01-04_0960,179,960,990,85
429984_mornings_with_jones_and__2026-01-04_0990,179,990,1020,89
369760_sour_salty_and_alive_s1_2026-01-04_1020,27,1020,1050,117
369760_sour_salty_and_alive_s1_2026-01-04_1050,27,1050,1080,127
412150_tuu_juliet_jatt_di_2026-01-04_1080,131,1080,1110,117
412169_wta_finals_riyadh_single_2026-01-04_1110,145,1110,1260,117
369826_amazing_hotels_life_beyo_2026-01-04_1260,63,1260,1320,142
412165_in_hong_kong_2026-01-04_1320,142,1320,1380,118
412151_ep_10_heidelburg_materia_2026-01-04_1380,132,1380,1410,101
