program_id,channel_id,start,end,fitness
m_ligadecampeones1_m_liga_de_campeones_11_2026-01-04_0000,164,0,720,582
laligatvbar3_es_pr_ximo_partido_zaragoza_2026-01-04_0840,115,840,1110,246
babytv_es_juegos_de_adivinanzas_co_2026-01-04_1110,31,1110,1140,72
canalextremadurasa_la_besana_en_verde_2026-01-04_1140,50,1140,1195,122
canalextremadurasa_la_besana_en_verde_2026-01-04_1195,50,1195,1230,170
telesur_es_telesur_noticias_2026-01-04_1230,255,1230,1260,129
aragontv_es_arag_n_noticias_2_edici__2026-01-04_1260,17,1260,1290,128
tvcolombia_es_colombia_a_la_carta_2026-01-04_1290,243,1290,1350,90
eurosport2_es_copa_del_mundo_de_esqu_d_2026-01-04_1350,96,1350,1380,116
eurosport1_es_copa_del_mundo_de_esqu_d_2026-01-04_1380,95,1380,1410,72
