program_id,channel_id,start,end,fitness
skysportsracing_uk_stateside_2026-01-04_0000,782,0,180,286
pbsamerica_uk_teleshopping_2026-01-04_0180,502,180,420,340
wrneurope_uk_rte_2026-01-04_0420,880,420,450,90
dazn4_uk_signing_off_2026-01-04_0450,212,450,540,238
arsenal_epl_no_game_today_2026-01-04_0540,78,540,780,335
wrneurope_uk_polish_radio_external_se_2026-01-04_0780,880,780,840,84
ewtncatholic_uk_sunday_mass_live_2026-01-04_0840,286,840,920,241
skycrime_1_uk_murders_that_shocked_the_2026-01-04_0920,653,920,975,74
skycrime_1_uk_world_s_most_evil_killer_2026-01-04_0975,653,975,1030,91
rte2_1_ie_monarch_of_the_glen_2026-01-04_1030,539,1030,1090,198
skycomedy_uk_community_2026-01-04_1090,652,1090,1120,85
virgintvultra_uk_fantastic_friends_2026-01-04_1120,877,1120,1175,200
virgintvultra_uk_fantastic_friends_2026-01-04_1175,877,1175,1225,212
more4_uk_four_in_a_bed_2026-01-04_1225,445,1225,1255,82
more4_uk_the_dog_house_2026-01-04_1255,445,1255,1320,203
cartoonnetwork_uk_the_amazing_world_of_gum_2026-01-04_1320,173,1320,1380,193
wrneurope_uk_deutsche_welle_2026-01-04_1380,880,1380,1410,82
