program_id,channel_id,start,end,fitness
flosports27_prmtv_2026_mount_olive_quad_2026-01-04_0000,4640,0,419,354
spectrumnewsbaynew_bay_news_9_your_overnigh_2026-01-04_0419,9056,419,479,68
spectrumnewsbaynew_bay_news_9_your_overnigh_2026-01-04_0479,9056,479,539,84
bbcfood_us_rick_stein_s_seafood_lov_2026-01-04_0539,490,539,572,75
bbcfood_us_rick_stein_s_seafood_lov_2026-01-04_0572,490,572,605,89
abckero_us_the_conners_2026-01-04_0605,36,605,635,156
cbskveodt2_us_whacked_out_sports_2026-01-04_0635,825,635,665,104
abckwyb_us_the_outdoorsman_with_max_2026-01-04_0665,105,665,695,85
365blk_us_it_s_showtime_at_the_apo_2026-01-04_0712,2,712,767,60
365blk_us_it_s_showtime_at_the_apo_2026-01-04_0767,2,767,822,77
starzencoreespanol_disturbing_the_peace_2026-01-04_0822,9125,822,914,166
pcntv_us_farm_show_sale_of_champi_2026-01-04_0914,8067,914,960,62
ca_dazn047_v_fulham_vs_liverpool_2026-01-04_0960,724,960,1200,305
23newswvua_us_wild_child_2026-01-04_1200,1,1200,1230,74
14kjzz_us_silver_coin_rarities_2026-01-04_1230,0,1230,1260,71
14kjzz_us_pawn_stars_2026-01-04_1260,0,1260,1290,74
23newswvua_us_miracle_deliverance_temp_2026-01-04_1290,1,1290,1320,67
23newswvua_us_tommy_wilcox_outdoors_2026-01-04_1320,1,1320,1350,81
23newswvua_us_paid_programming_2026-01-04_1350,1,1350,1380,79
