program_id,channel_id,start,end,fitness
ch1517_breaking_news_5_for_bihar_libr_0004,1517,4,184,60
ch1205_janabheri_cm_revanth_reddy_spe_0184,1205,184,274,46
ch528_punjabi_news_punjabi_latest_ne_0274,528,274,374,99
ch57_film_and_box_office_news_live__0374,57,374,394,56
ch166_beed_choufer_news_live_is_live_0398,166,398,458,120
ch784_sleuth_intuition_live_breaking_0460,784,460,640,110
ch907_live_tv9_bangla_sir_mamata_ban_0641,907,641,731,61
ch351_bihar_news_live_muzaffarpur_li_0731,351,731,761,108
ch1383_december_2025_most_expected_cu_0761,1383,761,821,69
ch1365_breaking_news_watch_today_s_ma_0821,1365,821,856,107
ch439_breaking_news_5_for_bihar_libr_0856,439,856,1006,48
ch623_5_january_2026_daily_current_a_1006,623,1006,1026,67
ch308_news_live_1028,308,1028,1053,50
ch820_news_live_1053,820,1053,1173,54
ch769_newsmax_news_breaking_news_and_1173,769,1173,1233,131
ch626_live_cruise_news_1_4_2026_1233,626,1233,1293,131
ch1562_nvidia_ceo_jensen_huang_talks__1293,1562,1293,1318,74
ch1240_bullhorn_betty_breaking_news_t_1318,1240,1318,1378,131
ch768_breaking_news_bd_is_live_1378,768,1378,1498,131
ch953_king_p_media_is_live_1508,953,1508,1553,66
ch112_4_5_january_current_affairs_20_1553,112,1553,1643,66
ch587_times_news_live_s_broadcast_1644,587,1644,1824,149
ch1428_breaking_news_from_united_stat_1824,1428,1824,1859,116
ch175_5_january_2026_daily_current_a_1863,175,1863,1923,78
ch942_mmtv_news_live_1923,942,1923,1948,118
ch366_dd_sahyadri_news_live_04_01_20_1948,366,1948,2038,117
ch1126_film_and_box_office_news_live__2040,1126,2040,2140,70
ch198_v_update_news_live_is_live_2140,198,2140,2185,116
ch921_trump_live_president_addresses_2186,921,2186,2226,110
ch1499_today_breaking_news_top_100_ne_2226,1499,2226,2286,77
ch1122_disney_parks_live_breaking_new_2286,1122,2286,2436,58
ch571_fox_news_live_stream_now_presi_2436,571,2436,2471,112
ch575_breaking_news_from_united_stat_2472,575,2472,2572,110
ch732_us_strikes_venezuela_news_live_2572,732,2572,2597,82
ch1170_live_untv_news_break_january_5_2597,1170,2597,2657,129
ch1310_rocket_morning_news_live_jan_8_2657,1310,2657,2837,129
ch1071_today_breaking_news_top_100_ne_2837,1071,2837,2957,84
ch1039_disney_parks_live_breaking_new_2957,1039,2957,3257,40
ch356_news_live_3257,356,3257,3317,66
ch574_mumbai_breaking_news_live_mumb_3319,574,3319,3529,114
ch969_disney_parks_live_breaking_new_3529,969,3529,3829,45
ch1017_kairali_news_live_3831,1017,3831,4131,50
ch283_bullhorn_betty_breaking_news_t_4131,283,4131,4171,121
ch675_see_news_urdu_live_latest_paki_4171,675,4171,4411,119
ch326_02_january_2026_aaj_ki_50_sabs_4418,326,4418,4448,61
ch439_kairali_news_live_4448,439,4448,4468,47
ch851_breaking_news_live_coronavirus_4468,851,4468,4488,97
ch1617_live_05_01_2026_morning_news_t_4488,1617,4488,4698,108
ch388_02_january_2026_aaj_ki_50_sabs_4698,388,4698,4908,78
ch1101_bullhorn_betty_breaking_news_t_4908,1101,4908,4943,112
ch1368_05_january_2026_current_affair_4946,1368,4946,4976,48
ch947_l_50_badi_khabren_ll_news_aaj__4976,947,4976,5001,112
ch1501_rauke_news_live_is_live_5004,1501,5004,5104,107
ch896_today_breaking_news_top_100_ne_5104,896,5104,5194,71
ch601_news_live_5199,601,5199,5259,59
ch1001_bullhorn_betty_breaking_news_t_5261,1001,5261,5381,110
ch192_cnn_live_stream_hd_president_t_5381,192,5381,5441,53
ch1582_news_live_5441,1582,5441,5541,65
