instance,score_greedy,scheduled_programs,elapsed_seconds,status
australia_iptv,1346,8,1.390,ok
canada_pw,1070,5,1.829,ok
china_pw,1296,10,3.386,ok
croatia_tv_input,1278,14,0.004,ok
france_iptv,1215,5,0.617,ok
germany_tv_input,725,9,0.003,ok
kosovo_tv_input,1160,13,0.002,ok
netherlands_tv_input,1133,13,0.002,ok
singapore_pw,1223,10,0.606,ok
spain_iptv,978,3,0.543,ok
toy,380,4,0.002,ok
uk_iptv,1491,4,2.060,ok
uk_tv_input,1098,11,0.004,ok
us_iptv,1513,10,11.588,ok
usa_tv_input,1711,16,0.056,ok
youtube_gold,13058,207,3.784,ok
youtube_premium,19900,215,3.637,ok
