instance,experiment,run,seed,best_score,avg_score_final_gen,generations_completed,time_seconds
australia_iptv,E1_baseline,0,0,2866,2647.84,194,300.004
australia_iptv,E1_baseline,1,1,2946,2715.26,201,300.842
australia_iptv,E1_baseline,2,2,2930,2695.68,214,300.478
australia_iptv,E1_baseline,3,3,2932,2784.88,196,300.049
australia_iptv,E1_baseline,4,4,2929,2710.28,189,301.895
australia_iptv,E1_baseline,5,5,2871,2645.16,209,300.375
australia_iptv,E1_baseline,6,6,2944,2744.44,198,302.405
australia_iptv,E1_baseline,7,7,2924,2742.02,214,300.371
australia_iptv,E1_baseline,8,8,2857,2642.92,215,300.732
australia_iptv,E1_baseline,9,9,2923,2714.5,210,300.365
australia_iptv,E2_exploration,0,0,2857,2622.82,62,304.67
australia_iptv,E2_exploration,1,1,2946,2718.01,55,302.751
australia_iptv,E2_exploration,2,2,3005,2699.0,59,301.126
australia_iptv,E2_exploration,3,3,3023,2745.34,59,302.561
australia_iptv,E2_exploration,4,4,2929,2722.54,55,302.958
australia_iptv,E2_exploration,5,5,3085,2848.6,78,305.106
australia_iptv,E2_exploration,6,6,2946,2678.75,76,301.928
australia_iptv,E2_exploration,7,7,2996,2720.13,87,300.941
australia_iptv,E2_exploration,8,8,2857,2581.41,80,301.996
australia_iptv,E2_exploration,9,9,2936,2714.29,76,301.979
australia_iptv,E3_exploitation,0,0,3127,3022.68,83,304.709
australia_iptv,E3_exploitation,1,1,3100,3032.58,81,300.441
australia_iptv,E3_exploitation,2,2,3095,3036.68,78,301.124
australia_iptv,E3_exploitation,3,3,3191,3094.92,85,300.681
australia_iptv,E3_exploitation,4,4,3095,2991.62,83,301.357
australia_iptv,E3_exploitation,5,5,3150,3044.38,78,303.641
australia_iptv,E3_exploitation,6,6,3173,3046.18,76,303.262
australia_iptv,E3_exploitation,7,7,3015,2919.8,76,302.237
australia_iptv,E3_exploitation,8,8,3127,3042.29,80,302.672
australia_iptv,E3_exploitation,9,9,3100,3018.64,78,302.531
canada_pw,E1_baseline,0,0,2218,1766.1,875,300.67
canada_pw,E1_baseline,1,1,2219,1838.24,895,300.816
canada_pw,E1_baseline,2,2,2217,1819.08,851,300.14
canada_pw,E1_baseline,3,3,2205,1813.14,879,301.189
canada_pw,E1_baseline,4,4,2431,2046.66,871,300.211
canada_pw,E1_baseline,5,5,2214,1900.42,907,300.302
canada_pw,E1_baseline,6,6,2430,2088.92,912,300.046
canada_pw,E1_baseline,7,7,2429,2033.84,914,300.188
canada_pw,E1_baseline,8,8,2432,2058.72,887,300.618
canada_pw,E1_baseline,9,9,2221,1842.5,871,300.186
canada_pw,E2_exploration,0,0,2233,1923.55,288,300.656
canada_pw,E2_exploration,1,1,2288,1894.8,275,300.879
canada_pw,E2_exploration,2,2,2426,2009.82,266,300.898
canada_pw,E2_exploration,3,3,2421,2051.24,279,300.997
canada_pw,E2_exploration,4,4,2431,1998.67,275,300.266
canada_pw,E2_exploration,5,5,2220,1809.3,245,300.774
canada_pw,E2_exploration,6,6,2432,2022.22,254,300.156
canada_pw,E2_exploration,7,7,2429,2066.98,259,301.486
canada_pw,E2_exploration,8,8,2432,2067.19,247,300.759
canada_pw,E2_exploration,9,9,2428,2110.24,252,300.404
canada_pw,E3_exploitation,0,0,2322,2224.8,258,300.28
canada_pw,E3_exploitation,1,1,2457,2344.37,268,300.12
canada_pw,E3_exploitation,2,2,2441,2368.26,253,300.902
canada_pw,E3_exploitation,3,3,2498,2433.57,268,300.063
canada_pw,E3_exploitation,4,4,2438,2339.32,264,300.323
canada_pw,E3_exploitation,5,5,2340,2267.83,272,301.225
canada_pw,E3_exploitation,6,6,2503,2409.48,262,300.662
canada_pw,E3_exploitation,7,7,2439,2323.01,252,301.228
canada_pw,E3_exploitation,8,8,2503,2449.57,259,300.114
canada_pw,E3_exploitation,9,9,2498,2466.35,270,300.121
china_pw,E1_baseline,0,0,2186,2002.7,151,300.046
china_pw,E1_baseline,1,1,2276,2111.06,164,302.068
china_pw,E1_baseline,2,2,2067,1927.32,206,300.009
china_pw,E1_baseline,3,3,2180,2004.86,146,300.125
china_pw,E1_baseline,4,4,1923,1774.42,171,300.866
china_pw,E1_baseline,5,5,2150,1987.56,154,300.976
china_pw,E1_baseline,6,6,2122,2004.44,146,300.787
china_pw,E1_baseline,7,7,2067,1934.38,216,300.679
china_pw,E1_baseline,8,8,2145,1969.14,157,300.545
china_pw,E1_baseline,9,9,2221,2044.9,174,300.431
china_pw,E2_exploration,0,0,2124,1912.14,36,303.941
china_pw,E2_exploration,1,1,2202,2023.35,26,300.368
china_pw,E2_exploration,2,2,2276,2080.63,34,303.905
china_pw,E2_exploration,3,3,2049,1923.33,29,305.412
china_pw,E2_exploration,4,4,2347,2184.63,28,304.163
china_pw,E2_exploration,5,5,2282,2086.43,30,303.11
china_pw,E2_exploration,6,6,2291,2047.73,28,301.139
china_pw,E2_exploration,7,7,2146,1960.46,34,300.207
china_pw,E2_exploration,8,8,2232,2026.27,31,302.987
china_pw,E2_exploration,9,9,2209,2078.32,35,302.626
china_pw,E3_exploitation,0,0,2138,2093.57,27,303.125
china_pw,E3_exploitation,1,1,2146,2093.43,31,303.298
china_pw,E3_exploitation,2,2,2081,2013.19,34,303.428
china_pw,E3_exploitation,3,3,2254,2215.87,27,302.381
china_pw,E3_exploitation,4,4,2136,2058.96,33,304.843
china_pw,E3_exploitation,5,5,2251,2167.53,30,303.523
china_pw,E3_exploitation,6,6,2124,2066.68,30,303.746
china_pw,E3_exploitation,7,7,2247,2210.64,28,300.668
china_pw,E3_exploitation,8,8,2231,2195.79,30,303.291
china_pw,E3_exploitation,9,9,2197,2151.79,38,300.258
croatia_tv_input,E1_baseline,0,0,1847,1685.74,20143,300.009
croatia_tv_input,E1_baseline,1,1,1672,1535.54,21183,300.01
croatia_tv_input,E1_baseline,2,2,1847,1649.84,20624,300.0
croatia_tv_input,E1_baseline,3,3,1849,1676.7,20557,300.002
croatia_tv_input,E1_baseline,4,4,1768,1675.28,20162,300.002
croatia_tv_input,E1_baseline,5,5,1766,1608.22,20186,300.001
croatia_tv_input,E1_baseline,6,6,1622,1471.98,21810,300.006
croatia_tv_input,E1_baseline,7,7,1678,1538.52,21063,300.004
croatia_tv_input,E1_baseline,8,8,1839,1684.44,20671,300.001
croatia_tv_input,E1_baseline,9,9,1678,1530.68,21160,300.004
croatia_tv_input,E2_exploration,0,0,1847,1654.09,8682,300.007
croatia_tv_input,E2_exploration,1,1,1763,1596.07,8693,300.019
croatia_tv_input,E2_exploration,2,2,1844,1702.97,8640,300.021
croatia_tv_input,E2_exploration,3,3,1766,1606.51,8403,300.033
croatia_tv_input,E2_exploration,4,4,1847,1641.54,8647,300.003
croatia_tv_input,E2_exploration,5,5,1933,1730.54,8654,300.014
croatia_tv_input,E2_exploration,6,6,1847,1651.11,8957,300.045
croatia_tv_input,E2_exploration,7,7,1761,1592.0,8919,300.019
croatia_tv_input,E2_exploration,8,8,1847,1686.37,8694,300.031
croatia_tv_input,E2_exploration,9,9,1766,1605.04,8656,300.002
croatia_tv_input,E3_exploitation,0,0,1773,1718.25,8654,300.007
croatia_tv_input,E3_exploitation,1,1,1857,1825.36,8087,300.013
croatia_tv_input,E3_exploitation,2,2,1765,1703.97,8520,300.014
croatia_tv_input,E3_exploitation,3,3,1761,1739.67,8613,300.001
croatia_tv_input,E3_exploitation,4,4,1770,1764.57,8360,300.024
croatia_tv_input,E3_exploitation,5,5,1933,1908.98,7994,300.034
croatia_tv_input,E3_exploitation,6,6,1773,1743.47,8331,300.048
croatia_tv_input,E3_exploitation,7,7,1704,1651.22,8681,300.004
croatia_tv_input,E3_exploitation,8,8,1936,1840.23,8074,300.01
croatia_tv_input,E3_exploitation,9,9,1852,1825.34,8113,300.023
france_iptv,E1_baseline,0,0,2276,1965.8,5729,300.037
france_iptv,E1_baseline,1,1,2382,2074.66,4808,300.013
france_iptv,E1_baseline,2,2,2541,2234.04,5241,300.004
france_iptv,E1_baseline,3,3,2520,2169.32,4892,300.011
france_iptv,E1_baseline,4,4,2412,2037.5,5678,300.042
france_iptv,E1_baseline,5,5,2373,2134.76,4748,300.028
france_iptv,E1_baseline,6,6,2541,2270.0,4700,300.064
france_iptv,E1_baseline,7,7,2406,2099.56,4503,300.139
france_iptv,E1_baseline,8,8,2421,2133.5,5573,300.05
france_iptv,E1_baseline,9,9,2401,2135.1,4607,300.043
france_iptv,E2_exploration,0,0,2542,2260.08,1717,300.011
france_iptv,E2_exploration,1,1,2401,2081.79,1692,300.153
france_iptv,E2_exploration,2,2,2740,2345.39,2020,300.152
france_iptv,E2_exploration,3,3,2655,2306.07,1598,300.193
france_iptv,E2_exploration,4,4,2515,2192.6,1741,300.185
france_iptv,E2_exploration,5,5,2476,2125.88,1457,300.029
france_iptv,E2_exploration,6,6,2556,2212.36,1545,300.239
france_iptv,E2_exploration,7,7,2460,2068.83,1443,300.599
france_iptv,E2_exploration,8,8,2442,2134.74,1463,300.277
france_iptv,E2_exploration,9,9,2647,2277.24,1626,300.101
france_iptv,E3_exploitation,0,0,2272,2179.69,1676,300.157
france_iptv,E3_exploitation,1,1,2645,2583.91,1731,300.052
france_iptv,E3_exploitation,2,2,2734,2675.89,1735,300.052
france_iptv,E3_exploitation,3,3,2484,2401.27,1742,300.018
france_iptv,E3_exploitation,4,4,2694,2647.69,1586,300.013
france_iptv,E3_exploitation,5,5,2531,2469.75,1589,300.062
france_iptv,E3_exploitation,6,6,2799,2743.42,1790,300.094
france_iptv,E3_exploitation,7,7,2927,2798.79,1458,300.099
france_iptv,E3_exploitation,8,8,2550,2450.62,1848,300.142
france_iptv,E3_exploitation,9,9,2617,2527.04,1622,300.148
germany_tv_input,E1_baseline,0,0,932,796.5,55899,300.0
germany_tv_input,E1_baseline,1,1,932,794.46,55888,300.006
germany_tv_input,E1_baseline,2,2,932,767.14,55996,300.002
germany_tv_input,E1_baseline,3,3,932,782.18,56226,300.002
germany_tv_input,E1_baseline,4,4,902,795.68,51699,300.002
germany_tv_input,E1_baseline,5,5,902,771.98,51139,300.001
germany_tv_input,E1_baseline,6,6,927,765.64,55688,300.005
germany_tv_input,E1_baseline,7,7,932,742.88,56143,300.0
germany_tv_input,E1_baseline,8,8,932,774.08,56060,300.004
germany_tv_input,E1_baseline,9,9,932,771.06,55730,300.0
germany_tv_input,E2_exploration,0,0,932,750.65,27237,300.007
germany_tv_input,E2_exploration,1,1,932,780.29,27124,300.009
germany_tv_input,E2_exploration,2,2,932,763.57,27130,300.0
germany_tv_input,E2_exploration,3,3,932,755.2,27184,300.011
germany_tv_input,E2_exploration,4,4,932,772.61,27032,300.007
germany_tv_input,E2_exploration,5,5,932,765.82,27616,300.01
germany_tv_input,E2_exploration,6,6,932,773.07,27574,300.004
germany_tv_input,E2_exploration,7,7,932,760.92,27588,300.003
germany_tv_input,E2_exploration,8,8,927,779.79,27420,300.004
germany_tv_input,E2_exploration,9,9,932,767.93,27526,300.009
germany_tv_input,E3_exploitation,0,0,922,902.05,23660,300.003
germany_tv_input,E3_exploitation,1,1,932,906.94,23327,300.002
germany_tv_input,E3_exploitation,2,2,922,905.79,23525,300.008
germany_tv_input,E3_exploitation,3,3,922,900.84,23559,300.013
germany_tv_input,E3_exploitation,4,4,932,920.94,23341,300.012
germany_tv_input,E3_exploitation,5,5,920,914.45,24046,300.0
germany_tv_input,E3_exploitation,6,6,920,897.76,23493,300.012
germany_tv_input,E3_exploitation,7,7,932,923.83,23409,300.008
germany_tv_input,E3_exploitation,8,8,922,899.91,23653,300.003
germany_tv_input,E3_exploitation,9,9,920,900.36,23512,300.011
kosovo_tv_input,E1_baseline,0,0,1373,1248.64,37284,300.003
kosovo_tv_input,E1_baseline,1,1,1484,1348.28,33625,300.006
kosovo_tv_input,E1_baseline,2,2,1422,1314.64,33453,300.0
kosovo_tv_input,E1_baseline,3,3,1410,1257.98,35830,300.005
kosovo_tv_input,E1_baseline,4,4,1433,1279.14,35425,300.006
kosovo_tv_input,E1_baseline,5,5,1497,1328.2,31884,300.004
kosovo_tv_input,E1_baseline,6,6,1382,1236.7,37109,300.005
kosovo_tv_input,E1_baseline,7,7,1460,1371.66,31607,300.006
kosovo_tv_input,E1_baseline,8,8,1358,1211.8,37275,300.004
kosovo_tv_input,E1_baseline,9,9,1464,1323.26,33790,300.005
kosovo_tv_input,E2_exploration,0,0,1507,1352.22,15317,300.018
kosovo_tv_input,E2_exploration,1,1,1412,1239.57,16698,300.004
kosovo_tv_input,E2_exploration,2,2,1496,1348.7,15984,300.014
kosovo_tv_input,E2_exploration,3,3,1410,1229.18,16835,300.014
kosovo_tv_input,E2_exploration,4,4,1472,1310.15,15952,300.007
kosovo_tv_input,E2_exploration,5,5,1471,1319.6,16277,300.003
