instance,run,seed,ga_score,ls_score,improvement_abs,improvement_pct,ga_generations,ga_time_seconds,ls_iterations,ls_time_seconds
australia_iptv,0,0,3127,3127,0,0.0,72,300.929,274,95.037
australia_iptv,1,1,3100,3100,0,0.0,70,303.221,273,95.184
australia_iptv,2,2,3095,3095,0,0.0,68,303.979,271,94.529
australia_iptv,3,3,3191,3341,150,4.701,74,304.6,270,94.179
australia_iptv,4,4,3095,3100,5,0.162,70,304.45,261,90.021
australia_iptv,5,5,3150,3153,3,0.095,67,302.161,257,94.191
australia_iptv,6,6,3173,3173,0,0.0,67,303.128,272,94.642
australia_iptv,7,7,3005,3164,159,5.291,66,300.677,267,90.622
australia_iptv,8,8,3127,3127,0,0.0,69,300.028,264,93.405
australia_iptv,9,9,3100,3100,0,0.0,68,302.621,263,93.577
canada_pw,0,0,2322,2555,233,10.034,316,300.109,1029,85.219
canada_pw,1,1,2457,2619,162,6.593,326,301.195,1040,88.346
canada_pw,2,2,2441,2555,114,4.67,315,300.618,993,82.53
canada_pw,3,3,2498,2619,121,4.844,336,300.371,1013,86.364
canada_pw,4,4,2438,2555,117,4.799,318,300.62,1002,84.417
canada_pw,5,5,2340,2619,279,11.923,324,300.668,1028,82.392
canada_pw,6,6,2503,2624,121,4.834,312,300.681,1003,77.413
canada_pw,7,7,2439,2560,121,4.961,300,300.172,977,74.517
canada_pw,8,8,2503,2624,121,4.834,317,300.055,1011,81.07
canada_pw,9,9,2498,2529,31,1.241,321,300.025,1025,80.192
china_pw,0,0,2138,2248,110,5.145,21,304.976,196,93.192
china_pw,1,1,2146,2146,0,0.0,24,302.278,184,90.588
china_pw,2,2,2080,2092,12,0.577,26,302.919,225,94.222
china_pw,3,3,2249,2249,0,0.0,20,301.354,204,94.181
china_pw,4,4,2136,2142,6,0.281,25,300.149,239,94.006
china_pw,5,5,2251,2251,0,0.0,22,302.138,192,94.872
china_pw,6,6,2124,2190,66,3.107,22,302.521,191,90.235
china_pw,7,7,2247,2248,1,0.045,22,303.257,192,90.697
china_pw,8,8,2231,2274,43,1.927,23,306.855,212,92.266
china_pw,9,9,2197,2197,0,0.0,29,303.717,179,94.555
croatia_tv_input,0,0,1773,1849,76,4.287,7054,300.007,967,2.15
croatia_tv_input,1,1,1857,1933,76,4.093,6534,300.046,940,2.034
croatia_tv_input,2,2,1765,1841,76,4.306,6909,300.008,938,2.204
croatia_tv_input,3,3,1761,1847,86,4.884,6962,300.029,967,2.118
croatia_tv_input,4,4,1770,1892,122,6.893,6704,300.022,978,2.178
croatia_tv_input,5,5,1933,1933,0,0.0,6303,300.002,930,2.037
croatia_tv_input,6,6,1773,1849,76,4.287,6488,300.035,938,2.03
croatia_tv_input,7,7,1704,1705,1,0.059,6790,300.059,943,1.89
croatia_tv_input,8,8,1936,2012,76,3.926,6286,300.011,935,2.163
croatia_tv_input,9,9,1852,1937,85,4.59,6289,300.045,976,2.254
france_iptv,0,0,2272,2490,218,9.595,1289,300.143,1082,20.439
france_iptv,1,1,2645,2661,16,0.605,1358,300.093,960,20.293
france_iptv,2,2,2734,2820,86,3.146,1396,300.098,954,18.845
france_iptv,3,3,2484,2644,160,6.441,1386,300.088,1000,19.443
france_iptv,4,4,2694,2848,154,5.716,1280,300.227,1043,23.109
france_iptv,5,5,2531,2604,73,2.884,1205,300.177,1026,21.88
france_iptv,6,6,2799,2799,0,0.0,1331,300.196,947,18.084
france_iptv,7,7,2749,2749,0,0.0,1090,300.368,1028,23.539
france_iptv,8,8,2550,2550,0,0.0,1367,300.227,1023,20.893
france_iptv,9,9,2617,2703,86,3.286,1206,300.009,970,19.756
germany_tv_input,0,0,922,922,0,0.0,17923,300.003,1100,0.368
germany_tv_input,1,1,932,932,0,0.0,17660,300.007,1057,0.376
germany_tv_input,2,2,922,922,0,0.0,17790,300.009,1113,0.39
germany_tv_input,3,3,922,922,0,0.0,17841,300.016,1111,0.364
germany_tv_input,4,4,932,932,0,0.0,17413,300.007,1075,0.421
germany_tv_input,5,5,920,920,0,0.0,18097,300.003,1086,0.387
germany_tv_input,6,6,920,932,12,1.304,17776,300.009,1107,0.37
germany_tv_input,7,7,932,932,0,0.0,17625,300.019,1024,0.364
germany_tv_input,8,8,922,922,0,0.0,17788,300.0,1046,0.366
germany_tv_input,9,9,920,920,0,0.0,17599,300.003,1085,0.373
kosovo_tv_input,0,0,1518,1548,30,1.976,10444,300.005,931,0.474
kosovo_tv_input,1,1,1504,1504,0,0.0,10353,300.004,930,0.445
kosovo_tv_input,2,2,1516,1516,0,0.0,10370,300.011,930,0.476
kosovo_tv_input,3,3,1416,1471,55,3.884,10521,300.016,931,0.523
kosovo_tv_input,4,4,1533,1553,20,1.305,10739,300.008,931,0.748
kosovo_tv_input,5,5,1463,1463,0,0.0,10795,300.002,930,0.505
kosovo_tv_input,6,6,1471,1471,0,0.0,11242,300.0,930,0.473
kosovo_tv_input,7,7,1486,1486,0,0.0,11158,300.005,973,0.698
kosovo_tv_input,8,8,1523,1523,0,0.0,10476,300.004,930,0.544
kosovo_tv_input,9,9,1486,1486,0,0.0,11171,300.02,973,0.539
netherlands_tv_input,0,0,1670,1670,0,0.0,9601,300.025,944,0.573
netherlands_tv_input,1,1,1723,1723,0,0.0,9386,300.014,991,0.61
netherlands_tv_input,2,2,1567,1567,0,0.0,10224,300.024,966,0.562
netherlands_tv_input,3,3,1604,1659,55,3.429,9768,300.004,1058,0.613
netherlands_tv_input,4,4,1641,1641,0,0.0,10317,300.002,950,0.507
