program_id,channel_id,start,end,fitness
470504_live_saturday_in_america_2026-01-04_0060,216,60,120,152
470883_live_nhl_hockey_2026-01-04_0120,594,120,300,227
470671_pok_mon_horizons_the_ser_2026-01-04_0300,382,300,330,81
470443_live_nhl_hockey_2026-01-04_0330,155,330,480,253
470355_cricket_2026-01-04_0480,67,480,720,296
470299_top_chef_canada_2026-01-04_0720,11,720,780,90
470390_live_sc_with_jay_onrait_2026-01-04_0780,102,780,840,172
470807_live_worth_noting_2026-01-04_0840,518,840,1200,385
470701_fight_network_recharged_2026-01-04_1200,412,1200,1260,90
470504_live_fox_and_friends_wee_2026-01-04_1260,216,1260,1320,157
470345_faith_to_live_by_2026-01-04_1320,57,1320,1350,121
470334_the_littlest_hobo_2026-01-04_1350,46,1350,1380,114
470823_happu_ki_ultan_paltan_2026-01-04_1380,534,1380,1410,80
