program_id,channel_id,start,end,fitness
378864_1800_2026-01-04_0060,51,60,170,122
457803_60_2026-01-04_0170,405,170,232,57
490324_0468_2026-01-04_0360,958,360,570,244
457704_2_2026-01-04_0570,310,570,600,67
13889__2026-01-04_0600,1,600,653,62
490331_familyhistory_2026-01-04_0665,965,665,713,66
457868__2026-01-04_0713,467,713,757,59
457868__2026-01-04_0757,467,757,789,67
457757_por_macau_em_busca_do_pa_2026-01-04_0795,360,795,825,162
379037__2026-01-04_0825,90,825,869,61
490217_16_2026-01-04_0869,851,869,911,61
490331_hellofromstudiopark_2026-01-04_0960,965,960,1005,91
457996__2026-01-04_1005,589,1005,1035,61
464632__2026-01-04_1035,821,1035,1102,74
490331_nhknews_2026-01-04_1140,965,1140,1170,120
457612__2026-01-04_1170,219,1170,1208,74
457612__2026-01-04_1208,219,1208,1257,84
490331_newswatch_2026-01-04_1260,965,1260,1320,125
490331_scienceforeveryone_2026-01-04_1320,965,1320,1363,122
449239_2022_37_2026-01-04_1363,172,1363,1413,71
