program_id,channel_id,start,end,fitness
HBO_Adria_1,14,360,480,102
HBO_Adria_2,14,480,540,68
HBO_Adria_3,14,540,600,64
N1_Hrvatska_5,9,600,660,79
HRT1_4,0,660,690,36
DomaTV_6,12,690,720,53
HRT2_7,1,720,750,56
HRT2_8,1,750,780,118
HRT2_9,1,780,810,126
HRT2_10,1,810,870,81
NovaTV_9,3,870,930,112
SportKlub1_7,5,930,1020,110
NovaTV_11,3,1020,1050,82
HRT2_13,1,1050,1110,86
Oxygen_11,13,1110,1140,95
HRT2_15,1,1170,1230,57
ArenaSport1_12,7,1230,1260,88
RTL_Hrvatska_10,4,1260,1320,80
RTL_Hrvatska_11,4,1320,1380,95
