program_id,channel_id,start,end,fitness
369757_sky_news_today_2026-01-04_0060,25,60,90,105
412103_patharamattu_2026-01-04_0090,94,90,120,92
369813_late_night_with_seth_mey_2026-01-04_0120,55,120,180,114
369854_movie_2026-01-04_0180,79,180,210,82
369765_the_unxplained_with_will_2026-01-04_0210,28,210,265,110
412092_theresa_may_and_the_brut_2026-01-04_0330,84,330,360,99
412201_cnn_newsroom_saturday_2026-01-04_0360,173,360,420,126
412165_mega_fights_sergio_marti_2026-01-04_0480,142,480,630,179
369827_judo_for_the_world_2026-01-04_0630,64,630,660,101
412103_chirikkum_thalika_ii_2026-01-04_0660,94,660,690,85
369735_bigg_boss_tamil_2026-01-04_0690,13,690,750,130
369735_bigg_boss_tamil_plus_2026-01-04_0750,13,750,780,113
412103_chirikkum_thalika_ii_2026-01-04_0780,94,780,810,86
482822_569_2026-01-04_0810,198,810,840,104
412181_25_26_roshn_saudi_league_2026-01-04_0840,154,840,960,157
369828_kahani_har_ghar_ki_2026-01-04_0960,65,960,1020,88
369760_sour_salty_and_alive_s1_2026-01-04_1020,27,1020,1050,117
369760_sour_salty_and_alive_s1_2026-01-04_1050,27,1050,1080,127
369772_tuu_juliet_jatt_di_2026-01-04_1080,33,1080,1110,116
369757_sky_news_today_with_matt_2026-01-04_1140,25,1140,1170,116
369757_sky_news_today_with_matt_2026-01-04_1170,25,1170,1200,126
369826_amazing_hotels_life_beyo_2026-01-04_1260,63,1260,1320,142
412165_in_hong_kong_2026-01-04_1320,142,1320,1380,118
412151_ep_10_heidelburg_materia_2026-01-04_1380,132,1380,1410,101
