program_id,channel_id,start,end,fitness
412109_the_world_today_2026-01-04_0060,98,60,90,104
412103_patharamattu_2026-01-04_0090,94,90,120,92
369813_late_night_with_seth_mey_2026-01-04_0120,55,120,180,114
412187_highlights_2026-01-04_0180,160,180,210,80
369765_the_unxplained_with_will_2026-01-04_0210,28,210,265,110
369765_ancient_aliens_s15_2026-01-04_0265,28,265,320,68
369766_dw_news_2026-01-04_0390,29,390,420,122
369750_laliga_2025_26_tbc_v_tbc_2026-01-04_0420,22,420,530,129
369754_country_life_of_gen_z_2026-01-04_0530,24,530,610,136
369836_masterpieces_performed_b_2026-01-04_0610,68,610,660,60
412092_bloomberg_originals_2026-01-04_0660,84,660,690,119
412109_inheritors_2026-01-04_0690,98,690,720,108
412092_theresa_may_and_the_brut_2026-01-04_0720,84,720,750,86
412141_bigg_boss_tamil_plus_2026-01-04_0750,122,750,780,100
412187_2025_26_the_asian_tourna_2026-01-04_0780,160,780,870,150
412115_zee_flix_2026-01-04_0870,102,870,900,78
412144_reunion_2026-01-04_0900,125,900,930,134
369737_sports_woman_2026-01-04_0930,14,930,960,94
429984_mornings_with_jones_and__2026-01-04_0960,179,960,990,85
369760_sour_salty_and_alive_s1_2026-01-04_1020,27,1020,1050,117
412090_shiva_shakthi_thiruvilay_2026-01-04_1050,82,1050,1080,117
369772_tuu_juliet_jatt_di_2026-01-04_1080,33,1080,1110,116
412161_border_control_spain_s7_2026-01-04_1180,139,1180,1210,74
429563_alpine_skiing_live_2026-01-04_1210,177,1210,1275,117
369780_mechamato_2026-01-04_1275,38,1275,1305,117
369780_mechamato_2026-01-04_1305,38,1305,1335,86
369766_docfilm_2026-01-04_1335,29,1335,1380,90
412151_ep_10_heidelburg_materia_2026-01-04_1380,132,1380,1410,101
