program_id,channel_id,start,end,fitness
skysportsracing_uk_stateside_2026-01-04_0000,782,0,180,286
pbsamerica_uk_teleshopping_2026-01-04_0180,502,180,420,340
wrneurope_uk_rte_2026-01-04_0420,880,420,450,90
laligatv_uk_laliga_ea_sports_2025_20_2026-01-04_0450,410,450,570,241
laligatv_uk_laliga_ea_sports_2025_20_2026-01-04_0570,410,570,690,240
bloomberg_uk_leaders_with_francine_la_2026-01-04_0690,147,690,720,84
skyatlantic_1_uk_game_of_thrones_2026-01-04_0795,638,795,860,227
skyatlantic_1_uk_game_of_thrones_2026-01-04_0860,638,860,920,192
channel5_1_uk_crocodile_dundee_2026-01-04_0920,179,920,985,62
skysportsclassics__premier_league_100_club_2026-01-04_0985,769,985,1015,71
great_romance_1_uk_12_toys_of_christmas_2026-01-04_1015,324,1015,1075,183
virginmediafour_ie_golf_s_greatest_holes_2026-01-04_1135,872,1135,1165,66
virginmediafour_ie_golf_s_greatest_holes_2026-01-04_1165,872,1165,1200,209
dmax_uk_extinct_or_alive_the_tas_2026-01-04_1200,219,1200,1260,201
dmax_uk_extinct_or_alive_jaws_of_2026-01-04_1260,219,1260,1320,96
boomerang_uk_scooby_doo_and_guess_who_2026-01-04_1350,150,1350,1380,193
great_mystery_1_uk_murder_she_baked_a_choco_2026-01-04_1380,322,1380,1436,173
