program_id,channel_id,start,end,fitness
skysportsracing_uk_stateside_2026-01-04_0000,782,0,180,286
liverpool_epl_no_game_today_2026-01-04_0180,421,180,420,341
wrneurope_uk_rte_2026-01-04_0420,880,420,450,90
emanchannel_uk_makkah_live_2026-01-04_0450,289,450,540,251
astonvilla_epl_no_game_today_2026-01-04_0540,79,540,780,336
skyhistory2_uk_digging_for_britain_2026-01-04_0780,658,780,840,90
laligatv_uk_laliga_ea_sports_2025_20_2026-01-04_0840,410,840,975,279
sikhchannel_uk_anand_karaj_appeal_seva_2026-01-04_0990,636,990,1050,195
arirang_uk_with_science_we_live_2026-01-04_1050,76,1050,1080,90
akaalchannel_uk_weekly_langar_sewa_mp_2026-01-04_1080,18,1080,1110,199
bbcr5l_uk_premier_league_football_2026-01-04_1110,114,1110,1230,256
discoveryscience_1_how_it_s_made_2026-01-04_1230,227,1230,1260,90
bbcscotland_uk_our_lives_2026-01-04_1290,125,1290,1320,201
5usa_uk_ncis_2026-01-04_1320,6,1320,1380,193
wrneurope_uk_deutsche_welle_2026-01-04_1380,880,1380,1410,82
