program_id,channel_id,start,end,fitness
Channel_74_0,74,480,510,126
Channel_116_1,116,510,600,90
Channel_60_2,60,600,660,87
Channel_119_2,119,660,690,86
Channel_58_4,58,690,720,80
Channel_4_3,3,720,750,23
ITV_6,2,765,810,81
Film4_4,17,810,840,116
Dave_7,12,840,870,86
Channel_23_6,23,930,960,95
Channel_21_8,21,960,1005,86
Channel_66_8,66,1005,1035,90
Comedy_Central_7,16,1035,1065,82
Channel_79_9,79,1065,1110,90
Channel_72_11,72,1155,1185,116
ITV_14,2,1185,1215,38
ITV_15,2,1215,1305,120
ITV3_13,8,1305,1380,76
