program_id,channel_id,start,end,fitness
Channel_74_0,74,480,510,126
Channel_49_1,49,510,540,90
E4_2,14,570,600,104
Channel_60_2,60,600,660,87
Channel_119_2,119,660,690,86
Channel_58_4,58,690,720,80
ITV3_6,8,750,810,69
Channel_45_6,45,810,855,89
Channel_110_4,110,855,900,99
Channel_44_7,44,900,930,104
Channel_43_8,43,930,960,76
Channel_33_9,33,960,990,90
Channel_52_7,52,990,1035,120
Channel_102_8,102,1035,1080,90
Channel_75_9,75,1110,1140,90
Channel_59_10,59,1140,1185,80
ITV_14,2,1185,1215,38
ITV_15,2,1215,1305,120
ITV3_13,8,1305,1380,76
