program_id,channel_id,start,end,fitness
flosports27_prmtv_2026_mount_olive_quad_2026-01-04_0000,4640,0,419,354
spectrumnewsbaynew_bay_news_9_your_overnigh_2026-01-04_0419,9056,419,479,68
historyhit_us_world_war_ii_in_colour_2026-01-04_0479,5102,479,540,144
mlbstrikezone_us_upcoming_mlb_network_str_2026-01-04_0540,5454,540,720,224
14kjzz_us_positively_america_with__2026-01-04_0720,0,720,750,63
14kjzz_us_small_town_big_deal_2026-01-04_0750,0,750,780,72
alabamacrimsontide_no_game_today_2026-01-04_0780,312,780,1020,229
nbaleaguepass4_us_nba_league_pass_2026-01-04_1020,5988,1020,1200,283
23newswvua_us_wild_child_2026-01-04_1200,1,1200,1230,74
23newswvua_us_wild_child_2026-01-04_1230,1,1230,1260,82
14kjzz_us_pawn_stars_2026-01-04_1260,0,1260,1290,64
23newswvua_us_miracle_deliverance_temp_2026-01-04_1290,1,1290,1320,67
23newswvua_us_tommy_wilcox_outdoors_2026-01-04_1320,1,1320,1350,81
23newswvua_us_paid_programming_2026-01-04_1350,1,1350,1380,79
