program_id,channel_id,start,end,fitness
flosports27_prmtv_2026_mount_olive_quad_2026-01-04_0000,4640,0,419,354
starzencoreactionp_transformers_dark_of_the_2026-01-04_0419,9120,419,576,222
tritonpoker_us_200k_triton_invitational_2026-01-04_0576,9495,576,639,78
bbcfood_us_rick_stein_s_seafood_lov_2026-01-04_0639,490,639,672,73
bbcfood_us_rick_stein_s_seafood_lov_2026-01-04_0672,490,672,705,79
365blk_us_it_s_showtime_at_the_apo_2026-01-04_0712,2,712,767,60
365blk_us_it_s_showtime_at_the_apo_2026-01-04_0767,2,767,822,77
skills_thrills_us_swamp_people_2026-01-04_0822,8947,822,874,70
ultramacho_us_la_conquista_de_siberia_2026-01-04_0874,9662,874,926,55
ultramacho_us_al_borde_de_la_muerte_2026-01-04_0926,9662,926,974,60
4uv_us_bring_it_2026-01-04_0974,8,974,1027,148
4uv_us_bring_it_2026-01-04_1027,8,1027,1080,88
nbaleaguepass1_us_nba_league_pass_2026-01-04_1080,5984,1080,1200,252
14kjzz_us_the_golden_financial_rul_2026-01-04_1200,0,1200,1230,61
14kjzz_us_silver_coin_rarities_2026-01-04_1230,0,1230,1260,81
23newswvua_us_beulah_baptist_church_of_2026-01-04_1260,1,1260,1290,60
23newswvua_us_miracle_deliverance_temp_2026-01-04_1290,1,1290,1320,77
14kjzz_us_the_liquidator_2026-01-04_1320,0,1320,1350,69
23newswvua_us_paid_programming_2026-01-04_1350,1,1350,1380,69
