program_id,channel_id,start,end,fitness
Channel_262_0,262,360,420,130
FOX_News_1,8,420,450,90
Channel_832_2,832,480,510,123
Channel_182_2,182,510,570,119
Channel_178_3,178,570,660,113
Channel_56_4,56,660,720,115
Channel_184_6,184,720,810,116
Channel_449_6,449,810,840,119
Channel_154_7,154,840,900,95
Channel_739_10,739,900,960,120
Channel_277_9,277,1050,1080,133
Channel_868_10,868,1080,1110,135
TNT_10,11,1110,1170,95
Channel_393_12,393,1170,1200,135
ESPN_15,5,1200,1290,95
ESPN_16,5,1290,1350,72
HLN_11,9,1350,1410,80
CNBC_14,33,1410,1440,110
