program_id,channel_id,start,end,fitness
Channel_108_0,108,360,420,129
FOX_News_1,8,420,450,90
FOX_News_2,8,450,480,84
Channel_832_2,832,480,510,123
Channel_182_2,182,510,570,119
Channel_247_2,247,570,600,112
Channel_202_3,202,600,630,110
Channel_321_6,321,750,780,116
Channel_233_6,233,780,810,95
Channel_449_6,449,810,840,119
Channel_421_7,421,870,930,118
Channel_159_8,159,930,1050,127
Channel_277_9,277,1050,1080,133
Channel_98_12,98,1080,1110,95
Channel_279_9,279,1110,1140,131
Channel_255_10,255,1140,1170,132
Channel_690_10,690,1170,1200,93
ESPN_15,5,1200,1290,95
ESPN_16,5,1290,1350,72
HLN_11,9,1350,1410,80
CNBC_14,33,1410,1440,110
