program_id,channel_id,start,end,fitness
ch942_live_from_magic_kingdom_disney_0002,942,2,102,90
ch201_live_current_affairs_class_hel_0102,201,102,177,67
ch433_livestream_evening_worship_6_0_0177,433,177,252,33
ch698_special_live_stream_performanc_0252,698,252,327,41
ch1071_friends_jaldi_se_join_karo_liv_0328,1071,328,403,42
ch187_tash_sultana_live_stream_perfo_0403,187,403,613,71
ch610_live_stream_viral_live_0614,610,614,704,42
ch368_q_and_a_livestream_january_18__0705,368,705,780,74
ch67_january_05_2026_monday_livestr_0782,67,782,827,46
ch1099_the_gerry_callahan_show_live_1_0829,1099,829,904,50
ch787_haryanvi_culture_and_desi_vlog_0905,787,905,1025,49
ch827_sunday_live_crochet_talk_hello_1025,827,1025,1060,43
ch580_vijay_sir_birthday_special_liv_1064,580,1064,1164,42
ch935_live_day_5_trending_1164,935,1164,1254,91
ch183_live_final_training_session_be_1254,183,1254,1329,74
ch1318_gelt_resisting_torment_livestr_1329,1318,1329,1389,74
ch235_tash_sultana_live_stream_perfo_1389,235,1389,1479,83
ch9_aj_simmons_movie_premier_watch_1502,9,1502,1802,76
ch495_felicity_christian_church_live_1802,495,1802,1902,38
ch734_pstet_ctet_2025_cdp_super_succ_1906,734,1906,1981,56
ch387_livestream_1981,387,1981,2056,45
ch301_savita_rajpoot_is_live_2058,301,2058,2103,47
ch55_shivpoojan_yadav_9569_is_live_2105,55,2105,2150,39
ch1004_devicharan_sharma_kherli_kota__2150,1004,2150,2170,70
ch52_2026_ces_ultimea_exclusive_new_2171,52,2171,2216,66
ch745_4_january_2026_today_s_service_2446,745,2446,2466,23
ch1365_live_stream_wip_wednesday_2467,1365,2467,2507,69
ch984_sunday_worship_live_stream_2507,984,2507,2552,65
ch1093_live_bhilai_viral_livestream_h_2552,1093,2552,2612,74
ch452_tropical_river_flowing_over_ro_2612,452,2612,2647,50
ch241_bgmi_live_stream_new_update_ga_2647,241,2647,2737,64
ch342_live_channel_promotion_100_sub_2737,342,2737,2777,60
ch968_arizona_cardinals_vs_los_angel_2777,968,2777,2802,71
ch289_monday_wind_down_live_networki_2802,289,2802,2847,87
ch464_storycon_livestream_january_5__2847,464,2847,2967,65
ch1023_live_pujya_sadhvi_dr_vishweshw_2971,1023,2971,3016,25
ch1096_spartacus_house_of_ashur_theor_3016,1096,3016,3316,63
ch576_live_hansi_flick_press_confere_3319,576,3319,3439,70
ch826_bihar_news_live_muzaffarpur_li_3441,826,3441,3461,60
ch1397_devti_kitchen_is_live_youtubel_3461,1397,3461,3486,42
ch322_monday_wind_down_live_networki_3685,322,3685,3925,70
ch4_1_11_soul_activation_livestrea_3925,4,3925,4015,72
ch652_critics_choice_livestream_2026_4016,652,4016,4106,93
ch1146_4_day_14_electrician_live_clas_4106,1146,4106,4181,67
ch1413_monday_wind_down_live_networki_4182,1413,4182,4257,88
ch967_livestream_live_livestreaming__4260,967,4260,4280,53
ch678_1_11_soul_activation_livestrea_4280,678,4280,4400,86
ch824_live_critics_choice_awards_202_4400,824,4400,4490,61
ch244_shortfeed_trendinglive_livestr_4490,244,4490,4670,52
ch990_q_and_a_livestream_january_18__4672,990,4672,4702,71
ch687_live_chatting_with_friends_liv_4702,687,4702,4737,67
ch1321_january_05_2026_monday_livestr_4737,1321,4737,4857,44
ch1365_live_stream_wip_wednesday_4858,1365,4858,4898,74
ch652_critics_choice_livestream_2026_4898,652,4898,4958,69
ch593_devti_kitchen_is_live_youtubel_4961,593,4961,5171,63
ch1317_live_streaming_of_darji_gurudw_5171,1317,5171,5261,46
