program_id,channel_id,start,end,fitness
ch1517_breaking_news_5_for_bihar_libr_0004,1517,4,184,60
ch1205_janabheri_cm_revanth_reddy_spe_0184,1205,184,274,46
ch528_punjabi_news_punjabi_latest_ne_0274,528,274,374,99
ch57_film_and_box_office_news_live__0374,57,374,394,56
ch166_beed_choufer_news_live_is_live_0398,166,398,458,120
ch784_sleuth_intuition_live_breaking_0460,784,460,640,110
ch907_live_tv9_bangla_sir_mamata_ban_0641,907,641,731,61
ch351_bihar_news_live_muzaffarpur_li_0731,351,731,761,108
ch1383_december_2025_most_expected_cu_0761,1383,761,821,69
ch1365_breaking_news_watch_today_s_ma_0821,1365,821,856,107
ch439_breaking_news_5_for_bihar_libr_0856,439,856,1006,48
ch623_5_january_2026_daily_current_a_1006,623,1006,1026,67
ch308_news_live_1028,308,1028,1053,50
ch820_news_live_1053,820,1053,1173,54
ch228_grand_theft_venezuela_trump_sn_1173,228,1173,1218,127
ch1149_bihar_news_live_muzaffarpur_li_1218,1149,1218,1263,131
ch774_news_live_1264,774,1264,1339,75
ch289_ia_live_uk_house_of_commons_di_1339,289,1339,1399,122
ch18_live_us_president_trump_on_ven_1399,18,1399,1489,131
ch19_today_world_breaking_news_live_1489,19,1489,1589,57
ch413_live_house_oversight_committee_1591,413,1591,1631,97
ch1116_the_top_risks_of_2026_with_ian_1631,1116,1631,1676,98
ch1061_umh_news_live_1677,1061,1677,1717,55
ch449_bihar_news_live_muzaffarpur_li_1718,449,1718,1793,102
ch1213_live_pinarayi_vijayan_reporter_1793,1213,1793,2003,160
ch524_9january_daily_current_affairs_2004,524,2004,2154,79
ch580_punjabi_news_punjabi_latest_ne_2154,580,2154,2214,115
ch678_trump_live_latest_news_on_vene_2214,678,2214,2289,57
ch893_watch_live_assamese_news_4_00__2289,893,2289,2349,113
ch1166_live_seeman_ntk_meeting_speech_2349,1166,2349,2469,112
ch1600_kairali_news_live_2470,1600,2470,2710,54
ch1247_newsmax_news_breaking_news_and_2710,1247,2710,2770,131
ch1274_mmtv_news_live_2770,1274,2770,2860,131
ch772_today_breaking_news_top_100_ne_2862,772,2862,2907,74
ch378_disney_parks_live_breaking_new_2910,378,2910,3030,45
ch918_live_cruise_news_1_4_2026_3031,918,3031,3091,102
ch806_02_january_2026_aaj_ki_50_sabs_3095,806,3095,3135,55
ch675_fox_news_live_hd_president_tru_3135,675,3135,3195,102
ch296_disney_parks_live_breaking_new_3195,296,3195,3215,49
ch1485_today_news_live_pm_narendra_mo_3215,1485,3215,3250,107
ch1162_sadim_vines_live_3251,1162,3251,3296,110
ch913_news_live_3296,913,3296,3326,59
ch677_aaj_tak_live_news_in_hindi_cur_3326,677,3326,3361,106
ch375_asian_news_live_tv_1165_24_7_b_3361,375,3361,3541,116
ch439_kairali_news_live_3542,439,3542,3632,64
ch808_fox_news_live_hd_the_late_news_3634,808,3634,3654,103
ch1045_kairali_news_live_3654,1045,3654,3684,57
ch325_news_live_3685,325,3685,3720,49
ch252_10_00_pm_tcv_news_04_jan_2026_3720,252,3720,3820,107
ch1095_live_transmission_breaking_new_3821,1095,3821,3866,57
ch1104_rocket_morning_news_live_jan_8_3869,1104,3869,3894,107
ch1129_live_pinarayi_vijayan_reporter_3894,1129,3894,3924,112
ch403_sportbar_news_live_live_3925,403,3925,4105,67
ch362_news_live_4106,362,4106,4226,69
ch781_bullhorn_betty_breaking_news_t_4252,781,4252,4292,119
ch1500_ia_live_uk_house_of_commons_di_4292,1500,4292,4322,109
ch577_live_transmission_breaking_new_4327,577,4327,4387,47
ch341_bullhorn_betty_breaking_news_t_4388,341,4388,4408,104
