program_id,channel_id,start,end,fitness
ch1517_breaking_news_5_for_bihar_libr_0004,1517,4,184,60
ch1205_janabheri_cm_revanth_reddy_spe_0184,1205,184,274,46
ch528_punjabi_news_punjabi_latest_ne_0274,528,274,374,99
ch57_film_and_box_office_news_live__0374,57,374,394,56
ch166_beed_choufer_news_live_is_live_0398,166,398,458,120
ch420_disney_parks_live_breaking_new_0460,420,460,535,62
ch1526_breaking_news_live_trump_claim_0535,1526,535,595,118
ch336_dbc_news_live_0595,336,595,670,67
ch1501_cnn_breaking_news_live_hd_0670,1501,670,850,114
ch1605_02_january_2026_aaj_ki_50_sabs_0850,1605,850,890,70
ch356_news_live_0890,356,890,950,59
ch991_breaking_news_live_stream_0950,991,950,1040,114
ch1504_sleuth_intuition_live_breaking_1043,1504,1043,1068,104
ch1251_team_news_live_norwich_city_v__1068,1251,1068,1128,79
ch286_bullhorn_betty_breaking_news_t_1128,286,1128,1203,131
ch1107_fox_news_live_stream_now_presi_1203,1107,1203,1223,124
ch775_nvidia_ceo_jensen_huang_talks__1223,775,1223,1403,65
ch912_ia_live_uk_house_of_commons_di_1403,912,1403,1553,128
ch112_4_5_january_current_affairs_20_1553,112,1553,1643,66
ch521_disney_parks_live_breaking_new_1644,521,1644,1674,41
ch1313_bullhorn_betty_breaking_news_t_1674,1313,1674,1749,106
ch538_v_update_news_live_is_live_1749,538,1749,1839,151
ch660_05_jan_current_affairs_2026_cu_1854,660,1854,1929,69
ch515_cnn_live_stream_hd_president_t_1930,515,1930,2050,62
ch968_fox_news_live_hd_the_late_news_2051,968,2051,2071,108
ch1634_rocket_morning_news_live_jan_9_2071,1634,2071,2171,107
ch1556_kairali_news_live_2172,1556,2172,2262,56
ch1606_marathi_breaking_news_live_mah_2262,1606,2262,2307,118
ch645_ib_tv_news_live_24x7_ibtv_ap_t_2308,645,2308,2368,107
ch323_live_tv9_bangla_sir_mamata_ban_2368,323,2368,2398,55
ch712_aaj_tak_live_news_in_hindi_cur_2398,712,2398,2418,107
ch1560_current_affairs_today_05_jan_2_2419,1560,2419,2509,59
ch59_fox_news_live_president_donald_2509,59,2509,2529,108
ch230_ia_live_uk_house_of_commons_di_2529,230,2529,2554,131
ch826_disney_parks_live_breaking_new_2554,826,2554,2654,63
ch292_live_seeman_ntk_meeting_speech_2654,292,2654,2674,131
ch80_team_news_live_norwich_city_v__2674,80,2674,2764,84
ch1309_breaking_news_live_trump_claim_2764,1309,2764,3004,127
ch1051_rauke_news_live_is_live_3006,1051,3006,3066,103
ch564_film_and_box_office_news_live__3066,564,3066,3096,62
ch499_geo_news_live_pakistan_news_li_3098,499,3098,3138,102
ch171_team_news_live_norwich_city_v__3138,171,3138,3348,64
ch1348_dd_sahyadri_news_live_04_01_20_3348,1348,3348,3498,114
ch415_breaking_news_corona_latest_ne_3498,415,3498,3588,111
ch1040_news_live_3589,1040,3589,3634,63
ch808_fox_news_live_hd_the_late_news_3634,808,3634,3654,103
ch499_cnn_breaking_news_live_hd_3654,499,3654,3684,108
ch325_news_live_3685,325,3685,3720,49
ch252_10_00_pm_tcv_news_04_jan_2026_3720,252,3720,3820,107
ch1582_today_breaking_news_3821,1582,3821,3921,113
ch1087_dbc_news_live_3922,1087,3922,4042,54
ch1593_ia_live_uk_house_of_commons_di_4042,1593,4042,4067,130
ch421_umh_news_live_4068,421,4068,4188,84
ch853_bullhorn_betty_breaking_news_t_4188,853,4188,4368,130
ch225_breaking_news_today_latest_new_4368,225,4368,4488,105
ch979_nvidia_ceo_jensen_huang_talks__4488,979,4488,4523,46
ch901_bullhorn_betty_breaking_news_t_4524,901,4524,4599,104
