instance,score_greedy,score_endrita,ga_best,improvement_pct_vs_best_baseline
australia_iptv,1346,4117,3330,-19.12
canada_pw,1070,4628,4073,-11.99
china_pw,1296,,1921,48.23
croatia_tv_input,1278,2203,2034,-7.67
france_iptv,1215,4370,2537,-41.95
germany_tv_input,725,1553,932,-39.99
kosovo_tv_input,1160,2587,1691,-34.63
netherlands_tv_input,1133,2636,1825,-30.77
singapore_pw,1223,4316,3640,-15.66
spain_iptv,978,4555,3071,-32.58
toy,380,380,380,0.0
uk_iptv,1491,,3268,119.18
uk_tv_input,1098,2266,1408,-37.86
us_iptv,1513,,2519,66.49
usa_tv_input,1711,3601,1973,-45.21
youtube_gold,13058,,15822,21.17
youtube_premium,19900,,22467,12.9
