instance,E1_baseline_best,E1_baseline_avg,E1_baseline_worst,E1_baseline_std,E1_baseline_avg_time,E2_exploration_best,E2_exploration_avg,E2_exploration_worst,E2_exploration_std,E2_exploration_avg_time,E3_exploitation_best,E3_exploitation_avg,E3_exploitation_worst,E3_exploitation_std,E3_exploitation_avg_time
australia_iptv,2875,2658.2,2509,101.44,300.0,2875,2619.3,2464,109.61,300.0,3103,2846.7,2641,160.51,300.0
canada_pw,2804,2633.5,2528,78.09,212.0,2944,2697,2514,128.81,300.0,3266,3001.7,2750,175.28,300.0
china_pw,1926,1840.2,1725,57.37,300.0,1983,1835.4,1741,63.62,300.0,2086,1932.3,1725,110.46,300.0
croatia_tv_input,1733,1580.2,1401,98.17,2.8,1647,1482.1,1371,82.53,10.2,1704,1623.6,1541,54.3,13.2
france_iptv,2335,2130.9,1966,121.95,67.7,2255,2088.1,1980,76.13,42.9,2304,2187.9,2052,74.35,157.9
germany_tv_input,932,917.9,907,7.19,1.0,937,915.2,877,16.7,9.9,932,910.5,882,14.73,11.6
kosovo_tv_input,1402,1335.7,1233,53.91,9.4,1358,1308.2,1223,49.83,9.1,1518,1437.8,1297,61.53,20.0
netherlands_tv_input,1506,1355.5,1239,80.76,2.0,1410,1333.5,1246,51.49,4.3,1539,1424.9,1283,80.08,18.2
singapore_pw,2541,2338.1,2153,110.82,34.6,2426,2313.8,2139,95.38,115.3,2792,2622.6,2383,117.38,269.6
spain_iptv,2626,2261.5,2080,172.39,51.2,2333,2235.5,2138,57.95,127.2,2700,2445,2091,205.99,135.0
toy,380,380,380,0.0,7.7,380,380,380,0.0,17.4,380,380,380,0.0,5.3
uk_iptv,2964,2633,2482,154.19,173.3,2698,2559.5,2435,84.39,287.9,3151,2749.9,2294,249.88,300.0
uk_tv_input,1386,1249.1,1111,76.22,19.3,1312,1205.9,1109,62.36,45.1,1433,1302.9,1168,68.89,24.0
us_iptv,2557,2397,2201,128.71,300.0,2555,2381.5,2166,127.05,300.0,3003,2615.3,2413,164.52,300.0
usa_tv_input,1629,1519.5,1423,65.77,37.4,1593,1491.5,1421,48.76,5.0,1775,1656.8,1485,86.74,4.5
youtube_gold,12743,12141.1,11449,394.76,300.0,12743,12208.6,11759,333.63,112.8,13793,13116.2,12546,438.0,99.9
youtube_premium,21746,21103.4,20759,334.31,300.0,22586,21633.3,20896,542.99,83.5,23376,22364.4,21109,653.09,76.6
