instance,greedy,ga_e3_best,ls_best,delta_greedy_to_ga_e3_pct,delta_ga_e3_to_ls_pct,delta_greedy_to_ls_pct
australia_iptv,1346,3191,3341,137.07,4.7,148.22
canada_pw,1070,2503,2624,133.93,4.83,145.23
china_pw,1296,2254,2274,73.92,0.89,75.46
croatia_tv_input,1278,1936,2012,51.49,3.93,57.43
france_iptv,1215,2927,2848,140.91,-2.7,134.4
germany_tv_input,725,932,932,28.55,0.0,28.55
kosovo_tv_input,1160,1533,1553,32.16,1.3,33.88
netherlands_tv_input,1133,1723,1723,52.07,0.0,52.07
singapore_pw,1223,3357,3400,174.49,1.28,178.0
spain_iptv,978,1721,1727,75.97,0.35,76.58
toy,380,380,380,0.0,0.0,0.0
uk_iptv,1491,3110,3171,108.58,1.96,112.68
uk_tv_input,1098,1923,1979,75.14,2.91,80.24
us_iptv,1513,2075,2188,37.14,5.45,44.61
usa_tv_input,1711,2510,2512,46.7,0.08,46.81
youtube_gold,13058,13058,13058,0.0,0.0,0.0
youtube_premium,19900,21646,22889,8.77,5.74,15.02
