instance,ga_best,ls_best,ga_avg,ls_avg,avg_improvement_pct,max_improvement_pct,runs_improved_of_10
australia_iptv,3191,3341,3116.3,3148,1.02,5.29,4
canada_pw,2503,2624,2443.9,2585.9,5.87,11.92,10
china_pw,2251,2274,2179.9,2203.7,1.11,5.14,6
croatia_tv_input,1936,2012,1812.4,1879.8,3.73,6.89,9
france_iptv,2799,2848,2607.5,2686.8,3.17,9.6,7
germany_tv_input,932,932,924.4,925.6,0.13,1.3,1
kosovo_tv_input,1533,1553,1491.6,1502.1,0.72,3.88,3
netherlands_tv_input,1723,1723,1629.8,1655.9,1.64,9.87,3
singapore_pw,3357,3400,3099.5,3168.5,2.29,7.46,7
spain_iptv,1721,1727,1720.5,1721.4,0.05,0.35,2
toy,380,380,380,380,0.0,0.0,0
uk_iptv,3110,3171,2930,3055.1,4.41,9.33,9
uk_tv_input,1923,1979,1835.4,1896,3.38,11.24,8
us_iptv,2075,2188,1945.1,2076.9,6.86,15.58,10
usa_tv_input,2510,2512,2401.4,2446.2,1.91,5.55,8
youtube_gold,13058,13058,13058,13058,0.0,0.0,0
youtube_premium,21915,22889,21328.4,22242.1,4.32,8.54,10
